,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0777,0.2357,0.0088,0.0035,0.0305,0.1161,0.0856,0.0697,0.0154,0.0004,0.0269,0.2418,0.004,0.0349,0.0128,0.0362
Westdeutschland,0.07,0.2362,0.0107,0.0029,0.0202,0.1465,0.0857,0.0775,0.0114,0.0003,0.0294,0.2257,0.0015,0.036,0.01,0.036
befindet sich noch in beruflicher Ausbildung.,0.0426,0.1862,0.0106,0.0,0.0426,0.2606,0.0851,0.0798,0.0053,0.0053,0.0426,0.1064,0.0,0.0691,0.0,0.0638
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.16,0.0,0.0,0.0,0.2,0.12,0.08,0.0,0.0,0.12,0.16,0.0,0.12,0.0,0.04
hat eine Lehre abgeschlossen.,0.084,0.2454,0.0067,0.005,0.0168,0.1277,0.0555,0.0689,0.0084,0.0,0.0303,0.279,0.0034,0.0336,0.0168,0.0185
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.062,0.262,0.0099,0.0025,0.0091,0.1215,0.0826,0.0496,0.0099,0.0,0.0256,0.2876,0.0025,0.0455,0.0066,0.0231
hat eine kaufmännische Lehre abgeschlossen.,0.0704,0.2493,0.0084,0.0036,0.02,0.1196,0.0828,0.0748,0.0104,0.0004,0.0312,0.2421,0.0012,0.0424,0.0132,0.03
hat einen Berufsfachschulabschluss.,0.042,0.2439,0.0143,0.002,0.0133,0.1322,0.0768,0.0676,0.0164,0.0,0.0389,0.2674,0.001,0.0492,0.0174,0.0174
hat einen Fachhochschulabschluss.,0.1038,0.2292,0.0114,0.0034,0.0308,0.1517,0.1049,0.0867,0.0125,0.0,0.0262,0.1631,0.0034,0.0148,0.0034,0.0547
hat einen Fachschulabschluss.,0.0883,0.1996,0.0154,0.0038,0.0326,0.1248,0.0749,0.096,0.0173,0.0,0.0173,0.2476,0.0019,0.025,0.0058,0.0499
hat einen Meisterabschluss oder Technikerabschluss.,0.0975,0.1992,0.0148,0.0021,0.0127,0.1314,0.1102,0.0763,0.0148,0.0,0.0212,0.2542,0.0064,0.0212,0.0042,0.0339
hat einen Universitätsabschluss.,0.0712,0.2119,0.0069,0.0032,0.0397,0.1797,0.104,0.0946,0.0164,0.0006,0.0252,0.157,0.0025,0.0208,0.005,0.0612
hat keine berufliche Ausbildung abgeschlossen.,0.0669,0.2609,0.0151,0.0017,0.0184,0.1338,0.0602,0.0652,0.0084,0.0,0.0284,0.2441,0.0,0.0452,0.0301,0.0217
Die Linke,0.0688,0.3981,0.0106,0.0035,0.0371,0.1103,0.0838,0.0741,0.0159,0.0,0.0159,0.1033,0.0009,0.0177,0.0044,0.0556
die AfD,0.0413,0.1736,0.0028,0.0018,0.0064,0.0468,0.0643,0.0569,0.0092,0.0009,0.0248,0.5464,0.0009,0.0156,0.0018,0.0064
die CDU/CSU,0.0802,0.1745,0.0103,0.003,0.0201,0.1599,0.1015,0.0924,0.0164,0.0012,0.034,0.2395,0.003,0.0304,0.0061,0.0274
die FDP,0.0606,0.2101,0.0061,0.002,0.0485,0.1051,0.1192,0.0747,0.0081,0.0,0.0424,0.2465,0.0,0.0343,0.0081,0.0343
die Grünen,0.0818,0.2022,0.0117,0.0029,0.0248,0.2861,0.0745,0.0949,0.0124,0.0,0.0219,0.081,0.0022,0.0241,0.0044,0.0752
die SPD,0.0884,0.2635,0.0209,0.0048,0.0273,0.1181,0.0932,0.0835,0.012,0.0,0.0249,0.1751,0.004,0.0305,0.0112,0.0426
eine Kleinpartei,0.0595,0.2568,0.0108,0.0027,0.0189,0.1811,0.0784,0.0892,0.0135,0.0,0.0324,0.1973,0.0027,0.027,0.0,0.0297
keine Partei,0.0714,0.2377,0.0077,0.0027,0.0159,0.1059,0.0818,0.0545,0.01,0.0,0.0364,0.255,0.0018,0.0709,0.0277,0.0205
männlich,0.0797,0.2247,0.0072,0.0017,0.0194,0.1471,0.0984,0.0727,0.0135,0.0006,0.0293,0.2228,0.0019,0.0339,0.007,0.0401
weiblich,0.0641,0.2473,0.0133,0.0044,0.0258,0.1316,0.0731,0.0785,0.0112,0.0,0.0283,0.2361,0.0023,0.0375,0.0144,0.0321
hat das Abitur,0.0773,0.2116,0.008,0.0025,0.036,0.1785,0.0955,0.0952,0.0124,0.0003,0.0286,0.1649,0.0025,0.021,0.0057,0.0598
hat einen Fachhochschulreife,0.0923,0.2375,0.0117,0.0032,0.0308,0.1379,0.1029,0.0742,0.0159,0.0011,0.0244,0.1919,0.0021,0.0339,0.0074,0.0329
hat einen Hauptschulabschluss,0.0585,0.2634,0.0111,0.0005,0.0037,0.1101,0.0732,0.0595,0.0095,0.0005,0.0263,0.3051,0.0016,0.0458,0.0142,0.0169
