,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.042,0.0869,0.5826,0.0014,0.0172,0.0564,0.0499,0.0251,0.004,0.0007,0.0219,0.079,0.0025,0.0302
Westdeutschland,0.0305,0.0812,0.601,0.0021,0.0101,0.0878,0.051,0.0231,0.0048,0.0006,0.0175,0.0716,0.0002,0.0185
befindet sich noch in beruflicher Ausbildung.,0.0087,0.0917,0.5371,0.0,0.0087,0.1878,0.0655,0.0218,0.0,0.0,0.0218,0.0131,0.0,0.0437
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0303,0.0909,0.5152,0.0,0.0,0.1515,0.0303,0.0,0.0,0.0,0.1212,0.0606,0.0,0.0
hat eine Lehre abgeschlossen.,0.0359,0.0787,0.6105,0.0,0.0124,0.0967,0.047,0.0097,0.0028,0.0,0.0207,0.076,0.0,0.0097
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0323,0.0935,0.5755,0.0013,0.0084,0.0561,0.0535,0.0206,0.0039,0.0006,0.0206,0.1148,0.0019,0.0168
hat eine kaufmännische Lehre abgeschlossen.,0.0315,0.0763,0.6463,0.0023,0.0084,0.0656,0.0458,0.0195,0.0042,0.0003,0.0133,0.0728,0.0,0.0136
hat einen Berufsfachschulabschluss.,0.0366,0.083,0.6051,0.0037,0.009,0.0591,0.0568,0.0254,0.0022,0.0007,0.0172,0.0845,0.0007,0.0157
hat einen Fachhochschulabschluss.,0.0349,0.0725,0.6038,0.0027,0.0134,0.0841,0.0599,0.0304,0.0072,0.0,0.0161,0.0519,0.0009,0.0224
hat einen Fachschulabschluss.,0.0366,0.0808,0.6311,0.0,0.0091,0.0625,0.0473,0.029,0.0046,0.0,0.0137,0.0564,0.0,0.029
hat einen Meisterabschluss oder Technikerabschluss.,0.0329,0.0824,0.57,0.0,0.0198,0.061,0.0527,0.0165,0.0016,0.0016,0.0313,0.0956,0.0016,0.0329
hat einen Universitätsabschluss.,0.0344,0.0776,0.5466,0.0034,0.0199,0.1232,0.0495,0.032,0.0082,0.0015,0.0165,0.0529,0.001,0.0335
hat keine berufliche Ausbildung abgeschlossen.,0.0311,0.1172,0.548,0.0,0.0085,0.089,0.0452,0.0254,0.0042,0.0014,0.0339,0.0706,0.0014,0.024
Die Linke,0.0307,0.2099,0.498,0.002,0.0139,0.0832,0.0455,0.0317,0.005,0.0,0.0109,0.0248,0.005,0.0396
die AfD,0.0815,0.062,0.4083,0.0,0.0056,0.0139,0.0611,0.0407,0.0009,0.0037,0.0176,0.2852,0.0,0.0194
die CDU/CSU,0.0234,0.0464,0.6811,0.0009,0.0101,0.0524,0.0625,0.0193,0.0055,0.0,0.0179,0.0666,0.0005,0.0133
die FDP,0.0292,0.0511,0.6022,0.0,0.0195,0.0426,0.0985,0.0207,0.0073,0.0,0.0195,0.0876,0.0,0.0219
die Grünen,0.014,0.0604,0.5664,0.0032,0.0146,0.2448,0.0261,0.0216,0.0025,0.0,0.0095,0.0114,0.0,0.0254
die SPD,0.0082,0.0874,0.6928,0.0029,0.0111,0.0664,0.0441,0.0157,0.0049,0.0,0.0111,0.0384,0.0012,0.0157
eine Kleinpartei,0.0678,0.1291,0.4814,0.0044,0.0088,0.0919,0.0438,0.0284,0.0066,0.0044,0.0306,0.0722,0.0,0.0306
keine Partei,0.0523,0.0824,0.5902,0.0023,0.0117,0.0543,0.0457,0.0254,0.0051,0.0008,0.0324,0.0754,0.0,0.0219
männlich,0.0398,0.0941,0.5575,0.0015,0.0123,0.0816,0.0522,0.0239,0.0051,0.0008,0.0204,0.0869,0.0011,0.0229
weiblich,0.0264,0.0708,0.6369,0.0025,0.0112,0.0795,0.0492,0.0232,0.0042,0.0005,0.0165,0.0594,0.0003,0.0194
hat das Abitur,0.0338,0.0782,0.5816,0.0022,0.0158,0.1154,0.0496,0.0277,0.0056,0.0007,0.0143,0.0464,0.0007,0.0279
hat einen Fachhochschulreife,0.0424,0.0941,0.5776,0.0008,0.0161,0.0585,0.0551,0.0229,0.0042,0.0008,0.0237,0.0746,0.0017,0.0271
hat einen Hauptschulabschluss,0.0225,0.0831,0.5971,0.003,0.0065,0.0636,0.0528,0.0164,0.0065,0.0004,0.0242,0.109,0.0004,0.0143
hat einen Realschulabschluss,0.0353,0.0834,0.618,0.0016,0.0097,0.0631,0.049,0.0231,0.0029,0.0007,0.0166,0.0789,0.0007,0.0171
hat keinen Schulabschluss,0.0714,0.0714,0.381,0.0,0.0,0.0476,0.119,0.0714,0.0,0.0,0.119,0.119,0.0,0.0
ist noch Schüler/in,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
18-29 YEARS,0.0249,0.0793,0.5163,0.0062,0.0156,0.1602,0.0669,0.0311,0.0,0.0016,0.0373,0.0327,0.0,0.028
30-44 YEARS,0.0406,0.0861,0.565,0.0034,0.0186,0.0805,0.0622,0.0231,0.0019,0.0007,0.028,0.063,0.0007,0.0261
45-59 YEARS,0.0357,0.0841,0.6013,0.0012,0.0085,0.0693,0.0519,0.0221,0.0031,0.0007,0.0174,0.0829,0.0,0.0219
60 and more,0.0274,0.0794,0.6229,0.0013,0.0102,0.0798,0.0405,0.0241,0.0084,0.0004,0.0113,0.0761,0.0015,0.0166
