,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0197,0.1614,0.2813,0.0002,0.0036,0.1089,0.2609,0.0069,0.0088,0.0,0.0,0.0211,0.0309,0.0964
Westdeutschland,0.0109,0.1165,0.3938,0.0005,0.0035,0.0973,0.2813,0.0079,0.0086,0.0001,0.0001,0.0176,0.0007,0.0612
befindet sich noch in beruflicher Ausbildung.,0.0131,0.1571,0.3298,0.0052,0.0079,0.1126,0.2853,0.0052,0.0,0.0,0.0,0.0131,0.0105,0.0602
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0172,0.1552,0.3448,0.0,0.0,0.1207,0.3103,0.0,0.0,0.0,0.0,0.0172,0.0172,0.0172
hat eine Lehre abgeschlossen.,0.017,0.1335,0.3566,0.0009,0.0072,0.1048,0.2679,0.0125,0.0116,0.0,0.0,0.0179,0.0045,0.0654
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0099,0.1637,0.3063,0.0,0.0033,0.1082,0.2918,0.0095,0.0079,0.0,0.0,0.0157,0.0141,0.0696
hat eine kaufmännische Lehre abgeschlossen.,0.0095,0.1307,0.3559,0.0004,0.0032,0.0865,0.3066,0.008,0.0105,0.0,0.0002,0.0187,0.0057,0.0642
hat einen Berufsfachschulabschluss.,0.0188,0.1108,0.3897,0.001,0.0045,0.0955,0.2552,0.0054,0.0109,0.0005,0.0,0.0262,0.0109,0.0707
hat einen Fachhochschulabschluss.,0.0104,0.0811,0.4283,0.0,0.0024,0.1092,0.2691,0.0061,0.0061,0.0,0.0,0.0153,0.0055,0.0665
hat einen Fachschulabschluss.,0.0124,0.1125,0.3994,0.0,0.0041,0.0949,0.2559,0.0103,0.0052,0.0,0.0,0.0206,0.0062,0.0784
hat einen Meisterabschluss oder Technikerabschluss.,0.0134,0.105,0.3453,0.0,0.0045,0.1341,0.2749,0.0078,0.0089,0.0,0.0,0.019,0.0045,0.0827
hat einen Universitätsabschluss.,0.0177,0.0789,0.432,0.0,0.0017,0.1069,0.2562,0.0057,0.01,0.0,0.0,0.013,0.0057,0.0723
hat keine berufliche Ausbildung abgeschlossen.,0.0101,0.2707,0.2661,0.0009,0.0037,0.082,0.2431,0.0083,0.0018,0.0,0.0,0.0285,0.0101,0.0746
Die Linke,0.0159,0.2602,0.271,0.0,0.0045,0.0823,0.236,0.0051,0.0057,0.0,0.0,0.0134,0.0153,0.0906
die AfD,0.0242,0.1053,0.2432,0.0,0.0012,0.1083,0.1881,0.0296,0.0157,0.0,0.0,0.1053,0.0163,0.1627
die CDU/CSU,0.0092,0.0725,0.4551,0.0003,0.0015,0.0829,0.3017,0.0041,0.0092,0.0,0.0,0.0076,0.0038,0.0521
die FDP,0.0178,0.1074,0.3473,0.0,0.0024,0.0889,0.3061,0.0024,0.0137,0.0008,0.0,0.0097,0.0032,0.1002
die Grünen,0.0085,0.1013,0.3736,0.0017,0.0034,0.2123,0.2477,0.0043,0.0043,0.0,0.0,0.0115,0.0017,0.0298
die SPD,0.01,0.1587,0.3969,0.0003,0.0038,0.0596,0.3015,0.0052,0.0083,0.0,0.0,0.0069,0.0083,0.0406
eine Kleinpartei,0.0381,0.1757,0.2466,0.0,0.0082,0.1131,0.2602,0.0082,0.0109,0.0,0.0,0.0177,0.0136,0.1076
keine Partei,0.0094,0.1257,0.3762,0.0005,0.0053,0.0845,0.2973,0.0086,0.0073,0.0,0.0003,0.0104,0.0081,0.0665
männlich,0.016,0.1169,0.3593,0.0002,0.0031,0.1033,0.2773,0.0078,0.011,0.0,0.0001,0.0182,0.0085,0.0781
weiblich,0.0098,0.1369,0.3767,0.0007,0.0038,0.0966,0.2758,0.0076,0.0063,0.0001,0.0,0.0187,0.0067,0.0603
hat das Abitur,0.0154,0.092,0.414,0.0003,0.0033,0.1067,0.263,0.0075,0.0096,0.0,0.0,0.0153,0.006,0.0669
hat einen Fachhochschulreife,0.0113,0.107,0.3867,0.0006,0.0017,0.1133,0.2775,0.0057,0.0091,0.0,0.0,0.0136,0.0051,0.0685
hat einen Hauptschulabschluss,0.011,0.1558,0.3473,0.0003,0.002,0.0862,0.2867,0.0097,0.0105,0.0,0.0003,0.0161,0.0054,0.0688
hat einen Realschulabschluss,0.0124,0.142,0.3399,0.0006,0.0048,0.0987,0.2834,0.0072,0.0069,0.0001,0.0,0.023,0.0109,0.0702
hat keinen Schulabschluss,0.0083,0.325,0.1,0.0,0.0167,0.1,0.225,0.0083,0.0,0.0,0.0,0.0583,0.0167,0.1417
ist noch Schüler/in,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5
18-29 YEARS,0.0143,0.1722,0.3197,0.0019,0.0067,0.0885,0.274,0.0114,0.0019,0.0,0.0,0.0209,0.0143,0.0742
30-44 YEARS,0.0145,0.1231,0.3622,0.0005,0.0031,0.0903,0.2829,0.0074,0.0081,0.0002,0.0,0.0193,0.0067,0.0817
45-59 YEARS,0.0142,0.116,0.3731,0.0003,0.0023,0.0961,0.2782,0.0091,0.0083,0.0,0.0002,0.0213,0.0057,0.0751
60 and more,0.0104,0.1325,0.3742,0.0003,0.0044,0.1118,0.2714,0.0059,0.0104,0.0,0.0,0.0147,0.0091,0.0548
