,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0352,0.0874,0.5758,0.001,0.013,0.015,0.097,0.0285,0.0048,0.0005,0.0174,0.1134,0.0,0.0111
Westdeutschland,0.026,0.0754,0.6311,0.0016,0.0096,0.0221,0.0916,0.0151,0.0028,0.0001,0.0226,0.0943,0.0001,0.0075
befindet sich noch in beruflicher Ausbildung.,0.011,0.0608,0.6077,0.0,0.011,0.0552,0.116,0.0442,0.0,0.0055,0.0166,0.0552,0.0,0.0166
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0526,0.1579,0.5263,0.0,0.0,0.1053,0.0526,0.0,0.0,0.0,0.0526,0.0526,0.0,0.0
hat eine Lehre abgeschlossen.,0.0299,0.084,0.6325,0.0019,0.0112,0.0243,0.0597,0.0168,0.0037,0.0,0.0224,0.1101,0.0,0.0037
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.028,0.0947,0.5933,0.0,0.009,0.0162,0.0884,0.0153,0.0018,0.0,0.0189,0.1226,0.0,0.0117
hat eine kaufmännische Lehre abgeschlossen.,0.0242,0.0748,0.6263,0.0022,0.0104,0.0134,0.1025,0.0164,0.0017,0.0,0.0208,0.1042,0.0,0.003
hat einen Berufsfachschulabschluss.,0.0212,0.077,0.5893,0.0,0.0056,0.0123,0.1016,0.019,0.0045,0.0,0.0234,0.1417,0.0,0.0045
hat einen Fachhochschulabschluss.,0.0265,0.0747,0.6578,0.0012,0.0096,0.0169,0.0855,0.0193,0.0036,0.0,0.0193,0.0735,0.0012,0.0108
hat einen Fachschulabschluss.,0.037,0.0575,0.6366,0.0062,0.0123,0.0185,0.0883,0.0164,0.0062,0.0,0.0185,0.0883,0.0,0.0144
hat einen Meisterabschluss oder Technikerabschluss.,0.0405,0.0586,0.6171,0.0,0.0045,0.0135,0.0766,0.0158,0.0135,0.0,0.0203,0.1261,0.0,0.0135
hat einen Universitätsabschluss.,0.0304,0.0757,0.6234,0.0014,0.0156,0.0372,0.1089,0.0223,0.0034,0.0,0.0183,0.0507,0.0,0.0128
hat keine berufliche Ausbildung abgeschlossen.,0.0378,0.1045,0.5838,0.0018,0.0108,0.0216,0.0595,0.0144,0.0,0.0018,0.0396,0.1171,0.0,0.0072
Die Linke,0.0264,0.1646,0.5717,0.0011,0.0137,0.0264,0.0981,0.019,0.0074,0.0,0.0137,0.0443,0.0,0.0137
die AfD,0.0523,0.0582,0.3895,0.0,0.0012,0.0024,0.0831,0.0297,0.0048,0.0,0.0226,0.3527,0.0,0.0036
die CDU/CSU,0.0171,0.0377,0.7156,0.001,0.0055,0.0095,0.108,0.0111,0.0035,0.0,0.0196,0.0628,0.0,0.0085
die FDP,0.0187,0.0533,0.592,0.0,0.0187,0.0053,0.1173,0.0267,0.0027,0.0,0.0187,0.144,0.0,0.0027
die Grünen,0.0194,0.0696,0.6796,0.0024,0.0178,0.0615,0.0833,0.0113,0.0016,0.0,0.0194,0.0251,0.0008,0.0081
die SPD,0.0152,0.0887,0.6824,0.0017,0.0118,0.016,0.087,0.0152,0.0017,0.0,0.0118,0.0574,0.0,0.011
eine Kleinpartei,0.0682,0.0772,0.5015,0.003,0.0178,0.0504,0.1009,0.0445,0.003,0.0,0.0267,0.1039,0.0,0.003
keine Partei,0.0382,0.0904,0.5868,0.0021,0.0093,0.0108,0.0826,0.0201,0.0026,0.001,0.0331,0.1147,0.0,0.0083
männlich,0.0337,0.0879,0.6046,0.0009,0.0098,0.02,0.0872,0.0189,0.0055,0.0005,0.0203,0.1018,0.0,0.0089
weiblich,0.0227,0.0686,0.6314,0.002,0.011,0.0209,0.0985,0.0175,0.0011,0.0,0.0224,0.0958,0.0002,0.0079
hat das Abitur,0.0251,0.0735,0.6461,0.0007,0.0112,0.0301,0.0985,0.0217,0.0041,0.0003,0.02,0.0555,0.0003,0.0129
hat einen Fachhochschulreife,0.0329,0.0874,0.6163,0.0011,0.0114,0.0227,0.0885,0.0148,0.0011,0.0011,0.0216,0.0931,0.0,0.0079
hat einen Hauptschulabschluss,0.0283,0.0773,0.5998,0.0018,0.0077,0.0148,0.0738,0.0159,0.0024,0.0,0.0254,0.1482,0.0,0.0047
hat einen Realschulabschluss,0.0293,0.079,0.6045,0.0021,0.011,0.014,0.0995,0.0171,0.0037,0.0,0.0198,0.1135,0.0,0.0064
hat keinen Schulabschluss,0.0488,0.1951,0.4878,0.0,0.0,0.0244,0.0488,0.0244,0.0,0.0,0.0732,0.0976,0.0,0.0
ist noch Schüler/in,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
18-29 YEARS,0.0193,0.0434,0.6193,0.0024,0.012,0.053,0.1157,0.0241,0.0,0.0024,0.0337,0.0651,0.0,0.0096
30-44 YEARS,0.0282,0.076,0.6113,0.0025,0.0121,0.0247,0.1022,0.0206,0.0015,0.0,0.0257,0.0851,0.0,0.0101
45-59 YEARS,0.023,0.0775,0.6186,0.0013,0.0091,0.0161,0.0967,0.0183,0.0041,0.0003,0.0208,0.1071,0.0003,0.0069
60 and more,0.0342,0.0847,0.6216,0.0009,0.0104,0.018,0.0807,0.0159,0.004,0.0,0.0177,0.1033,0.0,0.0086
