,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0141,0.187,0.2751,0.0013,0.0023,0.2607,0.1543,0.0026,0.0108,0,0.0003,0.0216,0.0111,0.0586
Westdeutschland,0.0157,0.1701,0.3591,0.0007,0.0048,0.2157,0.1525,0.0042,0.0152,0,0.0,0.0206,0.0006,0.0409
befindet sich noch in beruflicher Ausbildung.,0.0225,0.2434,0.2472,0.0075,0.0112,0.2097,0.1798,0.0037,0.0,0,0.0,0.0187,0.0,0.0562
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.119,0.381,0.0,0.0,0.2857,0.119,0.0,0.0238,0,0.0,0.0,0.0238,0.0476
hat eine Lehre abgeschlossen.,0.0209,0.1767,0.3387,0.0012,0.0049,0.2012,0.1595,0.0074,0.0123,0,0.0,0.0245,0.0012,0.0515
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0128,0.2333,0.285,0.0,0.0035,0.2141,0.171,0.0029,0.0151,0,0.0,0.0209,0.0047,0.0366
hat eine kaufmännische Lehre abgeschlossen.,0.0134,0.1881,0.3376,0.0003,0.0051,0.2227,0.166,0.0027,0.0101,0,0.0,0.0179,0.0006,0.0355
hat einen Berufsfachschulabschluss.,0.0166,0.163,0.3592,0.002,0.0027,0.1995,0.1584,0.0073,0.0099,0,0.0,0.0212,0.0053,0.055
hat einen Fachhochschulabschluss.,0.0161,0.1079,0.3908,0.0,0.0042,0.2481,0.1351,0.0051,0.017,0,0.0008,0.0255,0.0042,0.045
hat einen Fachschulabschluss.,0.0113,0.1629,0.3697,0.0,0.0042,0.2224,0.1402,0.0042,0.017,0,0.0,0.0142,0.0042,0.0496
hat einen Meisterabschluss oder Technikerabschluss.,0.0261,0.1444,0.2857,0.0015,0.0,0.3088,0.1505,0.0,0.0246,0,0.0,0.02,0.0031,0.0353
hat einen Universitätsabschluss.,0.014,0.1047,0.3973,0.0005,0.0036,0.26,0.1237,0.0027,0.0208,0,0.0,0.0194,0.0027,0.0506
hat keine berufliche Ausbildung abgeschlossen.,0.0169,0.3031,0.2464,0.0024,0.0072,0.1558,0.1546,0.0048,0.0097,0,0.0,0.0338,0.0048,0.0604
Die Linke,0.0133,0.3704,0.2156,0.0019,0.0076,0.1377,0.1643,0.0019,0.0114,0,0.0,0.018,0.0057,0.0522
die AfD,0.0347,0.1548,0.2547,0.0,0.0,0.1557,0.1159,0.0186,0.0254,0,0.0008,0.1134,0.0085,0.1176
die CDU/CSU,0.0087,0.0999,0.4617,0.0,0.0017,0.2358,0.1289,0.0017,0.0166,0,0.0,0.0104,0.0004,0.0344
die FDP,0.0146,0.15,0.3073,0.0012,0.0012,0.2122,0.2183,0.0024,0.0293,0,0.0,0.0073,0.0012,0.0549
die Grünen,0.0085,0.1094,0.2845,0.0006,0.0055,0.4559,0.0894,0.0024,0.0109,0,0.0,0.0182,0.0012,0.0134
die SPD,0.0104,0.2313,0.3887,0.0012,0.0048,0.1534,0.1594,0.0016,0.0088,0,0.0,0.0092,0.0032,0.028
eine Kleinpartei,0.0395,0.2174,0.2115,0.0,0.002,0.2273,0.1759,0.004,0.0119,0,0.0,0.004,0.0059,0.1008
keine Partei,0.0177,0.1596,0.3389,0.0013,0.0067,0.2157,0.1885,0.0035,0.0114,0,0.0,0.012,0.0029,0.0418
männlich,0.0188,0.1603,0.3306,0.0005,0.0029,0.2194,0.1716,0.0026,0.0189,0,0.0002,0.0184,0.0039,0.052
weiblich,0.012,0.1875,0.3489,0.0012,0.0056,0.2327,0.1343,0.0051,0.0095,0,0.0,0.0233,0.0021,0.038
hat das Abitur,0.0151,0.123,0.381,0.0012,0.0047,0.25,0.132,0.0031,0.0177,0,0.0,0.0193,0.0028,0.0502
hat einen Fachhochschulreife,0.0155,0.1535,0.3504,0.0,0.0023,0.2411,0.1473,0.0031,0.0225,0,0.0008,0.0202,0.0023,0.0411
hat einen Hauptschulabschluss,0.0135,0.2178,0.3203,0.0007,0.0053,0.1955,0.1674,0.0035,0.0114,0,0.0,0.0223,0.0018,0.0404
hat einen Realschulabschluss,0.0169,0.1943,0.3151,0.0008,0.0037,0.2217,0.1639,0.005,0.0105,0,0.0,0.0205,0.0037,0.0438
hat keinen Schulabschluss,0.0,0.4167,0.1548,0.0,0.0,0.0714,0.1786,0.0,0.0119,0,0.0,0.0833,0.0238,0.0595
ist noch Schüler/in,0.0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
18-29 YEARS,0.021,0.2608,0.2359,0.0039,0.0052,0.194,0.1861,0.0026,0.0118,0,0.0,0.017,0.0026,0.059
30-44 YEARS,0.0186,0.1782,0.3225,0.001,0.0022,0.2108,0.166,0.0058,0.0166,0,0.0,0.0234,0.0032,0.0518
45-59 YEARS,0.0149,0.1654,0.3509,0.0006,0.0043,0.2231,0.1494,0.0037,0.0143,0,0.0002,0.0214,0.0026,0.0491
60 and more,0.0128,0.1656,0.357,0.0004,0.0052,0.2441,0.1423,0.0029,0.0128,0,0.0,0.0193,0.0034,0.0342
