,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0411,0.1007,0.5044,0.0015,0.0147,0.0239,0.0606,0.0513,0.0044,0.0005,0.023,0.1193,0.0005,0.0279,0.0073,0.0191
Westdeutschland,0.0262,0.0854,0.5474,0.001,0.0108,0.0344,0.0714,0.0376,0.0024,0.0006,0.0189,0.1089,0.0,0.0346,0.0076,0.0127
befindet sich noch in beruflicher Ausbildung.,0.0131,0.0784,0.6078,0.0065,0.0196,0.0654,0.0654,0.0261,0.0,0.0,0.0065,0.0392,0.0,0.0392,0.0065,0.0261
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.05,0.1,0.35,0.0,0.0,0.05,0.1,0.05,0.0,0.0,0.15,0.1,0.0,0.05,0.0,0.0
hat eine Lehre abgeschlossen.,0.0169,0.0902,0.5526,0.0,0.0056,0.0301,0.0771,0.0357,0.0,0.0019,0.0244,0.109,0.0,0.0451,0.0056,0.0056
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0288,0.103,0.5121,0.0028,0.0056,0.0297,0.0529,0.0371,0.0028,0.0,0.0195,0.1494,0.0,0.039,0.0028,0.0148
hat eine kaufmännische Lehre abgeschlossen.,0.0245,0.0846,0.5552,0.0,0.0107,0.0223,0.0666,0.0386,0.0039,0.0,0.0193,0.1202,0.0,0.0313,0.0116,0.0112
hat einen Berufsfachschulabschluss.,0.0358,0.0795,0.4916,0.0,0.0045,0.0258,0.0773,0.0414,0.0022,0.0022,0.0213,0.1478,0.0,0.0526,0.0078,0.0101
hat einen Fachhochschulabschluss.,0.0404,0.0833,0.5576,0.0025,0.0172,0.0319,0.0772,0.0429,0.0049,0.0012,0.0184,0.0784,0.0012,0.0159,0.0037,0.0233
hat einen Fachschulabschluss.,0.0412,0.072,0.5432,0.0041,0.0185,0.0247,0.0576,0.0679,0.0,0.0,0.0082,0.1111,0.0,0.0267,0.0021,0.0226
hat einen Meisterabschluss oder Technikerabschluss.,0.0382,0.0854,0.5079,0.0,0.0112,0.0225,0.0787,0.0472,0.0067,0.0,0.018,0.1483,0.0,0.0225,0.0067,0.0067
hat einen Universitätsabschluss.,0.0327,0.0982,0.5536,0.0014,0.0188,0.0487,0.071,0.0418,0.0028,0.0,0.0202,0.0669,0.0,0.0216,0.0042,0.0181
hat keine berufliche Ausbildung abgeschlossen.,0.0187,0.0991,0.5028,0.0,0.0112,0.0505,0.0729,0.0299,0.0,0.0019,0.028,0.0972,0.0,0.0523,0.0224,0.0131
Die Linke,0.0265,0.1949,0.5006,0.0035,0.0196,0.0369,0.0588,0.0358,0.0046,0.0,0.015,0.0554,0.0,0.0208,0.0023,0.0254
die AfD,0.0591,0.0682,0.294,0.0,0.0013,0.0039,0.0446,0.0709,0.0013,0.0013,0.0236,0.3793,0.0,0.0341,0.0026,0.0157
die CDU/CSU,0.0157,0.0477,0.6511,0.001,0.0098,0.0182,0.0728,0.0335,0.0039,0.0,0.0167,0.0901,0.0005,0.0246,0.0049,0.0094
die FDP,0.0418,0.0478,0.5463,0.003,0.0209,0.006,0.1045,0.0478,0.003,0.0,0.0269,0.1164,0.0,0.0269,0.0,0.009
die Grünen,0.0266,0.0901,0.6009,0.0009,0.0172,0.097,0.0704,0.024,0.0009,0.0,0.0137,0.024,0.0,0.018,0.0043,0.012
die SPD,0.018,0.0979,0.5765,0.0,0.0112,0.0266,0.0739,0.0464,0.0026,0.0009,0.0163,0.0876,0.0,0.0223,0.0069,0.0129
eine Kleinpartei,0.0535,0.0986,0.4423,0.0028,0.0197,0.0648,0.0732,0.0592,0.0,0.0028,0.0169,0.1014,0.0,0.0366,0.0028,0.0254
