,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0664,0.1053,0.4572,0.0033,0.0296,0.0531,0.1123,0.0329,0.0045,0.0009,0.0335,0.073,0.0003,0.0278
Westdeutschland,0.0534,0.087,0.505,0.0034,0.0187,0.0831,0.101,0.0281,0.003,0.0011,0.0304,0.0672,0.0,0.0185
befindet sich noch in beruflicher Ausbildung.,0.0401,0.0802,0.5185,0.0093,0.0123,0.1481,0.0988,0.0247,0.0,0.0,0.0185,0.0154,0.0,0.034
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0789,0.0526,0.4737,0.0,0.0,0.1842,0.0526,0.0263,0.0,0.0,0.0263,0.1053,0.0,0.0
hat eine Lehre abgeschlossen.,0.0463,0.0894,0.4935,0.0032,0.014,0.0765,0.1131,0.0356,0.0022,0.0022,0.0409,0.0722,0.0,0.0108
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0607,0.1085,0.4734,0.0021,0.0145,0.0618,0.1048,0.0226,0.0059,0.0005,0.0392,0.0946,0.0,0.0113
hat eine kaufmännische Lehre abgeschlossen.,0.0479,0.082,0.541,0.0033,0.0204,0.0603,0.0997,0.0275,0.0025,0.0003,0.0281,0.0705,0.0,0.0165
hat einen Berufsfachschulabschluss.,0.0671,0.0961,0.4711,0.0025,0.0172,0.0659,0.1102,0.0283,0.0012,0.0018,0.0333,0.0874,0.0,0.0179
hat einen Fachhochschulabschluss.,0.0601,0.0953,0.455,0.0008,0.0278,0.0833,0.1276,0.0353,0.0023,0.0,0.027,0.0511,0.0,0.0345
hat einen Fachschulabschluss.,0.0582,0.0721,0.493,0.0063,0.0316,0.0796,0.0986,0.0405,0.0038,0.0,0.0291,0.0645,0.0013,0.0215
hat einen Meisterabschluss oder Technikerabschluss.,0.0777,0.0967,0.4619,0.0041,0.0286,0.0708,0.0872,0.0259,0.0068,0.0027,0.03,0.0858,0.0,0.0218
hat einen Universitätsabschluss.,0.0522,0.092,0.4805,0.0025,0.0282,0.1107,0.0958,0.0323,0.0041,0.0025,0.0228,0.0444,0.0,0.0319
hat keine berufliche Ausbildung abgeschlossen.,0.0646,0.0946,0.504,0.0092,0.0127,0.0565,0.1015,0.0219,0.0046,0.0,0.0484,0.0669,0.0,0.015
Die Linke,0.0624,0.2184,0.4025,0.0031,0.0296,0.0718,0.0889,0.025,0.0086,0.0016,0.025,0.0312,0.0008,0.0312
die AfD,0.1152,0.0598,0.3258,0.0023,0.0129,0.0167,0.1023,0.0561,0.0038,0.003,0.0379,0.2553,0.0,0.0091
die CDU/CSU,0.0414,0.0529,0.5886,0.0039,0.0166,0.047,0.1168,0.0228,0.0033,0.0007,0.0235,0.0623,0.0,0.0202
die FDP,0.0706,0.0631,0.4813,0.0032,0.0332,0.0396,0.1316,0.0353,0.0032,0.0011,0.0299,0.0834,0.0,0.0246
die Grünen,0.033,0.0874,0.5037,0.003,0.0217,0.2064,0.0695,0.023,0.0009,0.0004,0.02,0.01,0.0,0.0209
die SPD,0.0343,0.1007,0.5376,0.0031,0.0228,0.0669,0.1105,0.0265,0.0021,0.0005,0.0244,0.0477,0.0,0.0228
eine Kleinpartei,0.0918,0.1063,0.4058,0.0064,0.0161,0.095,0.1079,0.0499,0.0064,0.0016,0.0435,0.0499,0.0,0.0193
keine Partei,0.0634,0.0922,0.4977,0.0032,0.0217,0.0488,0.1087,0.0262,0.0032,0.001,0.0485,0.0663,0.0,0.0191
männlich,0.0632,0.0993,0.4696,0.0023,0.0178,0.0831,0.0962,0.0318,0.0035,0.0012,0.0315,0.0768,0.0,0.0236
weiblich,0.0496,0.0831,0.5184,0.0044,0.0245,0.0694,0.1108,0.0267,0.0033,0.0008,0.0307,0.0604,0.0001,0.0177
hat das Abitur,0.0516,0.0947,0.4969,0.0027,0.0264,0.104,0.0952,0.0326,0.0023,0.0017,0.0178,0.0465,0.0,0.0275
hat einen Fachhochschulreife,0.0653,0.0846,0.4649,0.0028,0.0296,0.0818,0.1169,0.0282,0.0048,0.0007,0.033,0.0619,0.0,0.0254
hat einen Hauptschulabschluss,0.0625,0.0915,0.4941,0.0036,0.0099,0.0542,0.1024,0.0254,0.0046,0.0003,0.0433,0.0972,0.0,0.0109
hat einen Realschulabschluss,0.0542,0.0898,0.5009,0.0036,0.0207,0.0629,0.108,0.0287,0.0032,0.001,0.0346,0.0734,0.0002,0.0188
hat keinen Schulabschluss,0.0833,0.0833,0.4028,0.0278,0.0139,0.0417,0.1111,0.0278,0.0,0.0,0.0972,0.0972,0.0,0.0139
ist noch Schüler/in,0.3333,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0595,0.075,0.484,0.0055,0.0121,0.1312,0.1114,0.0287,0.0022,0.0,0.0375,0.0309,0.0,0.0221
30-44 YEARS,0.0543,0.0876,0.5099,0.005,0.022,0.0692,0.1134,0.0258,0.0024,0.0018,0.0368,0.0516,0.0,0.0202
45-59 YEARS,0.0518,0.0898,0.4998,0.003,0.0177,0.0681,0.1057,0.0271,0.0026,0.0008,0.0314,0.0816,0.0,0.0207
60 and more,0.0616,0.0977,0.4803,0.0023,0.0256,0.0792,0.0938,0.0336,0.005,0.001,0.0259,0.0734,0.0002,0.0206
