,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0634,0.1006,0.4367,0.0032,0.0283,0.0507,0.1072,0.0314,0.0043,0.0009,0.032,0.0698,0.0003,0.036,0.0086,0.0265
Westdeutschland,0.0511,0.0832,0.4827,0.0032,0.0179,0.0794,0.0965,0.0269,0.0029,0.001,0.029,0.0643,0.0,0.0355,0.0088,0.0177
befindet sich noch in beruflicher Ausbildung.,0.0377,0.0754,0.487,0.0087,0.0116,0.1391,0.0928,0.0232,0.0,0.0,0.0174,0.0145,0.0,0.0435,0.0174,0.0319
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0667,0.0444,0.4,0.0,0.0,0.1556,0.0444,0.0222,0.0,0.0,0.0222,0.0889,0.0,0.1556,0.0,0.0
hat eine Lehre abgeschlossen.,0.0435,0.084,0.4636,0.003,0.0132,0.0719,0.1063,0.0334,0.002,0.002,0.0385,0.0678,0.0,0.0496,0.0111,0.0101
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0577,0.1032,0.4499,0.002,0.0138,0.0587,0.0996,0.0215,0.0056,0.0005,0.0373,0.0899,0.0,0.0424,0.0072,0.0107
hat eine kaufmännische Lehre abgeschlossen.,0.0459,0.0786,0.5183,0.0032,0.0195,0.0578,0.0955,0.0264,0.0024,0.0003,0.0269,0.0675,0.0,0.033,0.009,0.0158
hat einen Berufsfachschulabschluss.,0.0634,0.0908,0.4453,0.0023,0.0163,0.0623,0.1042,0.0268,0.0012,0.0017,0.0314,0.0827,0.0,0.0437,0.0111,0.0169
hat einen Fachhochschulabschluss.,0.0584,0.0926,0.442,0.0007,0.027,0.081,0.124,0.0343,0.0022,0.0,0.0263,0.0496,0.0,0.0241,0.0044,0.0336
hat einen Fachschulabschluss.,0.0562,0.0697,0.4768,0.0061,0.0306,0.077,0.0954,0.0391,0.0037,0.0,0.0281,0.0623,0.0012,0.0293,0.0037,0.0208
hat einen Meisterabschluss oder Technikerabschluss.,0.0755,0.094,0.449,0.004,0.0278,0.0689,0.0848,0.0252,0.0066,0.0026,0.0291,0.0834,0.0,0.0238,0.004,0.0212
hat einen Universitätsabschluss.,0.051,0.0898,0.469,0.0024,0.0275,0.1081,0.0935,0.0316,0.004,0.0024,0.0223,0.0433,0.0,0.0214,0.0024,0.0312
hat keine berufliche Ausbildung abgeschlossen.,0.0585,0.0856,0.4562,0.0084,0.0115,0.0511,0.0919,0.0198,0.0042,0.0,0.0438,0.0605,0.0,0.0626,0.0324,0.0136
Die Linke,0.0608,0.2129,0.3924,0.003,0.0289,0.07,0.0867,0.0243,0.0084,0.0015,0.0243,0.0304,0.0008,0.019,0.0061,0.0304
die AfD,0.1111,0.0577,0.3143,0.0022,0.0124,0.0161,0.0987,0.0541,0.0037,0.0029,0.0365,0.2463,0.0,0.0285,0.0066,0.0088
die CDU/CSU,0.0397,0.0506,0.5634,0.0037,0.0159,0.045,0.1118,0.0219,0.0031,0.0006,0.0225,0.0597,0.0,0.0369,0.0059,0.0194
die FDP,0.069,0.0617,0.4702,0.0031,0.0324,0.0387,0.1285,0.0345,0.0031,0.001,0.0293,0.0815,0.0,0.0219,0.001,0.024
die Grünen,0.0322,0.0851,0.4909,0.003,0.0212,0.2012,0.0678,0.0224,0.0008,0.0004,0.0195,0.0097,0.0,0.0216,0.0038,0.0203
die SPD,0.0331,0.0973,0.5196,0.003,0.0221,0.0647,0.1068,0.0256,0.002,0.0005,0.0236,0.0461,0.0,0.0311,0.0025,0.0221
eine Kleinpartei,0.0891,0.1031,0.3938,0.0062,0.0156,0.0922,0.1047,0.0484,0.0062,0.0016,0.0422,0.0484,0.0,0.0297,0.0,0.0188
keine Partei,0.058,0.0843,0.4552,0.003,0.0198,0.0447,0.0994,0.024,0.003,0.0009,0.0444,0.0606,0.0,0.0612,0.0243,0.0175
männlich,0.0604,0.0949,0.4489,0.0022,0.017,0.0795,0.092,0.0304,0.0033,0.0012,0.0301,0.0734,0.0,0.0375,0.0067,0.0226
weiblich,0.0474,0.0794,0.4954,0.0042,0.0234,0.0664,0.1059,0.0255,0.0031,0.0008,0.0293,0.0577,0.0001,0.0338,0.0107,0.0169
hat das Abitur,0.0503,0.0924,0.4846,0.0027,0.0258,0.1015,0.0928,0.0318,0.0023,0.0016,0.0173,0.0454,0.0,0.0223,0.0025,0.0268
hat einen Fachhochschulreife,0.063,0.0815,0.448,0.0027,0.0285,0.0789,0.1127,0.0272,0.0046,0.0007,0.0318,0.0596,0.0,0.0331,0.0033,0.0245
hat einen Hauptschulabschluss,0.0581,0.0851,0.4594,0.0034,0.0092,0.0504,0.0953,0.0237,0.0043,0.0003,0.0403,0.0904,0.0,0.051,0.0191,0.0101
hat einen Realschulabschluss,0.0517,0.0856,0.478,0.0034,0.0198,0.0601,0.1031,0.0274,0.0031,0.0009,0.033,0.07,0.0002,0.0374,0.0083,0.018
hat keinen Schulabschluss,0.0652,0.0652,0.3152,0.0217,0.0109,0.0326,0.087,0.0217,0.0,0.0,0.0761,0.0761,0.0,0.1304,0.087,0.0109
ist noch Schüler/in,0.3333,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0547,0.0689,0.4448,0.0051,0.0111,0.1206,0.1023,0.0263,0.002,0.0,0.0344,0.0284,0.0,0.0709,0.0101,0.0203
30-44 YEARS,0.0506,0.0815,0.4748,0.0047,0.0205,0.0644,0.1056,0.024,0.0022,0.0017,0.0343,0.0481,0.0,0.0567,0.0122,0.0188
45-59 YEARS,0.0496,0.086,0.4786,0.0029,0.017,0.0652,0.1012,0.0259,0.0025,0.0008,0.0301,0.0781,0.0,0.0337,0.0088,0.0198
