,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0576,0.1307,0.3267,0.0023,0.0277,0.1342,0.1091,0.0303,0.0077,0.0006,0.0315,0.1233,0.0006,0.0177
Westdeutschland,0.0451,0.1065,0.3588,0.0023,0.0157,0.2039,0.0977,0.0226,0.0075,0.0003,0.0238,0.1021,0.0002,0.0136
befindet sich noch in beruflicher Ausbildung.,0.0289,0.083,0.3574,0.0,0.0144,0.3357,0.0794,0.0108,0.0036,0.0036,0.0144,0.0361,0.0,0.0325
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.1389,0.2222,0.0,0.0278,0.3056,0.0833,0.0556,0.0,0.0,0.0556,0.1111,0.0,0.0
hat eine Lehre abgeschlossen.,0.0415,0.1172,0.348,0.0,0.0098,0.2149,0.0977,0.0244,0.0073,0.0,0.0256,0.105,0.0012,0.0073
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0413,0.128,0.3479,0.0012,0.0163,0.1501,0.1006,0.0244,0.0029,0.0,0.0314,0.1443,0.0006,0.0111
hat eine kaufmännische Lehre abgeschlossen.,0.0401,0.1077,0.3795,0.0033,0.0163,0.1745,0.0964,0.0211,0.0098,0.0,0.0231,0.1187,0.0003,0.0092
hat einen Berufsfachschulabschluss.,0.0499,0.113,0.3577,0.002,0.0199,0.1423,0.1124,0.0213,0.0113,0.0,0.0352,0.123,0.0,0.012
hat einen Fachhochschulabschluss.,0.0603,0.1059,0.3382,0.0008,0.0236,0.2103,0.1011,0.0236,0.0057,0.0,0.0244,0.0856,0.0,0.0204
hat einen Fachschulabschluss.,0.0687,0.1094,0.3422,0.0028,0.0182,0.1964,0.0926,0.0309,0.0056,0.0,0.0126,0.1066,0.0,0.014
hat einen Meisterabschluss oder Technikerabschluss.,0.0725,0.1109,0.3166,0.003,0.0207,0.1612,0.1109,0.0311,0.0044,0.003,0.0281,0.1198,0.0015,0.0163
hat einen Universitätsabschluss.,0.049,0.0976,0.3288,0.0022,0.0261,0.2389,0.0999,0.0315,0.009,0.0004,0.018,0.0742,0.0,0.0243
hat keine berufliche Ausbildung abgeschlossen.,0.0466,0.1527,0.3558,0.0065,0.0091,0.1617,0.1022,0.0168,0.0065,0.0013,0.0401,0.0867,0.0,0.0142
Die Linke,0.0468,0.2783,0.2528,0.0009,0.0272,0.1872,0.0783,0.0213,0.0102,0.0,0.0196,0.0536,0.0009,0.023
die AfD,0.0895,0.0775,0.2798,0.0024,0.0064,0.0336,0.0671,0.056,0.0096,0.0016,0.0312,0.3333,0.0,0.012
die CDU/CSU,0.035,0.0689,0.4322,0.0029,0.0179,0.1589,0.121,0.0182,0.0077,0.0,0.0219,0.1046,0.0,0.0109
die FDP,0.0525,0.0744,0.3446,0.0033,0.0317,0.1072,0.1586,0.0208,0.0098,0.0,0.0208,0.1597,0.0,0.0164
die Grünen,0.0295,0.0781,0.2749,0.0016,0.018,0.4667,0.0667,0.012,0.0038,0.0,0.012,0.0219,0.0005,0.0142
die SPD,0.0277,0.1217,0.3817,0.001,0.0181,0.1947,0.1236,0.0239,0.01,0.0,0.0172,0.0668,0.0005,0.0134
eine Kleinpartei,0.0885,0.1441,0.2865,0.0035,0.0191,0.1736,0.0868,0.0347,0.0035,0.0035,0.0312,0.0955,0.0,0.0295
keine Partei,0.0603,0.121,0.3889,0.0033,0.0171,0.1254,0.0923,0.0251,0.0062,0.0004,0.0451,0.1014,0.0004,0.0131
männlich,0.0511,0.1202,0.3333,0.0012,0.0164,0.1825,0.0969,0.027,0.0083,0.0006,0.0267,0.119,0.0006,0.0162
weiblich,0.0449,0.104,0.3693,0.0034,0.0207,0.1928,0.1037,0.0217,0.0069,0.0001,0.0244,0.0951,0.0,0.0129
hat das Abitur,0.0503,0.1055,0.3473,0.0023,0.0235,0.2359,0.0877,0.0272,0.0078,0.0002,0.0159,0.0743,0.0,0.0219
hat einen Fachhochschulreife,0.0535,0.1054,0.3354,0.0008,0.0222,0.1963,0.11,0.0267,0.0061,0.0008,0.0252,0.1054,0.0,0.0122
hat einen Hauptschulabschluss,0.0432,0.1245,0.3539,0.0033,0.0116,0.1572,0.1009,0.0207,0.0087,0.0004,0.0352,0.1336,0.0,0.0069
hat einen Realschulabschluss,0.0458,0.1123,0.3588,0.0023,0.0173,0.161,0.1089,0.0234,0.007,0.0004,0.0283,0.121,0.0008,0.0127
hat keinen Schulabschluss,0.1449,0.1449,0.2754,0.0,0.0,0.1014,0.087,0.0145,0.0145,0.0,0.058,0.1304,0.0,0.029
ist noch Schüler/in,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
18-29 YEARS,0.0311,0.0961,0.3545,0.0,0.0122,0.2693,0.0853,0.0244,0.0054,0.0014,0.0392,0.0582,0.0,0.023
30-44 YEARS,0.0425,0.0976,0.4082,0.0034,0.0196,0.1658,0.0979,0.0243,0.0041,0.0003,0.0304,0.0898,0.0003,0.0159
45-59 YEARS,0.0499,0.1219,0.3541,0.0028,0.016,0.1646,0.1042,0.0241,0.0073,0.0004,0.0256,0.1161,0.0,0.013
60 and more,0.0519,0.1139,0.3143,0.0016,0.0212,0.2105,0.1004,0.0246,0.0103,0.0002,0.0206,0.1159,0.0006,0.0139
