,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.021,0.1797,0.4517,0.0006,0.0043,0.0941,0.1346,0.0082,0.0122,0,0,0.0244,0.0094,0.0597
Westdeutschland,0.0135,0.1284,0.5863,0.0008,0.0066,0.0768,0.1129,0.0055,0.0088,0,0,0.0198,0.0004,0.0402
befindet sich noch in beruflicher Ausbildung.,0.012,0.1898,0.4789,0.003,0.006,0.0994,0.1446,0.006,0.003,0,0,0.0211,0.0,0.0361
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.093,0.5581,0.0,0.0233,0.1395,0.1163,0.0233,0.0,0,0,0.0,0.0,0.0465
hat eine Lehre abgeschlossen.,0.0086,0.151,0.5525,0.0,0.0064,0.0792,0.1124,0.0032,0.0096,0,0,0.0289,0.0021,0.046
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0111,0.1783,0.4979,0.0,0.0053,0.0818,0.135,0.0074,0.0105,0,0,0.0179,0.0026,0.0522
hat eine kaufmännische Lehre abgeschlossen.,0.0147,0.1547,0.5506,0.0017,0.0058,0.0678,0.1325,0.0086,0.0075,0,0,0.018,0.0022,0.036
hat einen Berufsfachschulabschluss.,0.0184,0.1278,0.5691,0.0,0.0055,0.0688,0.1174,0.0037,0.0123,0,0,0.0246,0.0055,0.0467
hat einen Fachhochschulabschluss.,0.0141,0.0814,0.6236,0.0008,0.0047,0.097,0.0994,0.0063,0.0164,0,0,0.0196,0.0008,0.036
hat einen Fachschulabschluss.,0.0183,0.1121,0.5906,0.0013,0.0117,0.0847,0.1134,0.0026,0.0052,0,0,0.0196,0.0026,0.0378
hat einen Meisterabschluss oder Technikerabschluss.,0.0183,0.1157,0.5529,0.0,0.0042,0.1044,0.1157,0.0014,0.0113,0,0,0.024,0.0056,0.0465
hat einen Universitätsabschluss.,0.0187,0.0788,0.6381,0.0009,0.0038,0.0941,0.0826,0.0055,0.0102,0,0,0.0204,0.0004,0.0464
hat keine berufliche Ausbildung abgeschlossen.,0.0163,0.2777,0.372,0.0,0.013,0.064,0.1421,0.0076,0.0054,0,0,0.026,0.0033,0.0727
Die Linke,0.0142,0.3381,0.3483,0.0024,0.0087,0.0624,0.1232,0.0032,0.0118,0,0,0.0237,0.0024,0.0616
die AfD,0.0326,0.1312,0.2927,0.0,0.0,0.0846,0.1157,0.0365,0.0225,0,0,0.1102,0.0078,0.1661
die CDU/CSU,0.0089,0.0708,0.7377,0.0,0.0043,0.0537,0.0876,0.002,0.0056,0,0,0.0049,0.0003,0.0244
die FDP,0.019,0.1017,0.5609,0.0,0.0101,0.0737,0.1665,0.0045,0.0156,0,0,0.0045,0.0022,0.0413
die Grünen,0.0111,0.1233,0.5379,0.0004,0.0071,0.1818,0.0829,0.0044,0.0067,0,0,0.0208,0.0018,0.0217
die SPD,0.0105,0.1555,0.6468,0.0005,0.0037,0.0416,0.1091,0.0011,0.0047,0,0,0.0079,0.0016,0.0169
eine Kleinpartei,0.0231,0.1749,0.4142,0.0,0.0083,0.0809,0.1766,0.0099,0.0165,0,0,0.0116,0.005,0.0792
keine Partei,0.0177,0.1376,0.5552,0.0019,0.0084,0.066,0.15,0.0028,0.0093,0,0,0.013,0.0028,0.0353
männlich,0.019,0.1267,0.5446,0.0006,0.0042,0.0814,0.1301,0.0055,0.0122,0,0,0.0166,0.0032,0.056
weiblich,0.0115,0.1532,0.567,0.001,0.008,0.0801,0.1056,0.0066,0.007,0,0,0.0251,0.0017,0.0333
hat das Abitur,0.0165,0.0943,0.6168,0.0009,0.005,0.0922,0.0978,0.0052,0.0106,0,0,0.0178,0.0011,0.0417
hat einen Fachhochschulreife,0.0135,0.1254,0.5698,0.0,0.0064,0.0879,0.112,0.005,0.0135,0,0,0.0241,0.0021,0.0404
hat einen Hauptschulabschluss,0.0151,0.1842,0.5209,0.0006,0.0058,0.0678,0.1203,0.0061,0.008,0,0,0.0203,0.0039,0.0469
hat einen Realschulabschluss,0.0145,0.1536,0.5248,0.001,0.0067,0.0775,0.1351,0.0069,0.0088,0,0,0.0228,0.0027,0.0459
hat keinen Schulabschluss,0.022,0.3846,0.2418,0.0,0.033,0.022,0.1319,0.022,0.0,0,0,0.022,0.011,0.1099
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0,0,0.3333,0.0,0.0
18-29 YEARS,0.0137,0.224,0.449,0.0021,0.0084,0.0841,0.1335,0.0053,0.0053,0,0,0.0189,0.0021,0.0536
30-44 YEARS,0.0177,0.1366,0.5367,0.0012,0.0078,0.0728,0.1316,0.0055,0.0104,0,0,0.0229,0.0026,0.0542
45-59 YEARS,0.0166,0.1223,0.5668,0.0006,0.0052,0.0851,0.1139,0.0082,0.0106,0,0,0.0216,0.0028,0.0462
60 and more,0.0124,0.144,0.578,0.0004,0.0053,0.0812,0.1093,0.0045,0.0089,0,0,0.0191,0.002,0.0349
