,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0426,0.0872,0.5748,0.0017,0.0171,0.0579,0.0513,0.0279,0.0038,0.0007,0.0213,0.0785,0.0024,0.0328
Westdeutschland,0.0308,0.0806,0.5957,0.0021,0.0105,0.088,0.0531,0.0249,0.0048,0.0006,0.0171,0.072,0.0002,0.0194
befindet sich noch in beruflicher Ausbildung.,0.0085,0.0936,0.5277,0.0,0.0128,0.183,0.0681,0.0298,0.0,0.0,0.0213,0.0128,0.0,0.0426
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0303,0.0909,0.5152,0.0,0.0,0.1515,0.0303,0.0,0.0,0.0,0.1212,0.0606,0.0,0.0
hat eine Lehre abgeschlossen.,0.035,0.0795,0.6038,0.0,0.0121,0.097,0.0485,0.0094,0.0027,0.0,0.0202,0.0795,0.0,0.0121
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.033,0.0928,0.5724,0.0013,0.0083,0.0559,0.0553,0.0229,0.0038,0.0006,0.0203,0.1137,0.0019,0.0178
hat eine kaufmännische Lehre abgeschlossen.,0.0316,0.0765,0.6414,0.0022,0.0086,0.0663,0.0469,0.021,0.0041,0.0003,0.0131,0.0733,0.0,0.0147
hat einen Berufsfachschulabschluss.,0.0362,0.081,0.5948,0.0036,0.0094,0.0622,0.0615,0.0289,0.0022,0.0007,0.0166,0.0847,0.0007,0.0174
hat einen Fachhochschulabschluss.,0.0355,0.0718,0.6012,0.0026,0.0138,0.0848,0.0606,0.0311,0.0069,0.0,0.0156,0.0519,0.0009,0.0234
hat einen Fachschulabschluss.,0.04,0.0815,0.6237,0.0015,0.0089,0.0622,0.0459,0.0281,0.0044,0.0,0.0133,0.0593,0.0,0.0311
hat einen Meisterabschluss oder Technikerabschluss.,0.0338,0.0821,0.5652,0.0,0.0209,0.0596,0.0548,0.0177,0.0016,0.0016,0.0306,0.095,0.0016,0.0354
hat einen Universitätsabschluss.,0.0352,0.077,0.5388,0.0033,0.0202,0.1235,0.0531,0.0348,0.0085,0.0014,0.016,0.0526,0.0009,0.0348
hat keine berufliche Ausbildung abgeschlossen.,0.0304,0.116,0.5442,0.0,0.0083,0.0884,0.047,0.0304,0.0041,0.0014,0.0331,0.0704,0.0014,0.0249
Die Linke,0.0318,0.2064,0.4937,0.0029,0.0145,0.0839,0.0473,0.0328,0.0048,0.0,0.0106,0.0241,0.0048,0.0424
die AfD,0.0814,0.0617,0.4043,0.0,0.0054,0.0134,0.0626,0.0447,0.0009,0.0036,0.017,0.2809,0.0,0.0242
die CDU/CSU,0.0234,0.0463,0.6761,0.0009,0.0103,0.054,0.0639,0.0198,0.0054,0.0,0.0175,0.0679,0.0004,0.0139
die FDP,0.0296,0.052,0.5981,0.0,0.0201,0.0426,0.0981,0.0213,0.0071,0.0,0.0189,0.0898,0.0,0.0225
die Grünen,0.0142,0.0601,0.5591,0.0031,0.0155,0.2427,0.0291,0.026,0.0025,0.0,0.0093,0.0111,0.0,0.0272
die SPD,0.0081,0.0871,0.6851,0.0028,0.0113,0.069,0.0476,0.0173,0.0048,0.0,0.0109,0.0387,0.0012,0.0161
eine Kleinpartei,0.069,0.1318,0.4707,0.0042,0.0084,0.0879,0.0481,0.0335,0.0084,0.0042,0.0293,0.0732,0.0,0.0314
keine Partei,0.0532,0.0816,0.5867,0.0023,0.0119,0.0548,0.0467,0.0272,0.005,0.0008,0.0318,0.0755,0.0,0.0226
männlich,0.0407,0.0929,0.553,0.0014,0.0123,0.0819,0.0534,0.0255,0.0051,0.0008,0.0199,0.0872,0.0011,0.0247
weiblich,0.0262,0.0711,0.6297,0.0026,0.0117,0.0802,0.052,0.0258,0.0041,0.0005,0.0161,0.0595,0.0003,0.0202
hat das Abitur,0.034,0.0777,0.5751,0.0024,0.0161,0.1148,0.0522,0.0305,0.0057,0.0007,0.0139,0.0466,0.0007,0.0295
hat einen Fachhochschulreife,0.0444,0.0937,0.5694,0.0008,0.0164,0.0608,0.0551,0.0263,0.0041,0.0008,0.023,0.0756,0.0016,0.0279
hat einen Hauptschulabschluss,0.0225,0.0831,0.5922,0.003,0.0064,0.0657,0.0555,0.0165,0.0064,0.0004,0.0237,0.1102,0.0004,0.014
hat einen Realschulabschluss,0.0356,0.0829,0.6127,0.0015,0.0101,0.0633,0.0505,0.0251,0.0029,0.0007,0.0163,0.0787,0.0007,0.0191
hat keinen Schulabschluss,0.0667,0.0667,0.4,0.0,0.0,0.0444,0.1111,0.0889,0.0,0.0,0.1111,0.1111,0.0,0.0
ist noch Schüler/in,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
18-29 YEARS,0.0244,0.0808,0.5122,0.0061,0.0168,0.157,0.0671,0.0381,0.0,0.0015,0.0366,0.032,0.0,0.0274
30-44 YEARS,0.0416,0.086,0.5592,0.0033,0.019,0.0806,0.0631,0.0255,0.0018,0.0007,0.0273,0.0642,0.0007,0.027
45-59 YEARS,0.0364,0.0836,0.5948,0.0014,0.0087,0.0703,0.0545,0.0243,0.003,0.0007,0.0169,0.0822,0.0,0.0231
60 and more,0.0274,0.0786,0.6171,0.0013,0.0103,0.0808,0.0429,0.0252,0.0084,0.0004,0.011,0.0767,0.0015,0.0185
