,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0568,0.1624,0.2318,0.0022,0.0271,0.1444,0.1066,0.0224,0.0101,0.0003,0.0252,0.1365,0.0016,0.0391,0.012,0.0214
Westdeutschland,0.04,0.1234,0.2718,0.0024,0.0181,0.2188,0.1045,0.0225,0.0074,0.0004,0.0192,0.1115,0.0,0.0393,0.0089,0.0118
befindet sich noch in beruflicher Ausbildung.,0.0142,0.0922,0.3121,0.0106,0.0177,0.3369,0.0603,0.0213,0.0106,0.0,0.0035,0.0248,0.0,0.0567,0.0177,0.0213
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0256,0.1282,0.2308,0.0,0.0,0.3077,0.0513,0.0,0.0,0.0,0.0513,0.1282,0.0,0.0769,0.0,0.0
hat eine Lehre abgeschlossen.,0.037,0.1098,0.2733,0.0036,0.0155,0.1969,0.105,0.0239,0.0107,0.0,0.0334,0.1217,0.0,0.0513,0.0131,0.0048
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0433,0.1568,0.2537,0.0023,0.016,0.1676,0.1003,0.016,0.008,0.0011,0.0262,0.1465,0.0,0.0422,0.0103,0.0097
hat eine kaufmännische Lehre abgeschlossen.,0.0419,0.1311,0.2916,0.0017,0.0174,0.186,0.1064,0.0201,0.0058,0.0003,0.0172,0.1279,0.0003,0.0334,0.0081,0.0108
hat einen Berufsfachschulabschluss.,0.0516,0.1327,0.2556,0.002,0.0196,0.1595,0.1046,0.0216,0.0098,0.0,0.0229,0.1418,0.0013,0.0588,0.0092,0.0092
hat einen Fachhochschulabschluss.,0.0485,0.1348,0.2523,0.0008,0.0271,0.2145,0.1191,0.0271,0.0066,0.0,0.0189,0.0986,0.0008,0.0263,0.0058,0.0189
hat einen Fachschulabschluss.,0.0639,0.1208,0.2542,0.0042,0.0153,0.2181,0.0819,0.0306,0.0111,0.0,0.0167,0.125,0.0,0.0347,0.0069,0.0167
hat einen Meisterabschluss oder Technikerabschluss.,0.0643,0.1315,0.2197,0.006,0.0284,0.1734,0.1211,0.0299,0.0149,0.0,0.0209,0.1375,0.0,0.0269,0.0105,0.0149
hat einen Universitätsabschluss.,0.0374,0.1263,0.2393,0.0013,0.0285,0.2762,0.1143,0.0258,0.0062,0.0004,0.0147,0.0761,0.0,0.0254,0.0018,0.0262
hat keine berufliche Ausbildung abgeschlossen.,0.0351,0.1475,0.266,0.0024,0.0133,0.1536,0.0883,0.0193,0.0097,0.0012,0.0326,0.11,0.0012,0.0713,0.0375,0.0109
Die Linke,0.0385,0.3061,0.1778,0.0009,0.0275,0.1907,0.0926,0.0165,0.0092,0.0,0.0137,0.0651,0.0027,0.0302,0.0055,0.0229
die AfD,0.0654,0.0915,0.2154,0.0015,0.0085,0.0362,0.0808,0.0469,0.0131,0.0008,0.0231,0.3623,0.0,0.0338,0.0046,0.0162
