,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0349,0.0848,0.5728,0.0018,0.0136,0.015,0.1043,0.0281,0.0045,0.0005,0.0163,0.112,0.0,0.0113
Westdeutschland,0.0265,0.074,0.6288,0.0017,0.0097,0.0214,0.0971,0.0148,0.0027,0.0001,0.0214,0.0939,0.0001,0.0077
befindet sich noch in beruflicher Ausbildung.,0.0104,0.057,0.6218,0.0,0.0155,0.0518,0.114,0.0415,0.0,0.0052,0.0155,0.0518,0.0,0.0155
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0526,0.1579,0.5263,0.0,0.0,0.1053,0.0526,0.0,0.0,0.0,0.0526,0.0526,0.0,0.0
hat eine Lehre abgeschlossen.,0.0301,0.0851,0.6259,0.0018,0.0142,0.023,0.0656,0.016,0.0035,0.0,0.0213,0.1099,0.0,0.0035
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0303,0.0944,0.5905,0.0,0.0087,0.0156,0.0944,0.0147,0.0017,0.0,0.0182,0.1195,0.0,0.0121
hat eine kaufmännische Lehre abgeschlossen.,0.0241,0.0716,0.6258,0.0025,0.0098,0.0127,0.1072,0.0164,0.0016,0.0,0.0196,0.1055,0.0,0.0033
hat einen Berufsfachschulabschluss.,0.0213,0.0755,0.5898,0.0,0.0053,0.0138,0.102,0.0181,0.0043,0.0,0.0223,0.1435,0.0,0.0043
hat einen Fachhochschulabschluss.,0.0271,0.07,0.6524,0.0011,0.009,0.0169,0.0971,0.0214,0.0034,0.0,0.0181,0.0722,0.0011,0.0102
hat einen Fachschulabschluss.,0.0371,0.0586,0.623,0.0078,0.0137,0.0195,0.0977,0.0156,0.0059,0.0,0.0176,0.0879,0.0,0.0156
hat einen Meisterabschluss oder Technikerabschluss.,0.039,0.0606,0.6104,0.0,0.0043,0.013,0.0866,0.0152,0.013,0.0,0.0195,0.1255,0.0,0.013
hat einen Universitätsabschluss.,0.0307,0.0751,0.6212,0.0013,0.0157,0.0351,0.1152,0.0219,0.0031,0.0,0.0169,0.0501,0.0,0.0138
hat keine berufliche Ausbildung abgeschlossen.,0.0382,0.1024,0.5816,0.0035,0.0122,0.0208,0.0642,0.0139,0.0,0.0017,0.0382,0.1163,0.0,0.0069
Die Linke,0.0279,0.1602,0.5731,0.002,0.0139,0.0249,0.1025,0.0189,0.007,0.0,0.0129,0.0428,0.0,0.0139
die AfD,0.0526,0.0593,0.3926,0.0,0.0011,0.0022,0.0817,0.028,0.0045,0.0,0.0213,0.3512,0.0,0.0056
die CDU/CSU,0.017,0.0373,0.7098,0.0014,0.0052,0.0094,0.1166,0.0104,0.0033,0.0,0.0184,0.0628,0.0,0.0085
die FDP,0.0174,0.0498,0.597,0.0,0.0199,0.005,0.1244,0.0274,0.0025,0.0,0.0174,0.1368,0.0,0.0025
die Grünen,0.0191,0.0695,0.6769,0.0023,0.0168,0.0588,0.0894,0.013,0.0015,0.0,0.0183,0.026,0.0008,0.0076
die SPD,0.0169,0.087,0.6761,0.0016,0.0113,0.0169,0.0959,0.0145,0.0016,0.0,0.0113,0.0556,0.0,0.0113
eine Kleinpartei,0.0634,0.0716,0.5069,0.0028,0.0193,0.0468,0.1157,0.0441,0.0028,0.0,0.0248,0.0992,0.0,0.0028
keine Partei,0.0392,0.0882,0.583,0.0025,0.0109,0.0109,0.0858,0.0198,0.0025,0.001,0.0317,0.116,0.0,0.0084
männlich,0.0343,0.0863,0.601,0.0009,0.01,0.0193,0.0948,0.0189,0.0052,0.0004,0.0193,0.1002,0.0,0.0095
weiblich,0.0228,0.0671,0.6298,0.0025,0.0112,0.0205,0.1028,0.0171,0.0011,0.0,0.0211,0.0962,0.0002,0.0076
hat das Abitur,0.0256,0.0716,0.6412,0.0009,0.012,0.0284,0.1079,0.0218,0.0038,0.0003,0.0186,0.0543,0.0003,0.0133
hat einen Fachhochschulreife,0.0323,0.0872,0.6157,0.0011,0.0108,0.0226,0.0893,0.0151,0.0011,0.0011,0.0205,0.0947,0.0,0.0086
hat einen Hauptschulabschluss,0.0297,0.076,0.5939,0.0017,0.0074,0.0143,0.0782,0.016,0.0023,0.0,0.0246,0.1508,0.0,0.0051
hat einen Realschulabschluss,0.0292,0.0773,0.605,0.0023,0.011,0.0142,0.1037,0.0162,0.0035,0.0,0.0188,0.1127,0.0,0.0061
hat keinen Schulabschluss,0.0435,0.1739,0.4783,0.0217,0.0,0.0217,0.087,0.0217,0.0,0.0,0.0652,0.087,0.0,0.0
ist noch Schüler/in,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
18-29 YEARS,0.0186,0.0418,0.6218,0.0023,0.0162,0.051,0.116,0.0232,0.0,0.0023,0.0325,0.065,0.0,0.0093
30-44 YEARS,0.0278,0.0737,0.6123,0.0029,0.0124,0.0235,0.1082,0.0206,0.0014,0.0,0.0244,0.0833,0.0,0.0096
45-59 YEARS,0.0231,0.0756,0.6167,0.0015,0.0089,0.0157,0.1012,0.0178,0.0039,0.0003,0.0196,0.1077,0.0003,0.0077
60 and more,0.0353,0.0836,0.6158,0.0012,0.0104,0.0179,0.0888,0.0159,0.0038,0.0,0.0168,0.1021,0.0,0.0087
