,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0099,0.2092,0.4124,0.0007,0.0056,0.1145,0.1447,0.0093,0.0063,0,0,0.0255,0.0166,0.0453
Westdeutschland,0.0115,0.1492,0.5336,0.0002,0.0038,0.1019,0.1281,0.0058,0.009,0,0,0.0217,0.0007,0.0345
befindet sich noch in beruflicher Ausbildung.,0.0,0.241,0.3885,0.0,0.0036,0.1223,0.1799,0.0072,0.0072,0,0,0.0144,0.0,0.036
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.1081,0.5405,0.0,0.0,0.0811,0.2432,0.0,0.0,0,0,0.0,0.0,0.027
hat eine Lehre abgeschlossen.,0.0073,0.1995,0.4859,0.0,0.0098,0.1053,0.12,0.0037,0.0086,0,0,0.0245,0.0086,0.0269
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.013,0.2245,0.4113,0.0,0.0024,0.1096,0.1615,0.0035,0.0118,0,0,0.02,0.0053,0.0371
hat eine kaufmännische Lehre abgeschlossen.,0.0096,0.1648,0.5045,0.0003,0.0039,0.0928,0.1467,0.0108,0.0078,0,0,0.0223,0.0015,0.0349
hat einen Berufsfachschulabschluss.,0.0172,0.154,0.5093,0.0007,0.0041,0.0955,0.1182,0.0041,0.0096,0,0,0.0351,0.0027,0.0495
hat einen Fachhochschulabschluss.,0.0093,0.1135,0.5736,0.0,0.0042,0.1203,0.1009,0.0059,0.0109,0,0,0.0202,0.0084,0.0328
hat einen Fachschulabschluss.,0.0129,0.14,0.5514,0.0,0.0014,0.1071,0.1171,0.0057,0.0071,0,0,0.0171,0.0043,0.0357
hat einen Meisterabschluss oder Technikerabschluss.,0.0121,0.1511,0.4789,0.0,0.003,0.1118,0.1707,0.0106,0.006,0,0,0.0181,0.0045,0.0332
hat einen Universitätsabschluss.,0.0106,0.0822,0.6183,0.0005,0.0037,0.1203,0.096,0.006,0.0078,0,0,0.0147,0.0046,0.0354
hat keine berufliche Ausbildung abgeschlossen.,0.0134,0.2991,0.3431,0.0012,0.0098,0.083,0.1477,0.0037,0.0024,0,0,0.0415,0.0073,0.0476
Die Linke,0.006,0.3764,0.3336,0.0,0.0051,0.0676,0.1326,0.006,0.0068,0,0,0.0222,0.0094,0.0342
die AfD,0.0332,0.1478,0.3131,0.0,0.0008,0.0806,0.1196,0.0399,0.0191,0,0,0.1246,0.0116,0.1096
die CDU/CSU,0.0093,0.0918,0.6727,0.0007,0.0014,0.077,0.1062,0.0031,0.0072,0,0,0.0083,0.0,0.0223
die FDP,0.0118,0.1282,0.5059,0.0,0.0035,0.0953,0.1824,0.0,0.0141,0,0,0.0059,0.0071,0.0459
die Grünen,0.0061,0.1302,0.4476,0.0006,0.0061,0.2693,0.0955,0.0022,0.0088,0,0,0.016,0.0011,0.0166
die SPD,0.0046,0.1807,0.5884,0.0,0.0063,0.0627,0.1266,0.0029,0.0029,0,0,0.0057,0.004,0.0154
eine Kleinpartei,0.025,0.1914,0.3614,0.0,0.0072,0.1055,0.1932,0.0054,0.0107,0,0,0.0161,0.0089,0.0751
keine Partei,0.0104,0.169,0.5017,0.0003,0.0055,0.0829,0.1621,0.0038,0.0066,0,0,0.0152,0.0041,0.0384
männlich,0.0147,0.1534,0.4956,0.0003,0.0029,0.1009,0.1484,0.0047,0.0112,0,0,0.0201,0.005,0.0427
weiblich,0.0076,0.1725,0.516,0.0003,0.0056,0.1087,0.1153,0.0086,0.0055,0,0,0.025,0.0037,0.0311
hat das Abitur,0.0116,0.1097,0.5768,0.0005,0.0033,0.1152,0.1066,0.0052,0.0102,0,0,0.0209,0.0055,0.0344
hat einen Fachhochschulreife,0.0117,0.1493,0.5137,0.0008,0.0055,0.111,0.1384,0.0031,0.007,0,0,0.0188,0.0047,0.036
hat einen Hauptschulabschluss,0.0089,0.1982,0.4515,0.0,0.0036,0.098,0.1535,0.0075,0.0078,0,0,0.0266,0.0018,0.0426
hat einen Realschulabschluss,0.0113,0.1883,0.4783,0.0002,0.0052,0.0987,0.1388,0.0084,0.0076,0,0,0.0225,0.0048,0.0359
hat keinen Schulabschluss,0.05,0.4375,0.175,0.0,0.0,0.05,0.2,0.0,0.0,0,0,0.0375,0.0,0.05
ist noch Schüler/in,0.0,0.0,0.6667,0.0,0.0,0.3333,0.0,0.0,0.0,0,0,0.0,0.0,0.0
18-29 YEARS,0.0091,0.2399,0.399,0.0026,0.0143,0.1147,0.1382,0.0091,0.0078,0,0,0.0196,0.0013,0.0443
30-44 YEARS,0.0151,0.1622,0.4821,0.0003,0.0056,0.1,0.1458,0.0063,0.0069,0,0,0.0253,0.0063,0.0441
45-59 YEARS,0.0118,0.1516,0.5111,0.0002,0.002,0.1036,0.1341,0.0059,0.0099,0,0,0.0248,0.0042,0.041
60 and more,0.0084,0.1619,0.5328,0.0,0.004,0.1073,0.1201,0.0071,0.0079,0,0,0.0192,0.0038,0.0274
