,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0816,0.2475,0.0093,0.0037,0.032,0.1219,0.0899,0.0732,0.0162,0.0005,0.0283,0.2539,0.0042,0.038
Westdeutschland,0.0734,0.2476,0.0112,0.003,0.0212,0.1536,0.0898,0.0812,0.0119,0.0003,0.0308,0.2365,0.0016,0.0377
befindet sich noch in beruflicher Ausbildung.,0.0457,0.2,0.0114,0.0,0.0457,0.28,0.0914,0.0857,0.0057,0.0057,0.0457,0.1143,0.0,0.0686
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.1818,0.0,0.0,0.0,0.2273,0.1364,0.0909,0.0,0.0,0.1364,0.1818,0.0,0.0455
hat eine Lehre abgeschlossen.,0.0885,0.2584,0.0071,0.0053,0.0177,0.1345,0.0584,0.0726,0.0088,0.0,0.0319,0.2938,0.0035,0.0195
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0654,0.2764,0.0105,0.0026,0.0096,0.1282,0.0872,0.0523,0.0105,0.0,0.027,0.3034,0.0026,0.0244
hat eine kaufmännische Lehre abgeschlossen.,0.0746,0.264,0.0089,0.0038,0.0212,0.1267,0.0877,0.0792,0.011,0.0004,0.0331,0.2564,0.0013,0.0318
hat einen Berufsfachschulabschluss.,0.045,0.2613,0.0154,0.0022,0.0143,0.1416,0.0823,0.0724,0.0176,0.0,0.0417,0.2865,0.0011,0.0187
hat einen Fachhochschulabschluss.,0.1057,0.2334,0.0116,0.0035,0.0314,0.1545,0.1069,0.0883,0.0128,0.0,0.0267,0.1661,0.0035,0.0557
hat einen Fachschulabschluss.,0.0911,0.2059,0.0158,0.004,0.0337,0.1287,0.0772,0.099,0.0178,0.0,0.0178,0.2554,0.002,0.0515
hat einen Meisterabschluss oder Technikerabschluss.,0.1,0.2043,0.0152,0.0022,0.013,0.1348,0.113,0.0783,0.0152,0.0,0.0217,0.2609,0.0065,0.0348
hat einen Universitätsabschluss.,0.0731,0.2175,0.0071,0.0032,0.0408,0.1845,0.1068,0.0971,0.0168,0.0006,0.0259,0.1612,0.0026,0.0628
hat keine berufliche Ausbildung abgeschlossen.,0.0723,0.2821,0.0163,0.0018,0.0199,0.1447,0.0651,0.0705,0.009,0.0,0.0307,0.264,0.0,0.0235
Die Linke,0.0704,0.407,0.0108,0.0036,0.0379,0.1128,0.0857,0.0758,0.0162,0.0,0.0162,0.1056,0.0009,0.0569
die AfD,0.0421,0.1766,0.0028,0.0019,0.0065,0.0477,0.0654,0.0579,0.0093,0.0009,0.0252,0.5561,0.0009,0.0065
die CDU/CSU,0.0833,0.1811,0.0107,0.0032,0.0208,0.1659,0.1054,0.0959,0.017,0.0013,0.0353,0.2486,0.0032,0.0284
die FDP,0.0633,0.2194,0.0063,0.0021,0.0506,0.1097,0.1245,0.0781,0.0084,0.0,0.0443,0.2574,0.0,0.0359
die Grünen,0.0841,0.2081,0.012,0.003,0.0255,0.2945,0.0766,0.0977,0.0128,0.0,0.0225,0.0834,0.0023,0.0774
die SPD,0.0922,0.2749,0.0218,0.005,0.0285,0.1232,0.0972,0.0872,0.0126,0.0,0.026,0.1827,0.0042,0.0444
eine Kleinpartei,0.0611,0.2639,0.0111,0.0028,0.0194,0.1861,0.0806,0.0917,0.0139,0.0,0.0333,0.2028,0.0028,0.0306
keine Partei,0.0792,0.2637,0.0086,0.003,0.0177,0.1175,0.0908,0.0605,0.0111,0.0,0.0403,0.2829,0.002,0.0227
männlich,0.0831,0.2343,0.0075,0.0018,0.0202,0.1534,0.1026,0.0758,0.0141,0.0007,0.0305,0.2323,0.002,0.0418
weiblich,0.0676,0.2609,0.0141,0.0046,0.0272,0.1388,0.0771,0.0828,0.0119,0.0,0.0299,0.249,0.0024,0.0338
hat das Abitur,0.0795,0.2175,0.0082,0.0026,0.037,0.1835,0.0981,0.0978,0.0128,0.0003,0.0294,0.1694,0.0026,0.0615
hat einen Fachhochschulreife,0.0962,0.2478,0.0122,0.0033,0.0321,0.1438,0.1073,0.0774,0.0166,0.0011,0.0254,0.2002,0.0022,0.0343
hat einen Hauptschulabschluss,0.0622,0.2803,0.0118,0.0006,0.0039,0.1172,0.0779,0.0633,0.0101,0.0006,0.028,0.3246,0.0017,0.0179
hat einen Realschulabschluss,0.0717,0.2586,0.0124,0.0051,0.0202,0.1284,0.0829,0.0717,0.0136,0.0,0.0329,0.2728,0.0021,0.0277
hat keinen Schulabschluss,0.1892,0.1892,0.0,0.0,0.0,0.1081,0.1892,0.0541,0.027,0.0,0.027,0.1892,0.0,0.027
ist noch Schüler/in,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0
18-29 YEARS,0.0604,0.1896,0.0104,0.0,0.0312,0.2542,0.0854,0.0812,0.0125,0.0021,0.025,0.1812,0.0,0.0667
30-44 YEARS,0.0551,0.2193,0.0121,0.0058,0.0338,0.1415,0.1169,0.0773,0.0082,0.0,0.0386,0.2507,0.001,0.0396
45-59 YEARS,0.064,0.2686,0.0097,0.0042,0.0169,0.1384,0.0934,0.0776,0.0124,0.0003,0.0275,0.2505,0.0012,0.0353
60 and more,0.102,0.2528,0.0111,0.0009,0.0231,0.1409,0.0697,0.082,0.0166,0.0003,0.0284,0.233,0.0043,0.0348
