,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0186,0.1487,0.3422,0.0007,0.0035,0.0762,0.2651,0.0106,0.0108,0.0,0.0,0.0186,0.023,0.0,0.0,0.082
Westdeutschland,0.0121,0.1057,0.4372,0.0007,0.0055,0.061,0.2876,0.0097,0.0075,0.0,0.0001,0.0159,0.001,0.0,0.0,0.0562
befindet sich noch in beruflicher Ausbildung.,0.0139,0.1508,0.3828,0.0023,0.0046,0.0789,0.2947,0.007,0.0023,0.0,0.0,0.0162,0.0,0.0,0.0,0.0464
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.0794,0.3968,0.0,0.0159,0.0952,0.3333,0.0317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476
hat eine Lehre abgeschlossen.,0.0072,0.123,0.4252,0.0,0.0064,0.0635,0.2741,0.008,0.008,0.0,0.0,0.0225,0.0072,0.0,0.0,0.0547
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0102,0.144,0.3681,0.0,0.0038,0.0656,0.2892,0.0099,0.008,0.0,0.0,0.0152,0.0095,0.0,0.0,0.0766
hat eine kaufmännische Lehre abgeschlossen.,0.0122,0.1207,0.4032,0.0012,0.0047,0.0534,0.3137,0.0108,0.0071,0.0,0.0,0.0145,0.0043,0.0,0.0,0.0543
hat einen Berufsfachschulabschluss.,0.0178,0.1084,0.4267,0.0,0.0049,0.0582,0.2689,0.0076,0.0102,0.0,0.0,0.0191,0.0093,0.0,0.0,0.0689
hat einen Fachhochschulabschluss.,0.0125,0.0736,0.4649,0.0006,0.0034,0.0759,0.2763,0.0074,0.013,0.0,0.0,0.0147,0.004,0.0,0.0,0.0538
hat einen Fachschulabschluss.,0.0172,0.0987,0.4435,0.001,0.0096,0.068,0.2701,0.0115,0.0057,0.0,0.0,0.0163,0.0038,0.0,0.0,0.0546
hat einen Meisterabschluss oder Technikerabschluss.,0.0152,0.094,0.4075,0.001,0.003,0.0799,0.2983,0.0121,0.0091,0.0,0.0,0.0172,0.0061,0.0,0.0,0.0566
hat einen Universitätsabschluss.,0.0165,0.0716,0.4792,0.0012,0.0037,0.0722,0.2576,0.0106,0.009,0.0,0.0,0.0152,0.005,0.0,0.0,0.0582
hat keine berufliche Ausbildung abgeschlossen.,0.0159,0.237,0.2948,0.0,0.0109,0.0611,0.2353,0.0109,0.005,0.0,0.0008,0.0235,0.0075,0.0,0.0,0.0972
Die Linke,0.0129,0.2775,0.2704,0.0018,0.0082,0.0517,0.2228,0.0065,0.0106,0.0,0.0,0.02,0.0176,0.0,0.0,0.0999
die AfD,0.0309,0.1214,0.2364,0.0,0.0,0.0724,0.1956,0.0344,0.0216,0.0,0.0,0.0917,0.0152,0.0,0.0,0.1804
die CDU/CSU,0.0086,0.0569,0.5193,0.0,0.0032,0.0405,0.3177,0.0063,0.0045,0.0,0.0,0.0036,0.0018,0.0,0.0,0.0375
die FDP,0.0157,0.0817,0.4148,0.0008,0.0079,0.0558,0.3417,0.0039,0.0141,0.0,0.0,0.0031,0.0039,0.0,0.0,0.0566
die Grünen,0.0087,0.1053,0.4146,0.0003,0.006,0.1444,0.2477,0.0074,0.0053,0.0,0.0003,0.0164,0.003,0.0,0.0,0.0405
die SPD,0.0097,0.1247,0.4688,0.0004,0.0037,0.034,0.3046,0.0056,0.0037,0.0,0.0,0.0063,0.0037,0.0,0.0,0.0347
eine Kleinpartei,0.0211,0.1537,0.3172,0.0,0.0074,0.0719,0.2776,0.0136,0.0173,0.0,0.0,0.0087,0.005,0.0,0.0,0.1066
keine Partei,0.0159,0.1133,0.4241,0.0018,0.0065,0.0555,0.2981,0.0106,0.0071,0.0,0.0,0.0104,0.0062,0.0,0.0,0.0504
männlich,0.0164,0.1044,0.4041,0.0006,0.0035,0.0638,0.2938,0.0093,0.0104,0.0,0.0,0.0131,0.0076,0.0,0.0,0.0729
weiblich,0.0107,0.1269,0.4275,0.0008,0.0066,0.065,0.2708,0.0105,0.006,0.0,0.0001,0.02,0.0043,0.0,0.0,0.0508
hat das Abitur,0.0152,0.0815,0.4609,0.0009,0.0044,0.0706,0.2751,0.0092,0.0093,0.0,0.0,0.0139,0.0036,0.0,0.0,0.0553
hat einen Fachhochschulreife,0.0118,0.1065,0.4225,0.0005,0.0057,0.071,0.2743,0.0103,0.0108,0.0,0.0,0.018,0.0072,0.0,0.0,0.0612
hat einen Hauptschulabschluss,0.0136,0.1498,0.3921,0.0005,0.0045,0.0558,0.2751,0.0094,0.0068,0.0,0.0002,0.0164,0.0073,0.0,0.0,0.0687
hat einen Realschulabschluss,0.0127,0.1237,0.3922,0.0007,0.0054,0.063,0.2963,0.0106,0.0076,0.0,0.0,0.0183,0.0066,0.0,0.0,0.063
hat keinen Schulabschluss,0.0165,0.3306,0.1818,0.0,0.0248,0.0248,0.2314,0.0165,0.0,0.0,0.0,0.0165,0.0248,0.0,0.0,0.1322
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0
18-29 YEARS,0.0145,0.1857,0.3513,0.0016,0.0072,0.0667,0.2741,0.0048,0.0048,0.0,0.0,0.0153,0.004,0.0,0.0,0.0699
30-44 YEARS,0.0158,0.1107,0.4028,0.0011,0.0065,0.0584,0.291,0.0099,0.0091,0.0,0.0,0.0181,0.0067,0.0,0.0,0.0698
45-59 YEARS,0.0145,0.0997,0.4197,0.0007,0.0046,0.0682,0.279,0.0135,0.0089,0.0,0.0,0.0174,0.0055,0.0,0.0,0.0683
60 and more,0.011,0.1218,0.4319,0.0003,0.004,0.0644,0.2817,0.0072,0.0076,0.0,0.0001,0.0147,0.0063,0.0,0.0,0.049
