,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0056,0.0163,0.8862,0.0005,0.0014,0.0056,0.046,0.0028,0.0019,0,0,0.0088,0.0028,0.0223
Westdeutschland,0.0027,0.0108,0.9354,0.0,0.002,0.0051,0.0269,0.0021,0.0004,0,0,0.0045,0.0,0.0101
befindet sich noch in beruflicher Ausbildung.,0.0,0.0262,0.9267,0.0,0.0,0.0052,0.0209,0.0,0.0,0,0,0.0105,0.0,0.0105
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
hat eine Lehre abgeschlossen.,0.0035,0.0089,0.9255,0.0,0.0035,0.0035,0.0284,0.0,0.0,0,0,0.0089,0.0,0.0177
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0043,0.019,0.8852,0.0,0.0026,0.0052,0.0492,0.0026,0.0017,0,0,0.0104,0.0,0.0198
hat eine kaufmännische Lehre abgeschlossen.,0.0025,0.0129,0.9258,0.0,0.0021,0.0041,0.0332,0.0021,0.0004,0,0,0.0054,0.0004,0.0112
hat einen Berufsfachschulabschluss.,0.0021,0.0074,0.9461,0.0,0.0011,0.0042,0.0211,0.0032,0.0032,0,0,0.0032,0.0011,0.0074
hat einen Fachhochschulabschluss.,0.0047,0.0059,0.9396,0.0,0.0024,0.0107,0.0273,0.0012,0.0,0,0,0.0024,0.0012,0.0047
hat einen Fachschulabschluss.,0.008,0.012,0.9203,0.0,0.0,0.004,0.0259,0.01,0.0,0,0,0.002,0.002,0.0159
hat einen Meisterabschluss oder Technikerabschluss.,0.0044,0.0065,0.8889,0.0,0.0,0.0087,0.0501,0.0044,0.0,0,0,0.0044,0.0044,0.0283
hat einen Universitätsabschluss.,0.002,0.004,0.9601,0.0007,0.0,0.0047,0.014,0.0013,0.0007,0,0,0.0013,0.0,0.0113
hat keine berufliche Ausbildung abgeschlossen.,0.0051,0.0357,0.8659,0.0,0.0068,0.0051,0.0526,0.0,0.0,0,0,0.0153,0.0,0.0136
Die Linke,0.0021,0.0444,0.8762,0.0,0.0072,0.0041,0.0475,0.0,0.001,0,0,0.0041,0.0031,0.0103
die AfD,0.0256,0.029,0.7468,0.0,0.0023,0.0035,0.0743,0.0058,0.007,0,0,0.0511,0.0012,0.0534
die CDU/CSU,0.001,0.0015,0.9573,0.0,0.001,0.001,0.0223,0.001,0.0,0,0,0.0005,0.0005,0.0141
die FDP,0.0052,0.0026,0.9534,0.0,0.0,0.0026,0.0311,0.0,0.0,0,0,0.0,0.0,0.0052
die Grünen,0.0,0.0088,0.9561,0.0008,0.0016,0.0191,0.0112,0.0016,0.0,0,0,0.0,0.0,0.0008
die SPD,0.0008,0.0074,0.9605,0.0,0.0,0.0025,0.0214,0.0,0.0,0,0,0.0016,0.0,0.0058
eine Kleinpartei,0.0029,0.0291,0.8634,0.0,0.0058,0.0058,0.061,0.0029,0.0,0,0,0.0,0.0029,0.0262
keine Partei,0.0005,0.0043,0.9495,0.0,0.001,0.0043,0.0281,0.0052,0.0,0,0,0.0,0.0,0.0071
männlich,0.0057,0.0081,0.9104,0.0,0.0015,0.0057,0.0424,0.0026,0.0007,0,0,0.0053,0.0009,0.0167
weiblich,0.0011,0.016,0.937,0.0002,0.0022,0.0047,0.0205,0.0019,0.0009,0,0,0.0058,0.0004,0.0093
hat das Abitur,0.0027,0.006,0.9536,0.0003,0.0013,0.006,0.0162,0.002,0.0007,0,0,0.0023,0.0007,0.0083
hat einen Fachhochschulreife,0.0033,0.0121,0.913,0.0,0.0011,0.0055,0.0363,0.0044,0.0,0,0,0.0033,0.0022,0.0187
hat einen Hauptschulabschluss,0.0028,0.0106,0.9163,0.0,0.0033,0.0045,0.0413,0.0011,0.0011,0,0,0.0056,0.0,0.0134
hat einen Realschulabschluss,0.0044,0.0166,0.9078,0.0,0.0017,0.005,0.0373,0.0026,0.0009,0,0,0.0087,0.0006,0.0143
hat keinen Schulabschluss,0.0,0.1395,0.6512,0.0,0.0,0.0,0.093,0.0,0.0,0,0,0.0233,0.0,0.093
ist noch Schüler/in,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
18-29 YEARS,0.0046,0.0251,0.9087,0.0023,0.0023,0.0114,0.0274,0.0023,0.0,0,0,0.0046,0.0,0.0114
30-44 YEARS,0.0028,0.0127,0.9164,0.0,0.0024,0.0052,0.0349,0.0038,0.0009,0,0,0.0052,0.0009,0.0146
45-59 YEARS,0.0052,0.0094,0.921,0.0,0.0012,0.0046,0.0301,0.0024,0.0006,0,0,0.0076,0.0003,0.0176
60 and more,0.0018,0.0126,0.9333,0.0,0.0021,0.0051,0.0308,0.0012,0.0009,0,0,0.0039,0.0009,0.0075
