,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0631,0.0998,0.5086,0.0036,0.016,0.0304,0.0907,0.0238,0.005,0.0011,0.0324,0.0733,0.0017,0.0265,0.0075,0.0166
Westdeutschland,0.0476,0.0812,0.5481,0.003,0.0141,0.046,0.0892,0.025,0.0028,0.0008,0.0305,0.0614,0.0,0.0306,0.0071,0.0127
befindet sich noch in beruflicher Ausbildung.,0.0405,0.0608,0.5241,0.0101,0.0076,0.0886,0.0785,0.038,0.0025,0.0025,0.0228,0.0228,0.0,0.0405,0.0152,0.0456
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0667,0.0889,0.3556,0.0,0.0,0.0889,0.0889,0.0444,0.0,0.0,0.0889,0.0889,0.0,0.0889,0.0,0.0
hat eine Lehre abgeschlossen.,0.0413,0.0797,0.5187,0.0079,0.0098,0.0413,0.0817,0.0285,0.0,0.001,0.0482,0.0679,0.0,0.0463,0.0108,0.0167
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0518,0.0946,0.5174,0.0035,0.0095,0.0334,0.0867,0.0204,0.0045,0.0,0.0359,0.0827,0.001,0.0403,0.0055,0.0129
hat eine kaufmännische Lehre abgeschlossen.,0.0436,0.0796,0.5733,0.0025,0.016,0.0342,0.0941,0.0183,0.0015,0.001,0.0271,0.0695,0.0,0.0254,0.0061,0.0079
hat einen Berufsfachschulabschluss.,0.0494,0.0858,0.5199,0.0017,0.0146,0.0331,0.0976,0.0269,0.0034,0.0022,0.0331,0.0757,0.0011,0.0365,0.0112,0.0079
hat einen Fachhochschulabschluss.,0.0769,0.0907,0.5464,0.0,0.0218,0.0443,0.0878,0.0225,0.0015,0.0,0.029,0.0472,0.0007,0.016,0.0007,0.0145
hat einen Fachschulabschluss.,0.0469,0.083,0.5596,0.006,0.0168,0.0313,0.071,0.0385,0.0096,0.0,0.0277,0.0626,0.0,0.0229,0.0024,0.0217
hat einen Meisterabschluss oder Technikerabschluss.,0.0813,0.0723,0.5045,0.0013,0.0103,0.0426,0.0916,0.0284,0.0077,0.0013,0.0323,0.0852,0.0,0.0194,0.0077,0.0142
hat einen Universitätsabschluss.,0.049,0.0925,0.5463,0.0043,0.0179,0.0634,0.0968,0.0257,0.0035,0.0008,0.0202,0.04,0.0004,0.0183,0.0035,0.0175
hat keine berufliche Ausbildung abgeschlossen.,0.0461,0.0912,0.499,0.0,0.0106,0.0432,0.0739,0.0307,0.0048,0.001,0.0461,0.0662,0.0,0.0509,0.0221,0.0144
Die Linke,0.0652,0.1937,0.4613,0.004,0.0229,0.0464,0.0814,0.0309,0.0054,0.0,0.0182,0.0336,0.0007,0.0108,0.002,0.0235
die AfD,0.0968,0.0728,0.3675,0.0007,0.0042,0.0092,0.0869,0.0473,0.0064,0.0014,0.029,0.2438,0.0,0.0177,0.0057,0.0106
die CDU/CSU,0.034,0.044,0.646,0.0028,0.0128,0.0256,0.0939,0.0173,0.0033,0.0019,0.0253,0.0485,0.0008,0.0273,0.0047,0.0117
die FDP,0.0437,0.0632,0.5832,0.0049,0.017,0.0182,0.1142,0.0219,0.0012,0.0,0.0365,0.0583,0.0,0.0219,0.0049,0.0109
die Grünen,0.0327,0.0881,0.5479,0.0036,0.0191,0.1307,0.0754,0.0191,0.0014,0.0005,0.025,0.0168,0.0,0.0204,0.0032,0.0163
die SPD,0.0306,0.0981,0.5971,0.002,0.0182,0.0355,0.0917,0.0187,0.0039,0.0005,0.0296,0.039,0.0,0.0163,0.0044,0.0143
eine Kleinpartei,0.0913,0.1168,0.4192,0.0045,0.021,0.0704,0.0778,0.0464,0.0015,0.003,0.0284,0.0569,0.0,0.0314,0.0075,0.024
keine Partei,0.0615,0.0775,0.5057,0.0036,0.0103,0.0207,0.0937,0.0241,0.0028,0.0003,0.0462,0.0674,0.0006,0.0596,0.0168,0.0092
männlich,0.0595,0.095,0.5171,0.0022,0.0129,0.0457,0.0837,0.0264,0.004,0.0015,0.0313,0.0691,0.0005,0.0289,0.0049,0.0174
weiblich,0.0428,0.076,0.5607,0.004,0.0162,0.0392,0.0954,0.023,0.0026,0.0003,0.0305,0.0592,0.0003,0.0305,0.0094,0.0099
hat das Abitur,0.0518,0.0909,0.556,0.0034,0.0213,0.0596,0.0907,0.0255,0.0032,0.0004,0.0199,0.0401,0.0004,0.0183,0.002,0.0165
hat einen Fachhochschulreife,0.066,0.0869,0.5248,0.0033,0.0157,0.0444,0.0869,0.0216,0.0033,0.0007,0.0386,0.0641,0.0,0.0229,0.0026,0.0183
hat einen Hauptschulabschluss,0.0452,0.0814,0.5175,0.0029,0.0105,0.0292,0.0878,0.0257,0.0044,0.0012,0.0405,0.0846,0.0,0.0464,0.0125,0.0102
hat einen Realschulabschluss,0.0492,0.0829,0.5453,0.003,0.011,0.0353,0.0901,0.0239,0.0028,0.0012,0.0314,0.0723,0.0007,0.0304,0.0086,0.0119
hat keinen Schulabschluss,0.0917,0.075,0.3333,0.0,0.0083,0.025,0.1,0.0417,0.0,0.0,0.0917,0.075,0.0,0.0833,0.0583,0.0167
ist noch Schüler/in,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
18-29 YEARS,0.0478,0.0708,0.4499,0.0055,0.0074,0.08,0.0966,0.0405,0.0018,0.0009,0.0432,0.0414,0.0,0.0552,0.0221,0.0368
30-44 YEARS,0.0439,0.0799,0.5239,0.006,0.0159,0.0376,0.1052,0.024,0.0026,0.0005,0.0407,0.0538,0.0013,0.0457,0.0078,0.0112
45-59 YEARS,0.0496,0.0863,0.5504,0.0024,0.0124,0.038,0.0918,0.0219,0.0028,0.0007,0.029,0.0697,0.0,0.0304,0.0048,0.0098
60 and more,0.0584,0.0914,0.5562,0.0013,0.0173,0.0428,0.0749,0.0248,0.0046,0.0013,0.0235,0.0703,0.0002,0.0127,0.0061,0.0145
