,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0668,0.1077,0.4591,0.0016,0.0304,0.0524,0.1087,0.0313,0.0048,0.001,0.0355,0.0726,0.0003,0.0278
Westdeutschland,0.054,0.0877,0.5079,0.0027,0.0182,0.0846,0.0957,0.0278,0.003,0.0009,0.032,0.067,0.0,0.0184
befindet sich noch in beruflicher Ausbildung.,0.0418,0.0836,0.5113,0.0096,0.0129,0.1479,0.0997,0.0225,0.0,0.0,0.0193,0.0161,0.0,0.0354
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0833,0.0278,0.5,0.0,0.0,0.1944,0.0556,0.0,0.0,0.0,0.0278,0.1111,0.0,0.0
hat eine Lehre abgeschlossen.,0.0469,0.0904,0.492,0.0023,0.0149,0.0801,0.1098,0.0355,0.0023,0.0023,0.0435,0.0698,0.0,0.0103
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0617,0.1095,0.4764,0.0017,0.015,0.0606,0.1006,0.0211,0.0061,0.0006,0.0406,0.0951,0.0,0.0111
hat eine kaufmännische Lehre abgeschlossen.,0.048,0.0831,0.5453,0.0026,0.0197,0.0614,0.0961,0.0269,0.0023,0.0003,0.0295,0.0695,0.0,0.0153
hat einen Berufsfachschulabschluss.,0.0698,0.0972,0.4729,0.002,0.015,0.0672,0.1083,0.0287,0.0013,0.0007,0.0352,0.0841,0.0,0.0176
hat einen Fachhochschulabschluss.,0.0589,0.0969,0.4512,0.0008,0.0299,0.0872,0.1235,0.0363,0.0016,0.0,0.0291,0.0492,0.0,0.0355
hat einen Fachschulabschluss.,0.0595,0.073,0.5054,0.0041,0.0324,0.077,0.0851,0.0378,0.0041,0.0,0.0311,0.0662,0.0014,0.023
hat einen Meisterabschluss oder Technikerabschluss.,0.0799,0.1003,0.4622,0.0015,0.0276,0.0712,0.0785,0.0247,0.0073,0.0029,0.032,0.0901,0.0,0.0218
hat einen Universitätsabschluss.,0.0515,0.0921,0.483,0.0013,0.0279,0.1135,0.0891,0.0328,0.0044,0.0026,0.024,0.0454,0.0,0.0323
hat keine berufliche Ausbildung abgeschlossen.,0.065,0.0963,0.5102,0.0072,0.012,0.0554,0.0951,0.0205,0.0048,0.0,0.0505,0.0674,0.0,0.0156
Die Linke,0.0624,0.2255,0.399,0.0,0.0284,0.0722,0.0876,0.0243,0.0089,0.0016,0.026,0.0316,0.0008,0.0316
die AfD,0.1161,0.0597,0.329,0.0024,0.0105,0.0169,0.1,0.054,0.004,0.0024,0.0403,0.2573,0.0,0.0073
die CDU/CSU,0.0427,0.051,0.5932,0.0028,0.0165,0.0458,0.1113,0.0228,0.0034,0.0007,0.0248,0.0638,0.0,0.021
die FDP,0.0745,0.0641,0.4822,0.0034,0.0355,0.0389,0.1271,0.0321,0.0034,0.0011,0.0321,0.0802,0.0,0.0252
die Grünen,0.0319,0.087,0.5098,0.0023,0.0205,0.2123,0.0629,0.0228,0.0005,0.0,0.021,0.01,0.0,0.0191
die SPD,0.0339,0.1022,0.5437,0.0027,0.0235,0.0661,0.1027,0.0268,0.0022,0.0005,0.0257,0.047,0.0,0.023
eine Kleinpartei,0.0954,0.109,0.402,0.0034,0.017,0.0988,0.1005,0.0494,0.0068,0.0017,0.046,0.0494,0.0,0.0204
keine Partei,0.0637,0.0936,0.4978,0.0027,0.0218,0.0494,0.1055,0.0259,0.0031,0.001,0.0511,0.0654,0.0,0.0191
männlich,0.0628,0.101,0.4714,0.0019,0.0176,0.0842,0.0913,0.0315,0.0035,0.0013,0.0331,0.0772,0.0,0.0234
weiblich,0.051,0.0836,0.5222,0.003,0.0243,0.0705,0.106,0.0258,0.0033,0.0006,0.0324,0.0594,0.0001,0.0177
hat das Abitur,0.052,0.0957,0.4983,0.0018,0.0268,0.1073,0.0884,0.0326,0.0022,0.0013,0.0187,0.0466,0.0,0.0281
hat einen Fachhochschulreife,0.0642,0.0885,0.4624,0.0022,0.0295,0.0826,0.1121,0.0288,0.0052,0.0007,0.0354,0.0627,0.0,0.0258
hat einen Hauptschulabschluss,0.0632,0.0902,0.5017,0.0024,0.0104,0.0552,0.0968,0.0243,0.0045,0.0003,0.0455,0.0951,0.0,0.0104
hat einen Realschulabschluss,0.0552,0.0915,0.5031,0.003,0.0196,0.0624,0.1051,0.0276,0.0034,0.001,0.0364,0.0734,0.0002,0.0182
hat keinen Schulabschluss,0.0845,0.0845,0.4085,0.0141,0.0141,0.0423,0.1127,0.0282,0.0,0.0,0.0986,0.0986,0.0,0.0141
ist noch Schüler/in,0.3333,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0597,0.0735,0.4811,0.0057,0.0103,0.1343,0.1114,0.0287,0.0023,0.0,0.039,0.0321,0.0,0.0218
30-44 YEARS,0.0553,0.0881,0.5128,0.0041,0.0213,0.0694,0.1084,0.0259,0.0022,0.0016,0.0388,0.0516,0.0,0.0206
45-59 YEARS,0.0524,0.092,0.5021,0.0023,0.0178,0.0694,0.1004,0.026,0.0027,0.0006,0.0331,0.0811,0.0,0.0201
60 and more,0.0618,0.0985,0.4842,0.001,0.0256,0.0802,0.0884,0.0329,0.005,0.001,0.0275,0.0731,0.0002,0.0206
