,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0104,0.066,0.5055,0.0,0.003,0.0292,0.3009,0.0069,0.0041,0.0,0.0,0.0128,0.0126,0.0487
Westdeutschland,0.0083,0.0437,0.5626,0.0003,0.0031,0.0224,0.3105,0.0075,0.0026,0.0,0.0,0.0097,0.0001,0.0291
befindet sich noch in beruflicher Ausbildung.,0.0078,0.0642,0.5506,0.0,0.0078,0.0447,0.2743,0.0039,0.0,0.0,0.0,0.0097,0.0,0.037
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.0806,0.5806,0.0,0.0161,0.0,0.2903,0.0,0.0,0.0,0.0,0.0,0.0,0.0323
hat eine Lehre abgeschlossen.,0.0078,0.0491,0.5626,0.0007,0.0036,0.0242,0.2916,0.01,0.0036,0.0,0.0,0.0114,0.0064,0.0292
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0079,0.064,0.5098,0.0,0.0014,0.0238,0.3177,0.0086,0.0034,0.0,0.0,0.011,0.0065,0.0458
hat eine kaufmännische Lehre abgeschlossen.,0.0099,0.0396,0.5366,0.0002,0.0023,0.0206,0.3418,0.0065,0.0023,0.0,0.0,0.0086,0.0016,0.0301
hat einen Berufsfachschulabschluss.,0.0088,0.0355,0.5804,0.0,0.0017,0.0217,0.2852,0.0088,0.0025,0.0,0.0,0.0129,0.0029,0.0397
hat einen Fachhochschulabschluss.,0.0053,0.0333,0.5828,0.0,0.0042,0.0233,0.3046,0.009,0.0032,0.0,0.0,0.0085,0.0011,0.0249
hat einen Fachschulabschluss.,0.007,0.0421,0.5623,0.0,0.0061,0.0289,0.2956,0.0026,0.0053,0.0,0.0,0.0096,0.0035,0.0368
hat einen Meisterabschluss oder Technikerabschluss.,0.0112,0.0439,0.5467,0.0,0.0028,0.0252,0.3206,0.0084,0.0037,0.0,0.0,0.0093,0.0019,0.0262
hat einen Universitätsabschluss.,0.0094,0.0372,0.5884,0.0,0.0026,0.0249,0.2914,0.0066,0.0034,0.0,0.0,0.0094,0.002,0.0246
hat keine berufliche Ausbildung abgeschlossen.,0.0104,0.1309,0.4675,0.0022,0.0067,0.0288,0.27,0.0074,0.0022,0.0,0.0,0.0178,0.0037,0.0525
Die Linke,0.0106,0.1289,0.4803,0.0005,0.0096,0.0217,0.2781,0.0025,0.0046,0.0,0.0,0.0101,0.0076,0.0455
die AfD,0.0389,0.0755,0.3431,0.0,0.0023,0.0411,0.2158,0.0152,0.0158,0.0,0.0,0.0862,0.0107,0.1555
die CDU/CSU,0.0029,0.0198,0.5944,0.0,0.0006,0.0137,0.3402,0.0048,0.0011,0.0,0.0,0.001,0.0006,0.0211
die FDP,0.0108,0.0281,0.5434,0.0,0.0017,0.0141,0.3714,0.0017,0.0017,0.0,0.0,0.0033,0.0017,0.0223
die Grünen,0.003,0.0428,0.5833,0.0,0.0054,0.0569,0.289,0.0054,0.0003,0.0,0.0,0.0054,0.001,0.0077
die SPD,0.0031,0.0462,0.5818,0.0007,0.0024,0.015,0.3203,0.0063,0.0003,0.0,0.0,0.0017,0.0028,0.0192
eine Kleinpartei,0.0218,0.0893,0.4822,0.0,0.0069,0.0309,0.2864,0.0092,0.0092,0.0,0.0,0.0126,0.0023,0.0493
keine Partei,0.0074,0.0409,0.5788,0.0004,0.002,0.0161,0.3131,0.0121,0.002,0.0,0.0,0.0026,0.0024,0.0221
männlich,0.0102,0.0475,0.5323,0.0002,0.0025,0.0234,0.3154,0.007,0.0045,0.0,0.0,0.0094,0.0042,0.0434
weiblich,0.0073,0.05,0.5675,0.0003,0.0036,0.0246,0.3012,0.0077,0.0014,0.0,0.0,0.0113,0.0017,0.0236
hat das Abitur,0.0085,0.0352,0.5855,0.0,0.0035,0.0255,0.2984,0.0066,0.0035,0.0,0.0,0.0086,0.0013,0.0235
hat einen Fachhochschulreife,0.0056,0.0412,0.5419,0.0,0.0061,0.0239,0.3237,0.0061,0.0028,0.0,0.0,0.0094,0.0028,0.0365
hat einen Hauptschulabschluss,0.0104,0.0591,0.5284,0.0002,0.0025,0.0207,0.3143,0.006,0.0023,0.0,0.0,0.0129,0.0025,0.0407
hat einen Realschulabschluss,0.009,0.0514,0.5388,0.0004,0.002,0.0245,0.3108,0.009,0.003,0.0,0.0,0.0103,0.0045,0.0362
hat keinen Schulabschluss,0.0,0.2993,0.2993,0.0068,0.0136,0.0272,0.2245,0.0136,0.0,0.0,0.0,0.0272,0.0068,0.0816
ist noch Schüler/in,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0095,0.0784,0.5181,0.0014,0.0068,0.0354,0.2918,0.0089,0.0,0.0,0.0,0.0095,0.0027,0.0375
30-44 YEARS,0.0108,0.0519,0.5355,0.0002,0.003,0.0255,0.3097,0.0087,0.0025,0.0,0.0,0.0109,0.003,0.0385
45-59 YEARS,0.0097,0.044,0.5558,0.0001,0.0029,0.0221,0.3077,0.0079,0.0029,0.0,0.0,0.0103,0.0021,0.0344
60 and more,0.0063,0.0456,0.5599,0.0001,0.0025,0.0225,0.3113,0.0055,0.004,0.0,0.0,0.0101,0.0037,0.0284
