,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.004,0.0283,0.6044,0.0003,0.0012,0.0037,0.3079,0.0078,0.0012,0.0,0.0,0.0065,0.004,0.0305
Westdeutschland,0.0035,0.0217,0.6356,0.0,0.0015,0.0039,0.3037,0.009,0.0003,0.0,0.0,0.0035,0.0001,0.0171
befindet sich noch in beruflicher Ausbildung.,0.0,0.0406,0.6642,0.0,0.0,0.0037,0.262,0.0148,0.0,0.0,0.0,0.0074,0.0,0.0074
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.0,0.6364,0.0,0.0,0.0,0.303,0.0303,0.0,0.0,0.0,0.0,0.0,0.0303
hat eine Lehre abgeschlossen.,0.0024,0.0242,0.6377,0.0,0.0024,0.0036,0.2899,0.0085,0.0012,0.0,0.0,0.0097,0.0,0.0205
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0034,0.0246,0.5982,0.0,0.0017,0.0034,0.3183,0.0103,0.0011,0.0,0.0,0.0069,0.0006,0.0315
hat eine kaufmännische Lehre abgeschlossen.,0.0034,0.0189,0.5887,0.0,0.0013,0.0031,0.3578,0.0065,0.0,0.0,0.0,0.0039,0.0008,0.0156
hat einen Berufsfachschulabschluss.,0.0036,0.0194,0.6494,0.0,0.0014,0.0029,0.2909,0.0072,0.0022,0.0,0.0,0.0029,0.0022,0.018
hat einen Fachhochschulabschluss.,0.005,0.0225,0.6686,0.0,0.0017,0.0075,0.2639,0.0117,0.0,0.0,0.0,0.0025,0.0025,0.0142
hat einen Fachschulabschluss.,0.0055,0.0249,0.651,0.0,0.0,0.0042,0.2756,0.0139,0.0,0.0,0.0,0.0014,0.0028,0.0208
hat einen Meisterabschluss oder Technikerabschluss.,0.0059,0.022,0.6193,0.0,0.0,0.0059,0.2987,0.0088,0.0,0.0,0.0,0.0029,0.0029,0.0337
hat einen Universitätsabschluss.,0.0028,0.0244,0.6823,0.0005,0.0005,0.0037,0.2591,0.008,0.0005,0.0,0.0,0.0009,0.0,0.0173
hat keine berufliche Ausbildung abgeschlossen.,0.0047,0.0388,0.6099,0.0,0.0059,0.0035,0.2879,0.0082,0.0,0.0,0.0,0.0106,0.0,0.0306
Die Linke,0.0029,0.0492,0.6276,0.0,0.0058,0.0036,0.274,0.0094,0.0007,0.0,0.0,0.0043,0.0051,0.0174
die AfD,0.0231,0.0406,0.529,0.0,0.0016,0.0024,0.2951,0.0103,0.0048,0.0,0.0,0.0374,0.0032,0.0525
die CDU/CSU,0.0013,0.0152,0.6307,0.0,0.0006,0.0006,0.3199,0.0057,0.0,0.0,0.0,0.0006,0.0003,0.025
die FDP,0.0048,0.0192,0.6006,0.0,0.0,0.0016,0.3403,0.0,0.0,0.0,0.0,0.0,0.0,0.0335
die Grünen,0.0006,0.0283,0.6681,0.0006,0.0011,0.0139,0.2737,0.0094,0.0,0.0,0.0,0.0006,0.0,0.0039
die SPD,0.0011,0.0169,0.6219,0.0,0.0,0.0026,0.3375,0.0079,0.0,0.0,0.0,0.0011,0.0,0.0111
eine Kleinpartei,0.0059,0.0391,0.5996,0.0,0.0059,0.0059,0.3105,0.0059,0.0,0.0,0.0,0.0,0.002,0.0254
keine Partei,0.0013,0.0121,0.6578,0.0,0.001,0.0029,0.2963,0.013,0.0,0.0,0.0,0.0,0.0003,0.0153
männlich,0.0053,0.0195,0.6174,0.0,0.0012,0.0038,0.3125,0.0082,0.0004,0.0,0.0,0.0041,0.0009,0.0268
weiblich,0.002,0.027,0.6393,0.0001,0.0017,0.0039,0.2969,0.0092,0.0006,0.0,0.0,0.0044,0.0012,0.0137
hat das Abitur,0.0039,0.0266,0.6607,0.0002,0.0011,0.0046,0.2781,0.0082,0.0002,0.0,0.0,0.0016,0.0005,0.0143
hat einen Fachhochschulreife,0.0045,0.0202,0.6308,0.0,0.0007,0.0037,0.2945,0.0127,0.0,0.0,0.0,0.003,0.0022,0.0277
hat einen Hauptschulabschluss,0.0029,0.0176,0.6111,0.0,0.0026,0.0033,0.3275,0.0088,0.0011,0.0,0.0,0.004,0.0004,0.0209
hat einen Realschulabschluss,0.0037,0.0233,0.611,0.0,0.0014,0.0037,0.318,0.0081,0.0006,0.0,0.0,0.0066,0.0015,0.0222
hat keinen Schulabschluss,0.0,0.0952,0.4921,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,0.0317,0.0,0.0952
ist noch Schüler/in,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0032,0.0305,0.6479,0.0016,0.0016,0.008,0.2846,0.0096,0.0,0.0,0.0,0.0032,0.0,0.0096
30-44 YEARS,0.0028,0.0239,0.6208,0.0,0.0016,0.0038,0.3046,0.0088,0.0003,0.0,0.0,0.0035,0.0022,0.0277
45-59 YEARS,0.0058,0.0183,0.6336,0.0,0.0014,0.0037,0.2949,0.0093,0.0006,0.0,0.0,0.006,0.0004,0.0259
60 and more,0.0022,0.0267,0.6255,0.0,0.0014,0.0036,0.3166,0.0079,0.0006,0.0,0.0,0.0032,0.001,0.0115
