,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0616,0.1744,0.2416,0.0017,0.0296,0.1535,0.1096,0.023,0.0094,0.0003,0.0278,0.1441,0.0017,0.0216
Westdeutschland,0.0428,0.1311,0.2843,0.0022,0.0184,0.2343,0.1069,0.0225,0.0071,0.0003,0.0211,0.1165,0.0,0.0124
befindet sich noch in beruflicher Ausbildung.,0.0158,0.1028,0.332,0.0119,0.0198,0.3676,0.0632,0.0237,0.0119,0.0,0.004,0.0277,0.0,0.0198
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0286,0.1429,0.2286,0.0,0.0,0.3429,0.0571,0.0,0.0,0.0,0.0571,0.1429,0.0,0.0
hat eine Lehre abgeschlossen.,0.0414,0.1162,0.2937,0.004,0.0174,0.2176,0.1081,0.024,0.0093,0.0,0.0374,0.1255,0.0,0.0053
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0466,0.1678,0.2654,0.0025,0.0168,0.1796,0.1044,0.0162,0.0075,0.0012,0.0286,0.1535,0.0,0.0099
hat eine kaufmännische Lehre abgeschlossen.,0.0441,0.1373,0.3057,0.0016,0.0171,0.1976,0.1094,0.0203,0.0057,0.0,0.0187,0.131,0.0003,0.0111
hat einen Berufsfachschulabschluss.,0.0573,0.1436,0.2768,0.0015,0.0193,0.1726,0.1071,0.0216,0.0097,0.0,0.026,0.1533,0.0015,0.0097
hat einen Fachhochschulabschluss.,0.0528,0.1431,0.2558,0.0009,0.0277,0.2263,0.1145,0.0286,0.0063,0.0,0.0206,0.1029,0.0009,0.0197
hat einen Fachschulabschluss.,0.0676,0.1291,0.2613,0.0,0.0165,0.2312,0.0811,0.0315,0.012,0.0,0.018,0.1336,0.0,0.018
hat einen Meisterabschluss oder Technikerabschluss.,0.0682,0.1412,0.224,0.0049,0.0308,0.1834,0.1201,0.0308,0.013,0.0,0.0227,0.1477,0.0,0.013
hat einen Universitätsabschluss.,0.0388,0.1315,0.2417,0.0014,0.0303,0.2881,0.1173,0.0246,0.0052,0.0005,0.0156,0.0785,0.0,0.0265
hat keine berufliche Ausbildung abgeschlossen.,0.0406,0.1692,0.2951,0.0028,0.014,0.1762,0.0979,0.0182,0.0098,0.0014,0.0378,0.1231,0.0014,0.0126
Die Linke,0.0411,0.3222,0.1822,0.0,0.0274,0.2008,0.097,0.0147,0.0088,0.0,0.0147,0.0676,0.0029,0.0206
die AfD,0.0697,0.0926,0.2234,0.0017,0.0093,0.0374,0.0807,0.0467,0.0119,0.0008,0.0255,0.3832,0.0,0.017
die CDU/CSU,0.0439,0.094,0.3393,0.0017,0.022,0.1703,0.1417,0.0203,0.0083,0.0,0.0211,0.1247,0.0004,0.0124
die FDP,0.0372,0.1115,0.3026,0.0013,0.0218,0.1205,0.1603,0.0167,0.009,0.0,0.0346,0.1654,0.0,0.0192
die Grünen,0.0259,0.0959,0.1905,0.0006,0.0208,0.5476,0.0618,0.0151,0.0032,0.0,0.0107,0.0164,0.0,0.0114
die SPD,0.029,0.1772,0.2802,0.0027,0.0196,0.245,0.1165,0.017,0.0054,0.0004,0.0138,0.0803,0.0,0.0129
eine Kleinpartei,0.0706,0.1413,0.2695,0.0019,0.0316,0.1877,0.0855,0.0353,0.0056,0.0,0.0446,0.0929,0.0,0.0335
keine Partei,0.0692,0.1411,0.3119,0.0042,0.0218,0.151,0.1009,0.0256,0.0092,0.0008,0.0325,0.1204,0.0004,0.0111
männlich,0.0512,0.1541,0.2513,0.0016,0.0191,0.2042,0.112,0.0254,0.0065,0.0006,0.0241,0.1327,0.0005,0.0165
weiblich,0.0432,0.1282,0.2974,0.0026,0.0229,0.2269,0.103,0.0198,0.0087,0.0,0.0211,0.1132,0.0003,0.0126
hat das Abitur,0.0392,0.1321,0.2685,0.0015,0.0259,0.2813,0.104,0.0259,0.0037,0.0002,0.0158,0.0801,0.0002,0.0214
hat einen Fachhochschulreife,0.0629,0.1381,0.2415,0.0033,0.0323,0.2151,0.1175,0.0199,0.0091,0.0,0.0232,0.1166,0.0008,0.0199
hat einen Hauptschulabschluss,0.0476,0.1425,0.2826,0.0039,0.0121,0.1749,0.103,0.0203,0.0117,0.0,0.0328,0.1624,0.0004,0.0059
hat einen Realschulabschluss,0.0491,0.1495,0.2854,0.0011,0.019,0.1799,0.1098,0.0219,0.0083,0.0007,0.0225,0.1404,0.0004,0.0121
hat keinen Schulabschluss,0.1129,0.129,0.1774,0.0161,0.0,0.1774,0.1613,0.0161,0.0161,0.0,0.0484,0.1452,0.0,0.0
ist noch Schüler/in,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
18-29 YEARS,0.0285,0.1109,0.2969,0.009,0.0165,0.3043,0.0945,0.024,0.0045,0.0,0.03,0.054,0.0,0.027
30-44 YEARS,0.0447,0.1153,0.3398,0.0022,0.0281,0.1928,0.1041,0.0234,0.0029,0.0004,0.0335,0.0969,0.0007,0.0151
45-59 YEARS,0.0444,0.1481,0.2867,0.0019,0.015,0.1911,0.1101,0.0227,0.0079,0.0,0.0204,0.14,0.0,0.0118
60 and more,0.054,0.1545,0.2203,0.0013,0.023,0.2394,0.1089,0.0219,0.0106,0.0007,0.0171,0.1326,0.0007,0.015
