,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0831,0.1752,0.2002,0.0021,0.0348,0.1655,0.1359,0.0254,0.0045,0.0003,0.0292,0.1192,0.0042,0.0205
Westdeutschland,0.0673,0.1508,0.2184,0.0019,0.0206,0.2409,0.1316,0.0211,0.0038,0.0004,0.0229,0.1065,0.0004,0.0134
befindet sich noch in beruflicher Ausbildung.,0.0408,0.1102,0.2612,0.0041,0.0367,0.3592,0.098,0.0204,0.0,0.0,0.0122,0.0163,0.0041,0.0367
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.1081,0.1351,0.1892,0.0,0.0,0.3243,0.0811,0.0,0.0,0.0,0.0541,0.1081,0.0,0.0
hat eine Lehre abgeschlossen.,0.0717,0.1434,0.2377,0.0027,0.012,0.2324,0.1288,0.0199,0.0027,0.0,0.0305,0.1129,0.0,0.0053
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0701,0.1836,0.2016,0.0025,0.018,0.1873,0.1346,0.0136,0.0056,0.0006,0.0267,0.1439,0.0006,0.0112
hat eine kaufmännische Lehre abgeschlossen.,0.0648,0.1517,0.2411,0.0003,0.019,0.2142,0.133,0.0205,0.0016,0.0,0.0234,0.1182,0.0003,0.012
hat einen Berufsfachschulabschluss.,0.0768,0.1606,0.2196,0.0043,0.0213,0.1791,0.1421,0.0178,0.0028,0.0014,0.0291,0.1336,0.0036,0.0078
hat einen Fachhochschulabschluss.,0.086,0.1572,0.1949,0.0018,0.0307,0.2327,0.144,0.0272,0.0035,0.0,0.0193,0.079,0.0009,0.0228
hat einen Fachschulabschluss.,0.092,0.178,0.1946,0.0,0.0196,0.2262,0.1192,0.0256,0.0075,0.0,0.0166,0.1026,0.003,0.0151
hat einen Meisterabschluss oder Technikerabschluss.,0.0915,0.1605,0.1701,0.0016,0.0289,0.1958,0.1589,0.0257,0.0064,0.0016,0.0144,0.1252,0.0,0.0193
hat einen Universitätsabschluss.,0.0655,0.1372,0.1859,0.0023,0.0412,0.2832,0.1255,0.0309,0.007,0.0,0.0206,0.0754,0.0019,0.0234
hat keine berufliche Ausbildung abgeschlossen.,0.0509,0.1702,0.244,0.0027,0.0107,0.2024,0.1193,0.0201,0.0027,0.0013,0.0442,0.1166,0.0013,0.0134
Die Linke,0.0512,0.3419,0.1507,0.003,0.0315,0.197,0.0985,0.0266,0.0059,0.0,0.0207,0.0345,0.0059,0.0325
die AfD,0.0723,0.1146,0.1993,0.0009,0.0071,0.0432,0.1146,0.0335,0.0035,0.0018,0.0247,0.3668,0.0,0.0176
die CDU/CSU,0.0837,0.102,0.2538,0.0017,0.0257,0.1862,0.1749,0.0235,0.0031,0.0009,0.0227,0.109,0.0013,0.0113
die FDP,0.063,0.0995,0.2431,0.0013,0.0403,0.1297,0.2053,0.0277,0.0113,0.0,0.0176,0.1461,0.0,0.0151
die Grünen,0.0478,0.1126,0.1416,0.0025,0.0233,0.5557,0.0548,0.0157,0.0025,0.0,0.0132,0.0157,0.0006,0.0138
die SPD,0.0644,0.1849,0.205,0.0008,0.0218,0.259,0.1481,0.0134,0.0021,0.0,0.0192,0.0661,0.0017,0.0134
eine Kleinpartei,0.0693,0.187,0.2437,0.0042,0.0147,0.187,0.1008,0.0252,0.0063,0.0,0.0378,0.1092,0.0,0.0147
keine Partei,0.0878,0.1619,0.2462,0.0025,0.0254,0.1517,0.1333,0.0236,0.0042,0.0004,0.037,0.1125,0.0007,0.0127
männlich,0.0754,0.1646,0.1965,0.0014,0.0201,0.2153,0.136,0.0231,0.0046,0.0008,0.0254,0.118,0.0011,0.0175
weiblich,0.0663,0.1482,0.2319,0.0024,0.0277,0.2318,0.1292,0.0211,0.0034,0.0,0.0233,0.1009,0.0014,0.0125
hat das Abitur,0.069,0.145,0.2049,0.0017,0.0321,0.2794,0.1205,0.026,0.0047,0.0002,0.0191,0.0744,0.0012,0.0218
hat einen Fachhochschulreife,0.0927,0.1659,0.1829,0.0016,0.0301,0.2171,0.1423,0.0228,0.0024,0.0008,0.0236,0.0943,0.0016,0.022
hat einen Hauptschulabschluss,0.0544,0.1606,0.2289,0.0019,0.0127,0.1914,0.1328,0.0185,0.0035,0.0,0.0351,0.1513,0.0004,0.0085
hat einen Realschulabschluss,0.0752,0.162,0.2227,0.0022,0.0215,0.1948,0.1405,0.0209,0.0042,0.0007,0.0224,0.1202,0.0018,0.011
hat keinen Schulabschluss,0.1304,0.1449,0.2029,0.0,0.0,0.1449,0.1594,0.0,0.0,0.0,0.058,0.1594,0.0,0.0
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0
18-29 YEARS,0.0284,0.1198,0.247,0.0045,0.018,0.2994,0.1512,0.018,0.003,0.0,0.0359,0.0494,0.0015,0.024
30-44 YEARS,0.056,0.124,0.276,0.0035,0.0344,0.2073,0.1378,0.022,0.0025,0.0007,0.0287,0.0904,0.0014,0.0152
45-59 YEARS,0.0635,0.1677,0.2228,0.002,0.0171,0.2114,0.1277,0.0214,0.0027,0.0005,0.0241,0.1252,0.0005,0.0134
60 and more,0.0931,0.1706,0.1637,0.0004,0.0248,0.234,0.1314,0.0235,0.0062,0.0002,0.0202,0.1148,0.0019,0.0151
