,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0162,0.2408,0.1938,0.0013,0.0061,0.1431,0.2358,0.0056,0.0082,0.0,0.0,0.0127,0.0292,0.0,0.0,0.107
Westdeutschland,0.0175,0.2101,0.2716,0.001,0.0058,0.1156,0.2523,0.0057,0.0115,0.0,0.0,0.0149,0.0016,0.0,0.0,0.0923
befindet sich noch in beruflicher Ausbildung.,0.0134,0.3188,0.1779,0.0034,0.0168,0.0872,0.2852,0.0067,0.0034,0.0,0.0,0.0034,0.0067,0.0,0.0,0.0772
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0213,0.2766,0.2553,0.0213,0.0213,0.0851,0.234,0.0,0.0,0.0,0.0,0.0213,0.0,0.0,0.0,0.0638
hat eine Lehre abgeschlossen.,0.0174,0.2287,0.2544,0.0021,0.0021,0.1138,0.2441,0.0031,0.0113,0.0,0.0,0.0144,0.0103,0.0,0.0,0.0985
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0147,0.2652,0.2024,0.0009,0.0038,0.13,0.2397,0.0061,0.0085,0.0,0.0,0.0189,0.0128,0.0,0.0,0.0969
hat eine kaufmännische Lehre abgeschlossen.,0.0121,0.2308,0.2554,0.0007,0.0071,0.1021,0.2696,0.0066,0.0097,0.0,0.0,0.0152,0.0045,0.0,0.0,0.0862
hat einen Berufsfachschulabschluss.,0.0164,0.1893,0.2788,0.0016,0.006,0.1238,0.2433,0.0038,0.0115,0.0,0.0,0.018,0.0115,0.0,0.0,0.096
hat einen Fachhochschulabschluss.,0.0192,0.1623,0.2927,0.0007,0.0013,0.1391,0.2616,0.006,0.0146,0.0,0.0,0.0106,0.0066,0.0,0.0,0.0854
hat einen Fachschulabschluss.,0.0244,0.1944,0.2711,0.0022,0.0078,0.1256,0.2278,0.0078,0.0111,0.0,0.0,0.0144,0.02,0.0,0.0,0.0933
hat einen Meisterabschluss oder Technikerabschluss.,0.0206,0.1673,0.2655,0.0,0.0061,0.1527,0.2545,0.0061,0.0109,0.0,0.0,0.0133,0.0061,0.0,0.0,0.097
hat einen Universitätsabschluss.,0.0224,0.1545,0.2955,0.0,0.005,0.1456,0.2428,0.0061,0.0142,0.0,0.0,0.0114,0.005,0.0,0.0,0.0975
hat keine berufliche Ausbildung abgeschlossen.,0.0195,0.3891,0.1294,0.0031,0.0123,0.0821,0.191,0.0031,0.0041,0.0,0.0,0.0133,0.0041,0.0,0.0,0.1489
Die Linke,0.0167,0.4374,0.1253,0.0008,0.0038,0.0774,0.167,0.003,0.0061,0.0,0.0,0.0106,0.0167,0.0,0.0,0.1352
die AfD,0.0371,0.1602,0.1933,0.0014,0.0007,0.1066,0.1939,0.0227,0.0158,0.0,0.0,0.0812,0.0158,0.0,0.0,0.1713
die CDU/CSU,0.0136,0.134,0.3505,0.0003,0.0026,0.11,0.2767,0.0049,0.0123,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0835
die FDP,0.0272,0.1507,0.2796,0.0009,0.007,0.0999,0.2936,0.0035,0.0149,0.0,0.0,0.0053,0.0088,0.0,0.0,0.1087
die Grünen,0.0089,0.2029,0.2103,0.002,0.0084,0.2712,0.2063,0.002,0.0094,0.0,0.0,0.0089,0.002,0.0,0.0,0.0678
die SPD,0.01,0.2827,0.2691,0.0006,0.0067,0.0799,0.2682,0.0021,0.007,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0605
eine Kleinpartei,0.0285,0.2462,0.1843,0.0017,0.005,0.1223,0.2412,0.005,0.0101,0.0,0.0,0.0168,0.0101,0.0,0.0,0.129
keine Partei,0.0187,0.1948,0.2565,0.0017,0.0092,0.1161,0.269,0.0067,0.012,0.0,0.0,0.0089,0.007,0.0,0.0,0.0994
männlich,0.0214,0.1946,0.2526,0.0002,0.0037,0.1201,0.2613,0.0049,0.0126,0.0,0.0,0.0135,0.0083,0.0,0.0,0.1067
weiblich,0.0128,0.2404,0.2552,0.002,0.0081,0.1238,0.2354,0.0065,0.0088,0.0,0.0,0.0154,0.0074,0.0,0.0,0.0842
hat das Abitur,0.0204,0.1702,0.286,0.0009,0.0055,0.1358,0.2499,0.0061,0.0116,0.0,0.0,0.012,0.0061,0.0,0.0,0.0956
hat einen Fachhochschulreife,0.0167,0.1988,0.2563,0.0012,0.0043,0.1313,0.2712,0.0068,0.0111,0.0,0.0,0.0149,0.0074,0.0,0.0,0.0799
hat einen Hauptschulabschluss,0.0139,0.2611,0.2386,0.0009,0.0066,0.1006,0.2434,0.0047,0.0101,0.0,0.0,0.0152,0.0044,0.0,0.0,0.1003
hat einen Realschulabschluss,0.0163,0.24,0.233,0.0013,0.0063,0.118,0.2448,0.0056,0.0102,0.0,0.0,0.016,0.0116,0.0,0.0,0.0969
