,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0413,0.0846,0.5577,0.0017,0.0166,0.0562,0.0497,0.0271,0.0037,0.0007,0.0206,0.0761,0.0024,0.0227,0.0071,0.0318
Westdeutschland,0.0299,0.0782,0.5783,0.002,0.0102,0.0855,0.0516,0.0242,0.0047,0.0006,0.0166,0.0699,0.0002,0.023,0.0062,0.0188
befindet sich noch in beruflicher Ausbildung.,0.0081,0.0891,0.502,0.0,0.0121,0.1741,0.0648,0.0283,0.0,0.0,0.0202,0.0121,0.0,0.0405,0.0081,0.0405
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0278,0.0833,0.4722,0.0,0.0,0.1389,0.0278,0.0,0.0,0.0,0.1111,0.0556,0.0,0.0833,0.0,0.0
hat eine Lehre abgeschlossen.,0.0338,0.0767,0.5826,0.0,0.0117,0.0936,0.0468,0.0091,0.0026,0.0,0.0195,0.0767,0.0,0.026,0.0091,0.0117
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.032,0.0898,0.5545,0.0012,0.008,0.0542,0.0535,0.0222,0.0037,0.0006,0.0197,0.1102,0.0018,0.0246,0.0068,0.0172
hat eine kaufmännische Lehre abgeschlossen.,0.0308,0.0746,0.6254,0.0022,0.0084,0.0647,0.0457,0.0205,0.004,0.0003,0.0127,0.0715,0.0,0.019,0.0059,0.0143
hat einen Berufsfachschulabschluss.,0.0349,0.0782,0.574,0.0035,0.0091,0.0601,0.0594,0.0279,0.0021,0.0007,0.0161,0.0817,0.0007,0.0265,0.0084,0.0168
hat einen Fachhochschulabschluss.,0.0349,0.0707,0.592,0.0026,0.0136,0.0835,0.0596,0.0307,0.0068,0.0,0.0153,0.0511,0.0009,0.0136,0.0017,0.023
hat einen Fachschulabschluss.,0.0388,0.079,0.6049,0.0014,0.0086,0.0603,0.0445,0.0273,0.0043,0.0,0.0129,0.0575,0.0,0.0259,0.0043,0.0302
hat einen Meisterabschluss oder Technikerabschluss.,0.0332,0.0807,0.5554,0.0,0.0206,0.0585,0.0538,0.0174,0.0016,0.0016,0.0301,0.0934,0.0016,0.0142,0.0032,0.0348
hat einen Universitätsabschluss.,0.0346,0.0756,0.5288,0.0032,0.0198,0.1213,0.0521,0.0341,0.0083,0.0014,0.0157,0.0516,0.0009,0.0161,0.0023,0.0341
hat keine berufliche Ausbildung abgeschlossen.,0.028,0.1069,0.5013,0.0,0.0076,0.0814,0.0433,0.028,0.0038,0.0013,0.0305,0.0649,0.0013,0.0547,0.0242,0.0229
Die Linke,0.0315,0.2042,0.4885,0.0029,0.0143,0.083,0.0468,0.0324,0.0048,0.0,0.0105,0.0239,0.0048,0.0067,0.0038,0.042
die AfD,0.0798,0.0605,0.3961,0.0,0.0053,0.0131,0.0613,0.0438,0.0009,0.0035,0.0167,0.2752,0.0,0.0158,0.0044,0.0237
die CDU/CSU,0.0227,0.045,0.6569,0.0009,0.0101,0.0524,0.0621,0.0192,0.0052,0.0,0.017,0.066,0.0004,0.0232,0.0052,0.0135
die FDP,0.0291,0.0512,0.5891,0.0,0.0198,0.0419,0.0966,0.021,0.007,0.0,0.0186,0.0885,0.0,0.0116,0.0035,0.0221
die Grünen,0.014,0.059,0.5489,0.003,0.0152,0.2383,0.0286,0.0255,0.0024,0.0,0.0091,0.0109,0.0,0.0152,0.003,0.0267
die SPD,0.0079,0.0856,0.6734,0.0028,0.0111,0.0678,0.0468,0.017,0.0048,0.0,0.0107,0.038,0.0012,0.0123,0.0048,0.0159
eine Kleinpartei,0.0672,0.1283,0.4582,0.0041,0.0081,0.0855,0.0468,0.0326,0.0081,0.0041,0.0285,0.0713,0.0,0.0265,0.0,0.0305
keine Partei,0.0499,0.0764,0.5495,0.0022,0.0111,0.0513,0.0438,0.0255,0.0047,0.0007,0.0298,0.0707,0.0,0.0488,0.0147,0.0212
männlich,0.0395,0.0903,0.5372,0.0014,0.0119,0.0796,0.0519,0.0248,0.005,0.0008,0.0194,0.0847,0.0011,0.0232,0.0053,0.024
weiblich,0.0255,0.0689,0.6107,0.0025,0.0114,0.0778,0.0504,0.025,0.004,0.0005,0.0156,0.0577,0.0003,0.0226,0.0076,0.0196
hat das Abitur,0.0335,0.0765,0.5657,0.0023,0.0158,0.1129,0.0514,0.03,0.0056,0.0007,0.0137,0.0458,0.0007,0.0142,0.0023,0.029
hat einen Fachhochschulreife,0.0433,0.0914,0.5557,0.0008,0.016,0.0593,0.0537,0.0257,0.004,0.0008,0.0225,0.0738,0.0016,0.0217,0.0024,0.0273
hat einen Hauptschulabschluss,0.0214,0.0791,0.5638,0.0028,0.0061,0.0626,0.0529,0.0157,0.0061,0.0004,0.0226,0.1049,0.0004,0.0371,0.0109,0.0133
hat einen Realschulabschluss,0.0345,0.0803,0.5939,0.0015,0.0098,0.0614,0.049,0.0243,0.0028,0.0006,0.0158,0.0763,0.0006,0.0232,0.0075,0.0185
hat keinen Schulabschluss,0.0536,0.0536,0.3214,0.0,0.0,0.0357,0.0893,0.0714,0.0,0.0,0.0893,0.0893,0.0,0.0714,0.125,0.0
ist noch Schüler/in,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0228,0.0754,0.478,0.0057,0.0156,0.1465,0.0626,0.0356,0.0,0.0014,0.0341,0.0299,0.0,0.0597,0.0071,0.0256
30-44 YEARS,0.0394,0.0815,0.5295,0.0031,0.0179,0.0763,0.0597,0.0242,0.0017,0.0007,0.0259,0.0608,0.0007,0.0445,0.0086,0.0255
45-59 YEARS,0.0354,0.0813,0.5787,0.0013,0.0085,0.0684,0.053,0.0236,0.0029,0.0007,0.0165,0.08,0.0,0.0201,0.0071,0.0225
60 and more,0.0271,0.0777,0.6102,0.0013,0.0102,0.0799,0.0424,0.0249,0.0083,0.0004,0.0109,0.0758,0.0015,0.0068,0.0043,0.0183
