,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0807,0.1738,0.2015,0.0023,0.0354,0.1634,0.1401,0.0267,0.005,0.0007,0.028,0.1181,0.004,0.0203
Westdeutschland,0.0658,0.1499,0.2211,0.0019,0.0206,0.2372,0.1343,0.0222,0.0043,0.0005,0.0221,0.1053,0.0004,0.0144
befindet sich noch in beruflicher Ausbildung.,0.0405,0.1093,0.2632,0.004,0.0364,0.3563,0.1012,0.0202,0.0,0.0,0.0121,0.0162,0.004,0.0364
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.1081,0.1351,0.1892,0.0,0.0,0.3243,0.0811,0.0,0.0,0.0,0.0541,0.1081,0.0,0.0
hat eine Lehre abgeschlossen.,0.0687,0.145,0.2277,0.0025,0.0127,0.2303,0.1399,0.0229,0.0038,0.0,0.0293,0.112,0.0,0.0051
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.069,0.1834,0.2016,0.0024,0.0176,0.187,0.1374,0.0133,0.0054,0.0012,0.026,0.1435,0.0006,0.0115
hat eine kaufmännische Lehre abgeschlossen.,0.0636,0.1501,0.2436,0.0006,0.0194,0.2097,0.1359,0.0215,0.0024,0.0,0.0224,0.1165,0.0003,0.0139
hat einen Berufsfachschulabschluss.,0.073,0.1602,0.2211,0.0041,0.0223,0.1765,0.1474,0.0189,0.0041,0.0014,0.0277,0.1312,0.0034,0.0088
hat einen Fachhochschulabschluss.,0.0831,0.1545,0.2074,0.0017,0.0311,0.2292,0.1411,0.0277,0.0042,0.0,0.0185,0.0772,0.0008,0.0235
hat einen Fachschulabschluss.,0.0893,0.1728,0.202,0.0015,0.019,0.2269,0.1215,0.0249,0.0073,0.0,0.0161,0.101,0.0029,0.0146
hat einen Meisterabschluss oder Technikerabschluss.,0.0892,0.1631,0.1738,0.0015,0.0292,0.1954,0.16,0.0262,0.0062,0.0015,0.0138,0.1215,0.0,0.0185
hat einen Universitätsabschluss.,0.065,0.1362,0.1881,0.0023,0.0406,0.276,0.1295,0.0338,0.0072,0.0,0.0198,0.0753,0.0018,0.0244
hat keine berufliche Ausbildung abgeschlossen.,0.051,0.1702,0.2448,0.0026,0.0105,0.2016,0.1191,0.0209,0.0026,0.0026,0.0432,0.1165,0.0013,0.0131
Die Linke,0.0521,0.3385,0.1533,0.0039,0.0309,0.1948,0.1013,0.026,0.0058,0.0,0.0203,0.0347,0.0058,0.0328
die AfD,0.0714,0.1159,0.1982,0.0008,0.0076,0.047,0.115,0.0353,0.005,0.0017,0.0235,0.3594,0.0,0.0193
die CDU/CSU,0.0811,0.1013,0.2556,0.0017,0.0248,0.1875,0.1765,0.0248,0.0042,0.0008,0.0219,0.1059,0.0013,0.0126
die FDP,0.0612,0.1008,0.2485,0.0012,0.0408,0.1297,0.2065,0.0276,0.012,0.0,0.0168,0.1393,0.0,0.0156
die Grünen,0.0472,0.1139,0.1464,0.0024,0.0239,0.5444,0.06,0.0153,0.0024,0.0,0.0129,0.0159,0.0006,0.0147
die SPD,0.0619,0.1832,0.2076,0.0008,0.022,0.2539,0.1517,0.0148,0.0028,0.0,0.0184,0.0671,0.0016,0.0144
eine Kleinpartei,0.0678,0.1869,0.2444,0.0041,0.0144,0.1869,0.1006,0.0267,0.0062,0.0041,0.037,0.1068,0.0,0.0144
keine Partei,0.0859,0.1603,0.2479,0.0027,0.0261,0.1484,0.1372,0.0258,0.0041,0.0003,0.0357,0.1121,0.0007,0.0129
männlich,0.0737,0.1629,0.1989,0.0014,0.0206,0.2129,0.1395,0.0244,0.0052,0.0008,0.0244,0.1165,0.0011,0.0178
weiblich,0.0648,0.148,0.2343,0.0026,0.0274,0.2276,0.1318,0.022,0.0037,0.0003,0.0225,0.0999,0.0014,0.0137
hat das Abitur,0.0682,0.1428,0.2101,0.0019,0.0323,0.2724,0.1225,0.0276,0.005,0.0002,0.0184,0.0744,0.0012,0.0229
hat einen Fachhochschulreife,0.0901,0.1638,0.1865,0.0016,0.0306,0.2179,0.1434,0.0227,0.0031,0.0008,0.0227,0.0917,0.0016,0.0235
hat einen Hauptschulabschluss,0.0527,0.1607,0.2271,0.0019,0.013,0.1911,0.1365,0.0208,0.0041,0.0004,0.0338,0.1488,0.0004,0.0089
hat einen Realschulabschluss,0.0731,0.1617,0.2247,0.0023,0.0213,0.1919,0.1446,0.0211,0.0047,0.0008,0.0216,0.119,0.0017,0.0114
hat keinen Schulabschluss,0.1304,0.1449,0.2029,0.0,0.0,0.1449,0.1594,0.0,0.0,0.0,0.058,0.1594,0.0,0.0
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0
18-29 YEARS,0.0277,0.1164,0.2518,0.0044,0.0175,0.2969,0.1528,0.0204,0.0029,0.0,0.0349,0.0495,0.0015,0.0233
30-44 YEARS,0.0552,0.1241,0.2774,0.0034,0.0344,0.2035,0.1397,0.0235,0.0027,0.001,0.0276,0.0896,0.0014,0.0164
45-59 YEARS,0.0616,0.1666,0.2273,0.0024,0.0171,0.2078,0.1306,0.0221,0.0026,0.0007,0.0232,0.1236,0.0004,0.014
60 and more,0.091,0.1695,0.1645,0.0004,0.0251,0.2312,0.1355,0.0245,0.0075,0.0002,0.0195,0.1133,0.0019,0.016
