,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0653,0.1033,0.5265,0.0037,0.0166,0.0315,0.0939,0.0246,0.0052,0.0011,0.0335,0.0759,0.0017,0.0172
Westdeutschland,0.0494,0.0843,0.5696,0.0031,0.0147,0.0478,0.0927,0.026,0.0029,0.0009,0.0317,0.0638,0.0,0.0132
befindet sich noch in beruflicher Ausbildung.,0.0429,0.0643,0.555,0.0107,0.008,0.0938,0.0831,0.0402,0.0027,0.0027,0.0241,0.0241,0.0,0.0483
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0732,0.0976,0.3902,0.0,0.0,0.0976,0.0976,0.0488,0.0,0.0,0.0976,0.0976,0.0,0.0
hat eine Lehre abgeschlossen.,0.0438,0.0846,0.5501,0.0084,0.0104,0.0438,0.0866,0.0303,0.0,0.001,0.0511,0.072,0.0,0.0177
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0543,0.0992,0.5423,0.0037,0.0099,0.035,0.0908,0.0214,0.0047,0.0,0.0376,0.0866,0.001,0.0136
hat eine kaufmännische Lehre abgeschlossen.,0.045,0.0822,0.5919,0.0026,0.0165,0.0353,0.0971,0.0188,0.0016,0.001,0.028,0.0717,0.0,0.0081
hat einen Berufsfachschulabschluss.,0.0518,0.0901,0.5459,0.0018,0.0153,0.0347,0.1025,0.0283,0.0035,0.0024,0.0347,0.0795,0.0012,0.0082
hat einen Fachhochschulabschluss.,0.0782,0.0923,0.5557,0.0,0.0221,0.045,0.0893,0.0229,0.0015,0.0,0.0295,0.048,0.0007,0.0148
hat einen Fachschulabschluss.,0.0481,0.0852,0.5741,0.0062,0.0173,0.0321,0.0728,0.0395,0.0099,0.0,0.0284,0.0642,0.0,0.0222
hat einen Meisterabschluss oder Technikerabschluss.,0.0836,0.0743,0.5186,0.0013,0.0106,0.0438,0.0942,0.0292,0.008,0.0013,0.0332,0.0875,0.0,0.0146
hat einen Universitätsabschluss.,0.0501,0.0946,0.5584,0.0044,0.0183,0.0648,0.099,0.0262,0.0036,0.0008,0.0207,0.0409,0.0004,0.0179
hat keine berufliche Ausbildung abgeschlossen.,0.0497,0.0983,0.5383,0.0,0.0114,0.0466,0.0797,0.0331,0.0052,0.001,0.0497,0.0714,0.0,0.0155
Die Linke,0.0661,0.1962,0.4673,0.0041,0.0232,0.047,0.0824,0.0313,0.0054,0.0,0.0184,0.0341,0.0007,0.0238
die AfD,0.0991,0.0745,0.3763,0.0007,0.0043,0.0094,0.089,0.0485,0.0065,0.0014,0.0297,0.2496,0.0,0.0109
die CDU/CSU,0.0351,0.0455,0.6673,0.0029,0.0132,0.0265,0.097,0.0178,0.0035,0.002,0.0262,0.0501,0.0009,0.0121
die FDP,0.0449,0.0649,0.5993,0.005,0.0175,0.0187,0.1174,0.0225,0.0012,0.0,0.0375,0.0599,0.0,0.0112
die Grünen,0.0335,0.0902,0.5611,0.0037,0.0195,0.1339,0.0772,0.0195,0.0014,0.0005,0.0256,0.0172,0.0,0.0167
die SPD,0.0312,0.1002,0.6098,0.002,0.0186,0.0363,0.0937,0.0191,0.004,0.0005,0.0302,0.0398,0.0,0.0146
eine Kleinpartei,0.095,0.1215,0.4361,0.0047,0.0218,0.0732,0.081,0.0483,0.0016,0.0031,0.0296,0.0592,0.0,0.0249
keine Partei,0.0666,0.0839,0.5475,0.0039,0.0112,0.0224,0.1015,0.026,0.003,0.0003,0.05,0.073,0.0006,0.01
männlich,0.0616,0.0983,0.5351,0.0022,0.0134,0.0473,0.0866,0.0274,0.0041,0.0016,0.0324,0.0715,0.0005,0.018
weiblich,0.0446,0.0792,0.584,0.0042,0.0169,0.0408,0.0993,0.0239,0.0027,0.0003,0.0318,0.0616,0.0003,0.0103
hat das Abitur,0.0529,0.0928,0.5675,0.0035,0.0217,0.0608,0.0926,0.026,0.0033,0.0004,0.0203,0.041,0.0004,0.0168
hat einen Fachhochschulreife,0.0677,0.0892,0.5386,0.0034,0.0161,0.0456,0.0892,0.0221,0.0034,0.0007,0.0396,0.0657,0.0,0.0188
hat einen Hauptschulabschluss,0.048,0.0865,0.5499,0.0031,0.0112,0.031,0.0933,0.0273,0.0046,0.0012,0.0431,0.0899,0.0,0.0108
hat einen Realschulabschluss,0.0512,0.0863,0.5674,0.0031,0.0114,0.0367,0.0938,0.0249,0.0029,0.0013,0.0327,0.0752,0.0007,0.0124
hat keinen Schulabschluss,0.1068,0.0874,0.3883,0.0,0.0097,0.0291,0.1165,0.0485,0.0,0.0,0.1068,0.0874,0.0,0.0194
ist noch Schüler/in,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
18-29 YEARS,0.0518,0.0768,0.4875,0.006,0.008,0.0867,0.1047,0.0439,0.002,0.001,0.0469,0.0449,0.0,0.0399
30-44 YEARS,0.0463,0.0844,0.5535,0.0063,0.0168,0.0397,0.1111,0.0254,0.0028,0.0006,0.043,0.0568,0.0014,0.0119
45-59 YEARS,0.0514,0.0894,0.5705,0.0025,0.0128,0.0394,0.0952,0.0227,0.0029,0.0008,0.03,0.0722,0.0,0.0101
60 and more,0.0595,0.0932,0.5668,0.0013,0.0176,0.0436,0.0763,0.0253,0.0047,0.0013,0.0239,0.0716,0.0002,0.0148
