,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0188,0.2942,0.2396,0.0003,0.0066,0.1744,0.1581,0.0035,0.0097,0,0,0.0136,0.0125,0.0686
Westdeutschland,0.0194,0.2541,0.3434,0.0011,0.0061,0.1403,0.1448,0.0036,0.0131,0,0,0.0189,0.0008,0.0541
befindet sich noch in beruflicher Ausbildung.,0.0166,0.3776,0.2075,0.0083,0.0124,0.1079,0.2075,0.0083,0.0041,0,0,0.0041,0.0041,0.0415
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0278,0.3333,0.3333,0.0278,0.0278,0.1111,0.0833,0.0,0.0,0,0,0.0278,0.0,0.0278
hat eine Lehre abgeschlossen.,0.0226,0.2783,0.3103,0.0027,0.0027,0.1358,0.1545,0.0013,0.012,0,0,0.0173,0.0067,0.0559
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0169,0.3254,0.253,0.0006,0.0037,0.1505,0.1555,0.0044,0.0087,0,0,0.0244,0.0037,0.0531
hat eine kaufmännische Lehre abgeschlossen.,0.0142,0.2849,0.3213,0.0006,0.0079,0.1235,0.1656,0.0051,0.0111,0,0,0.0184,0.0019,0.0456
hat einen Berufsfachschulabschluss.,0.018,0.23,0.3511,0.0007,0.0079,0.1507,0.1305,0.0029,0.013,0,0,0.0195,0.0065,0.0692
hat einen Fachhochschulabschluss.,0.022,0.1937,0.3794,0.0,0.0018,0.169,0.1391,0.0035,0.0176,0,0,0.0132,0.0044,0.0563
hat einen Fachschulabschluss.,0.0222,0.2304,0.3456,0.0015,0.0059,0.1566,0.13,0.003,0.0148,0,0,0.0192,0.003,0.0679
hat einen Meisterabschluss oder Technikerabschluss.,0.0194,0.1926,0.3382,0.0,0.0081,0.1942,0.1456,0.0,0.0146,0,0,0.0194,0.0032,0.0647
hat einen Universitätsabschluss.,0.0257,0.1832,0.3768,0.0,0.0057,0.1836,0.1294,0.0033,0.0167,0,0,0.0143,0.0029,0.0585
hat keine berufliche Ausbildung abgeschlossen.,0.0195,0.4597,0.1545,0.0026,0.0091,0.0948,0.1494,0.0026,0.0039,0,0,0.0156,0.0026,0.0857
Die Linke,0.0206,0.5299,0.1459,0.0,0.0039,0.0891,0.1185,0.0039,0.0059,0,0,0.0118,0.0069,0.0637
die AfD,0.039,0.1904,0.2366,0.0009,0.0009,0.1188,0.1333,0.019,0.0172,0,0,0.1015,0.0063,0.136
die CDU/CSU,0.0165,0.1638,0.4645,0.0,0.0031,0.1392,0.137,0.0022,0.0147,0,0,0.0071,0.0045,0.0473
die FDP,0.0287,0.1844,0.3605,0.0012,0.006,0.1269,0.1928,0.0048,0.018,0,0,0.0072,0.0024,0.0671
die Grünen,0.01,0.2339,0.2564,0.0006,0.01,0.3288,0.1029,0.0006,0.0087,0,0,0.0106,0.0012,0.0362
die SPD,0.0118,0.3444,0.3452,0.0012,0.0057,0.0968,0.1487,0.0004,0.0089,0,0,0.0081,0.0028,0.0259
eine Kleinpartei,0.0319,0.2894,0.2128,0.0021,0.0064,0.1404,0.1851,0.0064,0.0106,0,0,0.0191,0.0064,0.0894
keine Partei,0.0201,0.2386,0.3186,0.0018,0.0102,0.1377,0.179,0.0022,0.0146,0,0,0.0106,0.0022,0.0643
männlich,0.0237,0.2342,0.3173,0.0003,0.0038,0.1471,0.1642,0.0032,0.0145,0,0,0.0165,0.0044,0.0708
weiblich,0.0147,0.293,0.3218,0.0016,0.0087,0.1493,0.1312,0.004,0.0102,0,0,0.0189,0.0026,0.0438
hat das Abitur,0.0225,0.2054,0.3647,0.001,0.006,0.1701,0.134,0.0038,0.0136,0,0,0.0148,0.0033,0.0609
hat einen Fachhochschulreife,0.0182,0.2357,0.3234,0.0,0.0033,0.1596,0.1754,0.0017,0.0132,0,0,0.019,0.0025,0.048
hat einen Hauptschulabschluss,0.016,0.3181,0.2951,0.0012,0.007,0.1206,0.1473,0.0037,0.0119,0,0,0.0181,0.0016,0.0593
hat einen Realschulabschluss,0.0185,0.2915,0.2923,0.0011,0.007,0.1404,0.1539,0.0039,0.0113,0,0,0.0196,0.005,0.0555
hat keinen Schulabschluss,0.0,0.5283,0.1321,0.0,0.0,0.0943,0.1321,0.0,0.0,0,0,0.0377,0.0,0.0755
ist noch Schüler/in,0.0,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0.2
18-29 YEARS,0.0145,0.3406,0.2377,0.0029,0.0101,0.129,0.1725,0.0058,0.0072,0,0,0.0145,0.0072,0.058
30-44 YEARS,0.0236,0.2749,0.2735,0.0014,0.0092,0.141,0.1688,0.0032,0.013,0,0,0.0215,0.0042,0.0656
45-59 YEARS,0.0224,0.243,0.3305,0.0011,0.005,0.1441,0.1512,0.0041,0.0135,0,0,0.0201,0.0034,0.0614
60 and more,0.0142,0.2639,0.3499,0.0002,0.005,0.1594,0.1279,0.0031,0.0116,0,0,0.0136,0.0026,0.0485
