,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0597,0.133,0.3281,0.0017,0.0276,0.1347,0.1057,0.0266,0.0061,0.0003,0.0334,0.1252,0.0007,0.0171
Westdeutschland,0.0455,0.1068,0.3595,0.0017,0.0155,0.207,0.0942,0.0217,0.007,0.0002,0.0247,0.1027,0.0002,0.0133
befindet sich noch in beruflicher Ausbildung.,0.03,0.0824,0.3558,0.0,0.015,0.3483,0.0749,0.0112,0.0037,0.0,0.015,0.0337,0.0,0.03
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.1515,0.2121,0.0,0.0303,0.303,0.0606,0.0606,0.0,0.0,0.0606,0.1212,0.0,0.0
hat eine Lehre abgeschlossen.,0.0423,0.1179,0.3372,0.0,0.0103,0.2205,0.1,0.0244,0.0051,0.0,0.0269,0.1064,0.0013,0.0077
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0414,0.1297,0.3517,0.0012,0.0168,0.1471,0.0984,0.0228,0.003,0.0,0.0324,0.1441,0.0006,0.0108
hat eine kaufmännische Lehre abgeschlossen.,0.0414,0.109,0.3796,0.0028,0.0154,0.1782,0.0917,0.0201,0.0096,0.0,0.0241,0.1192,0.0003,0.0086
hat einen Berufsfachschulabschluss.,0.0507,0.1147,0.3659,0.0021,0.0183,0.1407,0.1077,0.0183,0.0084,0.0,0.0373,0.1246,0.0,0.0113
hat einen Fachhochschulabschluss.,0.0603,0.1059,0.3359,0.0,0.025,0.2145,0.0973,0.0215,0.0052,0.0,0.0258,0.0879,0.0,0.0207
hat einen Fachschulabschluss.,0.0699,0.1086,0.3467,0.0,0.0193,0.1964,0.0908,0.0283,0.006,0.0,0.0134,0.1057,0.0,0.0149
hat einen Meisterabschluss oder Technikerabschluss.,0.0718,0.1139,0.3214,0.0016,0.0187,0.1654,0.1061,0.0296,0.0047,0.0016,0.0296,0.1201,0.0016,0.014
hat einen Universitätsabschluss.,0.0504,0.0975,0.3266,0.0019,0.0261,0.245,0.0971,0.0289,0.0079,0.0005,0.0187,0.0751,0.0,0.0243
hat keine berufliche Ausbildung abgeschlossen.,0.0481,0.1497,0.361,0.004,0.008,0.1631,0.0976,0.0174,0.0053,0.0013,0.0414,0.0896,0.0,0.0134
Die Linke,0.0477,0.2847,0.2538,0.0,0.0265,0.1892,0.0734,0.0203,0.0088,0.0,0.0203,0.0513,0.0009,0.023
die AfD,0.0907,0.0754,0.2814,0.0017,0.0059,0.0305,0.0653,0.0517,0.0093,0.0008,0.0331,0.3441,0.0,0.0102
die CDU/CSU,0.036,0.0686,0.433,0.0023,0.0182,0.1598,0.1186,0.0174,0.0076,0.0,0.0227,0.1045,0.0,0.0114
die FDP,0.0555,0.0728,0.3422,0.0012,0.0324,0.104,0.1584,0.022,0.0092,0.0,0.022,0.1642,0.0,0.0162
die Grünen,0.0289,0.0783,0.2719,0.0011,0.0187,0.4796,0.0579,0.0114,0.004,0.0,0.0125,0.021,0.0006,0.0142
die SPD,0.0283,0.1231,0.3823,0.001,0.0169,0.1966,0.1207,0.0233,0.0079,0.0,0.0179,0.069,0.0005,0.0124
eine Kleinpartei,0.0911,0.1468,0.2751,0.0037,0.0204,0.1803,0.0836,0.0353,0.0037,0.0037,0.0335,0.0929,0.0,0.0297
keine Partei,0.0614,0.1216,0.3955,0.0027,0.0159,0.1254,0.0898,0.0212,0.0049,0.0,0.047,0.1019,0.0004,0.0125
männlich,0.0514,0.1211,0.3339,0.0011,0.0164,0.1843,0.094,0.0258,0.0072,0.0003,0.0279,0.1203,0.0006,0.0157
weiblich,0.0462,0.1046,0.3707,0.0023,0.02,0.1964,0.0998,0.0197,0.0064,0.0002,0.0255,0.0954,0.0,0.0127
hat das Abitur,0.0514,0.1067,0.3445,0.0014,0.0238,0.2413,0.0846,0.0252,0.007,0.0002,0.0166,0.0755,0.0,0.0216
hat einen Fachhochschulreife,0.0533,0.1041,0.3382,0.0008,0.0226,0.1977,0.109,0.0242,0.0048,0.0,0.0266,0.1057,0.0,0.0129
hat einen Hauptschulabschluss,0.0436,0.1259,0.3555,0.0027,0.011,0.1574,0.0971,0.0201,0.0076,0.0004,0.0368,0.1351,0.0,0.0068
hat einen Realschulabschluss,0.0467,0.1127,0.3622,0.0017,0.0165,0.1631,0.1046,0.0219,0.0066,0.0002,0.0296,0.1215,0.0009,0.0118
hat keinen Schulabschluss,0.1493,0.1493,0.2836,0.0,0.0,0.0896,0.0896,0.0149,0.0149,0.0,0.0597,0.1194,0.0,0.0299
ist noch Schüler/in,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
18-29 YEARS,0.0322,0.0937,0.351,0.0,0.0126,0.2755,0.0825,0.0252,0.0056,0.0,0.0406,0.0601,0.0,0.021
30-44 YEARS,0.0427,0.0984,0.4123,0.0028,0.0189,0.1671,0.0949,0.0221,0.0032,0.0004,0.0315,0.09,0.0004,0.0154
45-59 YEARS,0.0506,0.1224,0.3548,0.002,0.0158,0.1664,0.0997,0.0223,0.0067,0.0002,0.0268,0.1193,0.0,0.0129
60 and more,0.0532,0.1154,0.3138,0.0011,0.021,0.2144,0.0975,0.0233,0.0093,0.0002,0.0216,0.1149,0.0006,0.0136
