,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0205,0.1928,0.3652,0.0003,0.0042,0.1405,0.1441,0.0059,0.0101,0,0.0,0.0286,0.0117,0.0761
Westdeutschland,0.0119,0.139,0.5177,0.0005,0.0036,0.1226,0.1277,0.005,0.0104,0,0.0001,0.0222,0.0006,0.0386
befindet sich noch in beruflicher Ausbildung.,0.0172,0.189,0.4192,0.0034,0.0069,0.1409,0.1512,0.0,0.0,0,0.0,0.0172,0.0034,0.0515
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0256,0.1795,0.4872,0.0,0.0,0.1538,0.1026,0.0,0.0,0,0.0,0.0256,0.0,0.0256
hat eine Lehre abgeschlossen.,0.0192,0.1478,0.4639,0.0,0.0096,0.1262,0.1298,0.006,0.0168,0,0.0,0.0216,0.0036,0.0553
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0092,0.2049,0.403,0.0,0.0034,0.1349,0.1544,0.0034,0.0103,0,0.0,0.0218,0.0052,0.0494
hat eine kaufmännische Lehre abgeschlossen.,0.0106,0.1608,0.4782,0.0006,0.0032,0.1093,0.149,0.0076,0.0121,0,0.0003,0.0235,0.0018,0.0429
hat einen Berufsfachschulabschluss.,0.0225,0.126,0.5073,0.0013,0.004,0.1227,0.1154,0.004,0.0133,0,0.0,0.0338,0.0033,0.0464
hat einen Fachhochschulabschluss.,0.0092,0.0943,0.5659,0.0,0.0033,0.1369,0.1102,0.0058,0.005,0,0.0,0.0209,0.0033,0.0451
hat einen Fachschulabschluss.,0.0156,0.1374,0.5212,0.0,0.0057,0.1232,0.102,0.0057,0.0057,0,0.0,0.0269,0.0057,0.051
hat einen Meisterabschluss oder Technikerabschluss.,0.0136,0.1195,0.4312,0.0,0.0045,0.1755,0.1589,0.0061,0.0106,0,0.0,0.0257,0.0015,0.053
hat einen Universitätsabschluss.,0.0176,0.0869,0.5674,0.0,0.0014,0.138,0.1063,0.0036,0.0122,0,0.0,0.0158,0.0023,0.0484
hat keine berufliche Ausbildung abgeschlossen.,0.0096,0.3254,0.3289,0.0012,0.0036,0.1017,0.1376,0.0048,0.0024,0,0.0,0.0347,0.0048,0.0455
Die Linke,0.012,0.3147,0.3431,0.0,0.0052,0.0997,0.1436,0.0017,0.0077,0,0.0,0.0172,0.0034,0.0516
die AfD,0.0228,0.1212,0.2978,0.0,0.0008,0.1277,0.0985,0.035,0.0179,0,0.0,0.1326,0.0065,0.1391
die CDU/CSU,0.012,0.0864,0.6234,0.0004,0.0015,0.1125,0.1096,0.0025,0.0105,0,0.0,0.0109,0.0025,0.0279
die FDP,0.0179,0.1299,0.458,0.0,0.0034,0.1109,0.1926,0.0011,0.0134,0,0.0,0.0134,0.0022,0.0571
die Grünen,0.0083,0.1122,0.4778,0.0011,0.0033,0.2694,0.0878,0.0022,0.0044,0,0.0,0.0139,0.0006,0.0189
die SPD,0.011,0.1885,0.5341,0.0005,0.0038,0.0726,0.1408,0.0024,0.01,0,0.0,0.0081,0.0038,0.0243
eine Kleinpartei,0.0394,0.2057,0.3059,0.0,0.0107,0.136,0.1735,0.0036,0.0143,0,0.0,0.0215,0.0036,0.0859
keine Partei,0.0119,0.1539,0.4911,0.0007,0.0055,0.1044,0.1546,0.002,0.0102,0,0.0003,0.0133,0.0034,0.0485
männlich,0.0168,0.1382,0.4733,0.0001,0.0033,0.1315,0.1391,0.0043,0.0133,0,0.0001,0.024,0.0033,0.0526
weiblich,0.0109,0.1645,0.4922,0.0007,0.0042,0.1219,0.1239,0.0061,0.0074,0,0.0,0.0234,0.003,0.0418
hat das Abitur,0.0161,0.1045,0.5391,0.0002,0.0033,0.1366,0.1162,0.0044,0.0112,0,0.0,0.0186,0.0019,0.048
hat einen Fachhochschulreife,0.0132,0.1248,0.5132,0.0008,0.0016,0.1434,0.1256,0.0031,0.0093,0,0.0,0.0178,0.0031,0.0442
hat einen Hauptschulabschluss,0.0119,0.1949,0.4612,0.0004,0.0021,0.1075,0.1377,0.0063,0.0133,0,0.0004,0.0211,0.0014,0.0418
hat einen Realschulabschluss,0.0133,0.1698,0.4445,0.0006,0.0053,0.1251,0.1429,0.0059,0.0084,0,0.0,0.0304,0.0051,0.0488
hat keinen Schulabschluss,0.0111,0.3889,0.1333,0.0,0.0222,0.1111,0.1333,0.0,0.0,0,0.0,0.0556,0.0111,0.1333
ist noch Schüler/in,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.5
18-29 YEARS,0.0113,0.2103,0.4018,0.0013,0.0076,0.1083,0.1574,0.0063,0.0025,0,0.0,0.0252,0.005,0.063
30-44 YEARS,0.0165,0.1475,0.4687,0.0003,0.0032,0.1114,0.1553,0.0055,0.0084,0,0.0,0.0245,0.0026,0.0562
45-59 YEARS,0.0151,0.1393,0.4938,0.0004,0.0025,0.1223,0.1311,0.0064,0.0104,0,0.0002,0.0272,0.0023,0.0489
60 and more,0.0114,0.1559,0.4943,0.0004,0.0046,0.1438,0.1123,0.0037,0.0128,0,0.0,0.0195,0.0039,0.0373
