,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.012,0.0745,0.7083,0.0,0.0041,0.038,0.0908,0.0032,0.005,0,0,0.0175,0.005,0.0418
Westdeutschland,0.0103,0.0459,0.8075,0.0003,0.0034,0.0303,0.0623,0.0032,0.0028,0,0,0.013,0.0001,0.021
befindet sich noch in beruflicher Ausbildung.,0.0106,0.0714,0.7354,0.0,0.0106,0.0582,0.0767,0.0,0.0,0,0,0.0132,0.0,0.0238
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.0698,0.8372,0.0,0.0233,0.0,0.0698,0.0,0.0,0,0,0.0,0.0,0.0
hat eine Lehre abgeschlossen.,0.0093,0.0567,0.7979,0.001,0.0062,0.033,0.0526,0.001,0.0052,0,0,0.0155,0.001,0.0206
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0113,0.0748,0.7372,0.0,0.0015,0.0323,0.082,0.0026,0.0046,0,0,0.0159,0.002,0.0359
hat eine kaufmännische Lehre abgeschlossen.,0.0131,0.0424,0.7926,0.0,0.0029,0.0283,0.0763,0.0048,0.0027,0,0,0.0128,0.0005,0.0235
hat einen Berufsfachschulabschluss.,0.0089,0.039,0.805,0.0,0.0018,0.0278,0.0615,0.0024,0.0024,0,0,0.0154,0.0006,0.0355
hat einen Fachhochschulabschluss.,0.0046,0.0286,0.8423,0.0,0.0031,0.0317,0.0479,0.0046,0.0031,0,0,0.01,0.0015,0.0224
hat einen Fachschulabschluss.,0.0063,0.0419,0.8008,0.0,0.0063,0.0406,0.0558,0.0013,0.0063,0,0,0.0127,0.0025,0.0254
hat einen Meisterabschluss oder Technikerabschluss.,0.0109,0.0463,0.7741,0.0,0.0041,0.034,0.0952,0.0,0.0027,0,0,0.0122,0.0,0.0204
hat einen Universitätsabschluss.,0.012,0.0264,0.8345,0.0,0.0033,0.0326,0.0524,0.0045,0.0029,0,0,0.0132,0.0017,0.0165
hat keine berufliche Ausbildung abgeschlossen.,0.0131,0.1638,0.6191,0.002,0.005,0.0342,0.0975,0.002,0.003,0,0,0.0221,0.002,0.0362
Die Linke,0.0128,0.1513,0.6577,0.0007,0.0128,0.0284,0.0866,0.0007,0.005,0,0,0.0114,0.0028,0.0298
die AfD,0.045,0.0808,0.4405,0.0,0.003,0.0473,0.1029,0.0114,0.0152,0,0,0.1113,0.0046,0.138
die CDU/CSU,0.0038,0.017,0.8993,0.0,0.0006,0.0196,0.0407,0.0026,0.0015,0,0,0.0012,0.0006,0.0132
die FDP,0.0104,0.0312,0.8325,0.0,0.0026,0.0195,0.087,0.0013,0.0013,0,0,0.0052,0.0,0.0091
die Grünen,0.0043,0.0385,0.8142,0.0,0.0052,0.0765,0.0485,0.0014,0.0005,0,0,0.0071,0.0,0.0038
die SPD,0.0046,0.047,0.8442,0.0005,0.0021,0.0217,0.0619,0.001,0.0005,0,0,0.0021,0.0021,0.0124
eine Kleinpartei,0.024,0.0863,0.6502,0.0,0.0096,0.0367,0.123,0.0016,0.0096,0,0,0.0144,0.0016,0.0431
keine Partei,0.0084,0.0465,0.8173,0.0003,0.0017,0.0206,0.0787,0.0046,0.0023,0,0,0.0038,0.0003,0.0154
männlich,0.0126,0.0503,0.7676,0.0003,0.0027,0.0318,0.0777,0.0036,0.0051,0,0,0.0125,0.0017,0.0342
weiblich,0.0087,0.0545,0.802,0.0001,0.0044,0.0323,0.0599,0.0028,0.0015,0,0,0.0156,0.0007,0.0175
hat das Abitur,0.0097,0.0309,0.8337,0.0,0.0038,0.0345,0.0501,0.0044,0.0034,0,0,0.0118,0.0008,0.0167
hat einen Fachhochschulreife,0.0069,0.0408,0.7787,0.0,0.0069,0.0311,0.0871,0.0014,0.0035,0,0,0.0111,0.0014,0.0311
hat einen Hauptschulabschluss,0.0125,0.0682,0.7546,0.0003,0.0037,0.0274,0.0776,0.0015,0.0027,0,0,0.0186,0.0003,0.0326
hat einen Realschulabschluss,0.0116,0.0577,0.7711,0.0002,0.0024,0.0331,0.0738,0.0035,0.0035,0,0,0.0138,0.002,0.0274
hat keinen Schulabschluss,0.0,0.3772,0.386,0.0088,0.0,0.0263,0.1053,0.0088,0.0,0,0,0.0263,0.0,0.0614
ist noch Schüler/in,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0.0,0.0,0.0
18-29 YEARS,0.0116,0.0966,0.7208,0.001,0.0058,0.0464,0.0715,0.0029,0.0,0,0,0.0126,0.001,0.03
30-44 YEARS,0.014,0.0562,0.7615,0.0003,0.0038,0.0334,0.08,0.0041,0.0025,0,0,0.0148,0.0011,0.0282
45-59 YEARS,0.0112,0.0461,0.7926,0.0,0.0023,0.0295,0.0696,0.0037,0.0031,0,0,0.0142,0.0014,0.0264
60 and more,0.0075,0.0471,0.8066,0.0002,0.0041,0.0307,0.0595,0.0021,0.0046,0,0,0.0137,0.0012,0.0226
