,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.066,0.1048,0.5315,0.0033,0.0154,0.0312,0.0887,0.0236,0.0048,0.0012,0.0354,0.0754,0.0018,0.0167
Westdeutschland,0.05,0.0845,0.5728,0.0029,0.0146,0.048,0.0876,0.0258,0.0031,0.0008,0.0333,0.0634,0.0,0.0132
befindet sich noch in beruflicher Ausbildung.,0.0449,0.0618,0.5618,0.0112,0.0084,0.0983,0.073,0.0365,0.0028,0.0028,0.0253,0.0253,0.0,0.0478
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0769,0.1026,0.4103,0.0,0.0,0.1026,0.0769,0.0256,0.0,0.0,0.1026,0.1026,0.0,0.0
hat eine Lehre abgeschlossen.,0.0461,0.0855,0.5471,0.0088,0.011,0.0439,0.0844,0.0318,0.0,0.0011,0.0537,0.0691,0.0,0.0175
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0548,0.0995,0.5457,0.0038,0.0102,0.0339,0.0882,0.0199,0.0048,0.0,0.0387,0.0866,0.0011,0.0129
hat eine kaufmännische Lehre abgeschlossen.,0.0447,0.082,0.5962,0.0022,0.016,0.0353,0.0925,0.0182,0.0017,0.0011,0.0295,0.0726,0.0,0.008
hat einen Berufsfachschulabschluss.,0.0516,0.0896,0.5532,0.0019,0.0137,0.0336,0.0977,0.028,0.0037,0.0025,0.0367,0.0778,0.0012,0.0087
hat einen Fachhochschulabschluss.,0.0795,0.0936,0.5547,0.0,0.0228,0.0417,0.0865,0.0228,0.0008,0.0,0.0315,0.0504,0.0008,0.0149
hat einen Fachschulabschluss.,0.0469,0.086,0.5789,0.0052,0.0183,0.0326,0.0691,0.0417,0.0091,0.0,0.03,0.0626,0.0,0.0196
hat einen Meisterabschluss oder Technikerabschluss.,0.0854,0.077,0.5252,0.0,0.0098,0.0462,0.0854,0.028,0.0084,0.0,0.035,0.0854,0.0,0.014
hat einen Universitätsabschluss.,0.052,0.0959,0.5606,0.0038,0.0173,0.068,0.0908,0.027,0.0038,0.0008,0.022,0.0393,0.0004,0.0182
hat keine berufliche Ausbildung abgeschlossen.,0.0501,0.0979,0.5462,0.0,0.012,0.0446,0.0729,0.0316,0.0054,0.0011,0.0522,0.0696,0.0,0.0163
Die Linke,0.0662,0.2016,0.4716,0.0036,0.023,0.0446,0.0749,0.0317,0.0058,0.0,0.0194,0.0331,0.0007,0.0238
die AfD,0.1001,0.0696,0.3815,0.0,0.0047,0.0094,0.0844,0.0453,0.007,0.0016,0.0321,0.2533,0.0,0.0109
die CDU/CSU,0.0351,0.0439,0.6731,0.0024,0.013,0.0267,0.0924,0.0179,0.0033,0.0018,0.0276,0.05,0.0009,0.0118
die FDP,0.0468,0.0628,0.6016,0.0053,0.0174,0.0201,0.1123,0.0227,0.0013,0.0,0.0401,0.0602,0.0,0.0094
die Grünen,0.0346,0.0911,0.5634,0.0039,0.0205,0.1345,0.0692,0.0195,0.0015,0.0005,0.0268,0.0175,0.0,0.0171
die SPD,0.0322,0.1028,0.6102,0.0016,0.0185,0.0359,0.0902,0.0195,0.0037,0.0005,0.0316,0.039,0.0,0.0142
eine Kleinpartei,0.095,0.1217,0.4333,0.0033,0.0217,0.0767,0.0783,0.0483,0.0017,0.0033,0.0317,0.0583,0.0,0.0267
keine Partei,0.0678,0.0855,0.5502,0.0041,0.0095,0.0221,0.0968,0.0256,0.0032,0.0003,0.0521,0.0726,0.0006,0.0098
männlich,0.0621,0.0989,0.539,0.0019,0.0135,0.047,0.0825,0.0268,0.0042,0.0015,0.034,0.0699,0.0006,0.0179
weiblich,0.0453,0.0794,0.5875,0.004,0.0162,0.0413,0.0931,0.0238,0.0028,0.0003,0.0336,0.0624,0.0003,0.0101
hat das Abitur,0.054,0.094,0.5677,0.003,0.0216,0.0636,0.0858,0.0262,0.0032,0.0004,0.0214,0.0415,0.0004,0.0171
hat einen Fachhochschulreife,0.0697,0.0888,0.5423,0.0036,0.0163,0.0434,0.0839,0.022,0.0028,0.0007,0.0419,0.0675,0.0,0.0171
hat einen Hauptschulabschluss,0.047,0.0866,0.5578,0.0026,0.0104,0.0302,0.0883,0.0263,0.0049,0.0013,0.0451,0.0889,0.0,0.0107
hat einen Realschulabschluss,0.0519,0.0866,0.5717,0.0031,0.0111,0.0356,0.09,0.0245,0.0031,0.0011,0.0345,0.0737,0.0008,0.0123
hat keinen Schulabschluss,0.1134,0.0825,0.3918,0.0,0.0103,0.0309,0.1134,0.0412,0.0,0.0,0.1134,0.0825,0.0,0.0206
ist noch Schüler/in,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
18-29 YEARS,0.0536,0.0757,0.4911,0.0063,0.0084,0.0904,0.0978,0.0421,0.0021,0.0011,0.0494,0.041,0.0,0.041
30-44 YEARS,0.0476,0.0851,0.5547,0.0061,0.0171,0.0404,0.1051,0.0256,0.0029,0.0006,0.0453,0.0558,0.0015,0.0122
45-59 YEARS,0.0521,0.09,0.575,0.0022,0.0123,0.0389,0.0906,0.0219,0.0028,0.0008,0.0316,0.0717,0.0,0.0101
60 and more,0.0593,0.0936,0.5713,0.001,0.0169,0.0432,0.0715,0.0252,0.0047,0.0012,0.0252,0.0725,0.0002,0.014
