,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0598,0.1712,0.2443,0.0023,0.0286,0.1522,0.1123,0.0236,0.0106,0.0003,0.0266,0.1439,0.0017,0.0226
Westdeutschland,0.042,0.1296,0.2856,0.0025,0.019,0.2299,0.1098,0.0237,0.0078,0.0004,0.0202,0.1172,0.0,0.0124
befindet sich noch in beruflicher Ausbildung.,0.0153,0.0996,0.3372,0.0115,0.0192,0.364,0.0651,0.023,0.0115,0.0,0.0038,0.0268,0.0,0.023
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0278,0.1389,0.25,0.0,0.0,0.3333,0.0556,0.0,0.0,0.0,0.0556,0.1389,0.0,0.0
hat eine Lehre abgeschlossen.,0.0395,0.1173,0.2921,0.0038,0.0166,0.2105,0.1122,0.0255,0.0115,0.0,0.0357,0.1301,0.0,0.0051
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0457,0.1655,0.2677,0.0024,0.0168,0.1769,0.1059,0.0168,0.0084,0.0012,0.0277,0.1546,0.0,0.0102
hat eine kaufmännische Lehre abgeschlossen.,0.0437,0.1368,0.3042,0.0018,0.0182,0.1941,0.111,0.0209,0.0061,0.0003,0.0179,0.1335,0.0003,0.0112
hat einen Berufsfachschulabschluss.,0.0554,0.1424,0.2742,0.0021,0.021,0.1711,0.1122,0.0231,0.0105,0.0,0.0245,0.1522,0.0014,0.0098
hat einen Fachhochschulabschluss.,0.0501,0.1392,0.2606,0.0008,0.028,0.2216,0.1231,0.028,0.0068,0.0,0.0195,0.1019,0.0008,0.0195
hat einen Fachschulabschluss.,0.0667,0.1261,0.2652,0.0043,0.0159,0.2275,0.0855,0.0319,0.0116,0.0,0.0174,0.1304,0.0,0.0174
hat einen Meisterabschluss oder Technikerabschluss.,0.0668,0.1366,0.2283,0.0062,0.0295,0.1801,0.1258,0.0311,0.0155,0.0,0.0217,0.1429,0.0,0.0155
hat einen Universitätsabschluss.,0.0384,0.1299,0.246,0.0014,0.0293,0.284,0.1175,0.0265,0.0064,0.0005,0.0151,0.0782,0.0,0.027
hat keine berufliche Ausbildung abgeschlossen.,0.0393,0.1655,0.2985,0.0027,0.0149,0.1723,0.0991,0.0217,0.0109,0.0014,0.0366,0.1235,0.0014,0.0122
Die Linke,0.0399,0.3175,0.1844,0.001,0.0285,0.1977,0.096,0.0171,0.0095,0.0,0.0143,0.0675,0.0029,0.0238
die AfD,0.068,0.0952,0.224,0.0016,0.0088,0.0376,0.084,0.0488,0.0136,0.0008,0.024,0.3768,0.0,0.0168
die CDU/CSU,0.0421,0.0928,0.3394,0.002,0.0224,0.1687,0.1447,0.0204,0.0098,0.0004,0.0201,0.1247,0.0004,0.0122
die FDP,0.0355,0.1091,0.3051,0.0025,0.0208,0.1201,0.1605,0.0184,0.0098,0.0,0.0331,0.1667,0.0,0.0184
die Grünen,0.0265,0.096,0.1957,0.0006,0.0209,0.5385,0.0646,0.0148,0.0031,0.0,0.0105,0.0166,0.0,0.0123
die SPD,0.0277,0.1728,0.284,0.003,0.0204,0.2427,0.1209,0.0179,0.0055,0.0004,0.0132,0.0792,0.0,0.0123
eine Kleinpartei,0.0703,0.1387,0.2667,0.0036,0.0306,0.1838,0.0847,0.0396,0.0054,0.0,0.0432,0.0991,0.0,0.0342
keine Partei,0.0686,0.1401,0.3101,0.0044,0.0221,0.1486,0.1044,0.0262,0.0103,0.0007,0.0313,0.1213,0.0004,0.0114
männlich,0.05,0.1525,0.2557,0.0019,0.0193,0.2001,0.1131,0.0265,0.0075,0.0006,0.0232,0.1321,0.0005,0.0171
weiblich,0.0424,0.1262,0.2959,0.0031,0.0231,0.2233,0.1077,0.0208,0.0094,0.0002,0.0202,0.1148,0.0003,0.0125
hat das Abitur,0.0385,0.1298,0.2732,0.0017,0.0252,0.2756,0.1066,0.0266,0.0047,0.0002,0.0152,0.0805,0.0002,0.0221
hat einen Fachhochschulreife,0.0614,0.1364,0.2448,0.0032,0.0327,0.2089,0.1188,0.0231,0.0104,0.0008,0.0223,0.1164,0.0008,0.0199
hat einen Hauptschulabschluss,0.0461,0.1414,0.2801,0.0045,0.0123,0.1719,0.1083,0.0208,0.0126,0.0,0.0312,0.1648,0.0004,0.0056
hat einen Realschulabschluss,0.0483,0.1477,0.2854,0.0017,0.0201,0.1785,0.1122,0.0227,0.0088,0.0006,0.0216,0.1396,0.0004,0.0124
hat keinen Schulabschluss,0.1045,0.1194,0.209,0.0149,0.0,0.1642,0.1493,0.0299,0.0149,0.0,0.0448,0.1493,0.0,0.0
ist noch Schüler/in,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
18-29 YEARS,0.0278,0.1083,0.3045,0.0088,0.0176,0.2987,0.0952,0.0249,0.0044,0.0,0.0293,0.0542,0.0,0.0264
30-44 YEARS,0.0445,0.1133,0.3409,0.0028,0.0271,0.189,0.1081,0.025,0.0035,0.0003,0.0323,0.0976,0.0007,0.0149
45-59 YEARS,0.0434,0.1459,0.2869,0.002,0.0156,0.1888,0.1119,0.0236,0.0082,0.0002,0.0196,0.1419,0.0,0.0122
60 and more,0.0524,0.153,0.2232,0.0019,0.0235,0.2343,0.1125,0.0227,0.0122,0.0006,0.0163,0.1313,0.0006,0.0155
