,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0601,0.1405,0.3226,0.0043,0.0309,0.091,0.1379,0.0339,0.0053,0.0003,0.0302,0.1186,0.002,0.0223
Westdeutschland,0.0448,0.1225,0.3693,0.0028,0.0229,0.1277,0.1231,0.0308,0.0033,0.0005,0.0255,0.113,0.0001,0.0137
befindet sich noch in beruflicher Ausbildung.,0.015,0.1011,0.4157,0.0,0.0187,0.2434,0.0899,0.03,0.0,0.0037,0.0262,0.0225,0.0,0.0337
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0857,0.1143,0.3714,0.0,0.0,0.1714,0.0857,0.0286,0.0286,0.0,0.0571,0.0571,0.0,0.0
hat eine Lehre abgeschlossen.,0.0386,0.142,0.3611,0.0037,0.0187,0.1295,0.1245,0.0212,0.0025,0.0,0.0249,0.1233,0.0,0.01
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0443,0.14,0.3495,0.0036,0.0168,0.0952,0.1185,0.0317,0.0024,0.0,0.0329,0.1532,0.0018,0.0102
hat eine kaufmännische Lehre abgeschlossen.,0.0451,0.1179,0.3887,0.0027,0.0208,0.1074,0.1303,0.028,0.0036,0.0003,0.022,0.1215,0.0,0.0117
hat einen Berufsfachschulabschluss.,0.057,0.1347,0.3416,0.0027,0.0261,0.09,0.1354,0.0351,0.0014,0.0021,0.0268,0.1368,0.0007,0.0096
hat einen Fachhochschulabschluss.,0.0561,0.1268,0.348,0.0033,0.0341,0.1317,0.135,0.0341,0.0033,0.0,0.0211,0.0829,0.0008,0.0228
hat einen Fachschulabschluss.,0.07,0.1114,0.3471,0.0057,0.0257,0.11,0.13,0.0357,0.01,0.0,0.0371,0.1029,0.0,0.0143
hat einen Meisterabschluss oder Technikerabschluss.,0.0601,0.1201,0.3408,0.0015,0.0285,0.0871,0.1126,0.033,0.0105,0.0,0.0435,0.1381,0.003,0.021
hat einen Universitätsabschluss.,0.0431,0.1184,0.3376,0.0032,0.0381,0.1706,0.1261,0.0363,0.0045,0.0,0.0204,0.0771,0.0,0.0245
hat keine berufliche Ausbildung abgeschlossen.,0.0471,0.1556,0.3608,0.0039,0.0092,0.0915,0.1242,0.0275,0.0,0.0013,0.0353,0.1268,0.0,0.017
Die Linke,0.0528,0.2774,0.2698,0.0017,0.0349,0.12,0.1089,0.023,0.0026,0.0,0.0255,0.0587,0.0009,0.0238
die AfD,0.0767,0.0904,0.2228,0.0024,0.0113,0.021,0.1017,0.0508,0.0073,0.0008,0.0266,0.3785,0.0,0.0097
die CDU/CSU,0.0377,0.0784,0.4435,0.0027,0.0219,0.089,0.1507,0.0315,0.0048,0.0003,0.0216,0.1031,0.0003,0.0144
die FDP,0.0454,0.0806,0.3689,0.0057,0.0375,0.0568,0.1748,0.0341,0.0057,0.0011,0.0216,0.1521,0.0011,0.0148
die Grünen,0.0313,0.108,0.335,0.0027,0.0222,0.3312,0.0816,0.0249,0.0022,0.0,0.0167,0.0249,0.0005,0.0189
die SPD,0.026,0.1441,0.4025,0.0034,0.0294,0.1159,0.143,0.0294,0.0028,0.0,0.0181,0.065,0.0006,0.0198
eine Kleinpartei,0.1096,0.1722,0.2748,0.007,0.0226,0.1287,0.1061,0.0348,0.0052,0.0017,0.033,0.0783,0.0,0.0261
keine Partei,0.059,0.1362,0.3697,0.003,0.0247,0.0723,0.128,0.0306,0.0022,0.0007,0.045,0.1181,0.0007,0.0096
männlich,0.0557,0.137,0.3389,0.0021,0.0213,0.1186,0.1192,0.0329,0.0053,0.0008,0.0254,0.1245,0.0009,0.0172
weiblich,0.0409,0.1161,0.3784,0.0041,0.0282,0.12,0.1339,0.0301,0.0021,0.0002,0.0278,0.1039,0.0002,0.0142
hat das Abitur,0.0463,0.1215,0.3598,0.003,0.033,0.1627,0.1178,0.0335,0.0044,0.0,0.0198,0.0749,0.0002,0.023
hat einen Fachhochschulreife,0.0601,0.121,0.3529,0.0046,0.0316,0.1055,0.1364,0.0293,0.0054,0.0008,0.0293,0.1048,0.0008,0.0177
hat einen Hauptschulabschluss,0.0383,0.1332,0.3429,0.0029,0.0135,0.0916,0.1332,0.0325,0.0026,0.0004,0.0361,0.1667,0.0,0.0062
hat einen Realschulabschluss,0.0518,0.1298,0.3689,0.0028,0.0223,0.0999,0.1279,0.0293,0.0034,0.0008,0.0255,0.1226,0.0011,0.014
hat keinen Schulabschluss,0.1194,0.0746,0.3134,0.0149,0.0,0.1045,0.1343,0.0597,0.0,0.0,0.0896,0.0746,0.0,0.0149
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0
18-29 YEARS,0.0225,0.1097,0.3601,0.007,0.0197,0.1927,0.128,0.0323,0.0014,0.0014,0.0408,0.0591,0.0,0.0253
30-44 YEARS,0.048,0.1149,0.3992,0.0045,0.0267,0.1022,0.1248,0.034,0.0024,0.0007,0.0291,0.0943,0.0007,0.0185
45-59 YEARS,0.0468,0.1308,0.3647,0.0026,0.0187,0.1092,0.1267,0.0283,0.0028,0.0002,0.0283,0.126,0.0004,0.0144
60 and more,0.0537,0.1321,0.3285,0.0022,0.03,0.1282,0.1272,0.0329,0.0057,0.0004,0.0214,0.1231,0.0006,0.0139
