,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0175,0.1125,0.4106,0.001,0.0017,0.0196,0.2778,0.0066,0.0045,0.0,0.0,0.015,0.0185,0.0,0.0,0.1146
Westdeutschland,0.0123,0.0714,0.5163,0.0009,0.0022,0.0163,0.2974,0.0059,0.0037,0.0001,0.0001,0.0104,0.0005,0.0,0.0,0.0625
befindet sich noch in beruflicher Ausbildung.,0.0094,0.1085,0.467,0.0,0.0047,0.0189,0.316,0.0094,0.0094,0.0,0.0,0.0047,0.0094,0.0,0.0,0.0425
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.0357,0.5714,0.0,0.0,0.0357,0.2857,0.0,0.0,0.0,0.0,0.0357,0.0,0.0,0.0,0.0357
hat eine Lehre abgeschlossen.,0.0056,0.0896,0.5252,0.0014,0.0014,0.0196,0.2787,0.0084,0.0014,0.0,0.0,0.014,0.0028,0.0,0.0,0.0518
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0248,0.1018,0.4197,0.0007,0.0026,0.0196,0.2937,0.0059,0.0046,0.0007,0.0,0.0183,0.0085,0.0,0.0,0.0992
hat eine kaufmännische Lehre abgeschlossen.,0.0118,0.0699,0.4834,0.0009,0.0015,0.0112,0.335,0.0044,0.0026,0.0,0.0,0.0106,0.0026,0.0,0.0,0.0661
hat einen Berufsfachschulabschluss.,0.0107,0.075,0.507,0.0008,0.0016,0.0198,0.2737,0.0099,0.0066,0.0,0.0,0.0082,0.0074,0.0,0.0,0.0791
hat einen Fachhochschulabschluss.,0.009,0.0685,0.5482,0.0,0.0,0.0153,0.2768,0.0027,0.0045,0.0,0.0,0.009,0.009,0.0,0.0,0.0568
hat einen Fachschulabschluss.,0.0126,0.0787,0.515,0.0,0.0,0.022,0.2504,0.011,0.0047,0.0,0.0,0.0126,0.0047,0.0,0.0,0.0882
hat einen Meisterabschluss oder Technikerabschluss.,0.0205,0.0614,0.4535,0.0016,0.0031,0.0268,0.3165,0.0079,0.0079,0.0,0.0,0.0094,0.0016,0.0,0.0,0.0898
hat einen Universitätsabschluss.,0.0129,0.0618,0.545,0.0021,0.0026,0.019,0.2666,0.0051,0.0036,0.0,0.0,0.0087,0.0036,0.0,0.0,0.069
hat keine berufliche Ausbildung abgeschlossen.,0.0159,0.1806,0.4017,0.0,0.0072,0.0159,0.2399,0.0072,0.0,0.0,0.0014,0.0173,0.0029,0.0,0.0,0.1098
