,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0572,0.1336,0.3067,0.0041,0.0294,0.0865,0.1311,0.0322,0.0051,0.0003,0.0287,0.1128,0.0019,0.0389,0.0104,0.0212
Westdeutschland,0.0426,0.1165,0.3515,0.0026,0.0218,0.1215,0.1172,0.0293,0.0031,0.0005,0.0243,0.1075,0.0001,0.0384,0.01,0.0131
befindet sich noch in beruflicher Ausbildung.,0.0139,0.0941,0.3868,0.0,0.0174,0.2265,0.0836,0.0279,0.0,0.0035,0.0244,0.0209,0.0,0.0488,0.0209,0.0314
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.075,0.1,0.325,0.0,0.0,0.15,0.075,0.025,0.025,0.0,0.05,0.05,0.0,0.125,0.0,0.0
hat eine Lehre abgeschlossen.,0.0364,0.1338,0.3404,0.0035,0.0176,0.1221,0.1174,0.02,0.0023,0.0,0.0235,0.1162,0.0,0.0446,0.0129,0.0094
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.042,0.133,0.3318,0.0034,0.0159,0.0903,0.1125,0.0301,0.0023,0.0,0.0312,0.1455,0.0017,0.042,0.0085,0.0097
hat eine kaufmännische Lehre abgeschlossen.,0.043,0.1123,0.37,0.0026,0.0198,0.1022,0.124,0.0266,0.0034,0.0003,0.0209,0.1157,0.0,0.0352,0.0129,0.0112
hat einen Berufsfachschulabschluss.,0.0541,0.1278,0.324,0.0026,0.0248,0.0854,0.1284,0.0332,0.0013,0.002,0.0254,0.1297,0.0007,0.0404,0.0111,0.0091
hat einen Fachhochschulabschluss.,0.0545,0.1233,0.3383,0.0032,0.0332,0.1281,0.1312,0.0332,0.0032,0.0,0.0206,0.0806,0.0008,0.0253,0.0024,0.0221
hat einen Fachschulabschluss.,0.0668,0.1064,0.3315,0.0055,0.0246,0.105,0.1241,0.0341,0.0095,0.0,0.0355,0.0982,0.0,0.0396,0.0055,0.0136
