,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0158,0.1766,0.2699,0.0003,0.003,0.2725,0.1522,0.0023,0.0105,0,0.0,0.0217,0.0119,0.0633
Westdeutschland,0.0148,0.1678,0.3604,0.0013,0.004,0.2229,0.1476,0.0039,0.013,0,0.0002,0.0219,0.0004,0.0417
befindet sich noch in beruflicher Ausbildung.,0.0,0.2445,0.2956,0.0109,0.0036,0.1825,0.1934,0.0036,0.0109,0,0.0,0.0146,0.0,0.0401
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.0526,0.4737,0.0,0.0,0.2368,0.1842,0.0,0.0263,0,0.0,0.0263,0.0,0.0
hat eine Lehre abgeschlossen.,0.0137,0.1781,0.3076,0.0025,0.0062,0.2267,0.1644,0.0025,0.0087,0,0.0,0.0336,0.0012,0.0548
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0159,0.221,0.2792,0.0018,0.0041,0.221,0.1728,0.0035,0.0118,0,0.0,0.0135,0.0053,0.05
hat eine kaufmännische Lehre abgeschlossen.,0.0149,0.1887,0.3265,0.0003,0.0046,0.2175,0.1614,0.0046,0.0121,0,0.0,0.0215,0.0024,0.0455
hat einen Berufsfachschulabschluss.,0.0166,0.1333,0.3715,0.0007,0.0055,0.2314,0.1457,0.0021,0.0138,0,0.0,0.0262,0.0048,0.0483
hat einen Fachhochschulabschluss.,0.0138,0.1141,0.3863,0.0009,0.0017,0.2844,0.1262,0.0026,0.0156,0,0.0,0.0182,0.0035,0.0328
hat einen Fachschulabschluss.,0.0158,0.1451,0.3879,0.0014,0.0,0.2256,0.1293,0.0043,0.0129,0,0.0,0.0144,0.0014,0.0618
hat einen Meisterabschluss oder Technikerabschluss.,0.0125,0.1357,0.2949,0.0,0.0016,0.3073,0.156,0.0031,0.014,0,0.0016,0.0218,0.0031,0.0484
hat einen Universitätsabschluss.,0.0193,0.0956,0.4152,0.0,0.0028,0.2648,0.1177,0.0037,0.0129,0,0.0005,0.0211,0.0014,0.0451
hat keine berufliche Ausbildung abgeschlossen.,0.0099,0.3516,0.2224,0.0025,0.005,0.159,0.1453,0.0037,0.0087,0,0.0,0.0373,0.0062,0.0484
Die Linke,0.016,0.3377,0.2538,0.0009,0.0038,0.1604,0.1509,0.0047,0.0047,0,0.0,0.0198,0.0066,0.0406
die AfD,0.0293,0.15,0.2404,0.0008,0.0008,0.1711,0.1288,0.0163,0.0114,0,0.0,0.1117,0.0073,0.132
die CDU/CSU,0.0123,0.1077,0.4375,0.0004,0.0024,0.2447,0.1223,0.002,0.019,0,0.0004,0.0099,0.0016,0.04
die FDP,0.0199,0.1366,0.3217,0.0012,0.0062,0.2199,0.2025,0.0012,0.0174,0,0.0,0.0124,0.0025,0.0584
die Grünen,0.0055,0.1091,0.2756,0.0012,0.0049,0.4679,0.0894,0.0025,0.0043,0,0.0,0.0179,0.0012,0.0203
die SPD,0.0082,0.2169,0.393,0.0004,0.0047,0.1649,0.1602,0.0017,0.0137,0,0.0,0.0103,0.003,0.0228
eine Kleinpartei,0.0196,0.2125,0.2393,0.0,0.0018,0.2411,0.1982,0.0,0.0071,0,0.0,0.0161,0.0,0.0643
keine Partei,0.0196,0.1683,0.3438,0.0024,0.0045,0.2075,0.1786,0.0024,0.0131,0,0.0003,0.0103,0.0031,0.0461
männlich,0.0188,0.149,0.344,0.0008,0.0029,0.2274,0.1625,0.0035,0.0152,0,0.0003,0.0191,0.0037,0.0529
weiblich,0.0113,0.1907,0.3347,0.0014,0.0046,0.2415,0.1349,0.0035,0.0096,0,0.0,0.0247,0.0025,0.0406
hat das Abitur,0.017,0.1094,0.3937,0.0007,0.0024,0.259,0.134,0.0038,0.0148,0,0.0002,0.0189,0.0022,0.044
hat einen Fachhochschulreife,0.0143,0.1709,0.3323,0.0016,0.0048,0.2552,0.1502,0.0024,0.0079,0,0.0,0.0183,0.0048,0.0374
hat einen Hauptschulabschluss,0.0137,0.2288,0.2986,0.0011,0.0032,0.2097,0.1529,0.004,0.0155,0,0.0004,0.0234,0.0022,0.0468
hat einen Realschulabschluss,0.0146,0.1836,0.3202,0.0013,0.0049,0.2238,0.1584,0.0034,0.0099,0,0.0,0.0247,0.0038,0.0514
hat keinen Schulabschluss,0.0,0.443,0.1519,0.0,0.0127,0.1266,0.1772,0.0,0.0,0,0.0,0.0127,0.0127,0.0633
ist noch Schüler/in,0.0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0159,0.2629,0.2576,0.0053,0.0053,0.1902,0.1717,0.0026,0.0079,0,0.0,0.0225,0.0013,0.0568
30-44 YEARS,0.0182,0.1763,0.3257,0.001,0.0043,0.2166,0.1657,0.004,0.0079,0,0.0003,0.0222,0.0033,0.0546
45-59 YEARS,0.0168,0.1552,0.3425,0.0009,0.0042,0.2331,0.1499,0.0038,0.015,0,0.0002,0.0232,0.0035,0.0519
60 and more,0.0112,0.165,0.3581,0.0006,0.0028,0.2543,0.133,0.0032,0.0136,0,0.0,0.0203,0.0028,0.0352
