,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0423,0.1039,0.5257,0.0011,0.015,0.0262,0.0584,0.053,0.0037,0.0005,0.0252,0.1247,0.0005,0.0198
Westdeutschland,0.0275,0.092,0.5788,0.001,0.0109,0.0358,0.067,0.0379,0.0025,0.0007,0.0208,0.1128,0.0,0.0124
befindet sich noch in beruflicher Ausbildung.,0.0143,0.0857,0.6214,0.0071,0.0214,0.0714,0.0714,0.0286,0.0,0.0,0.0071,0.0429,0.0,0.0286
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0526,0.1053,0.3684,0.0,0.0,0.0526,0.1053,0.0526,0.0,0.0,0.1579,0.1053,0.0,0.0
hat eine Lehre abgeschlossen.,0.0188,0.0941,0.5921,0.0,0.0063,0.0314,0.069,0.0397,0.0,0.0021,0.0272,0.113,0.0,0.0063
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0293,0.108,0.5449,0.003,0.0061,0.0303,0.0494,0.0333,0.003,0.0,0.0212,0.1564,0.0,0.0151
hat eine kaufmännische Lehre abgeschlossen.,0.026,0.0919,0.5871,0.0,0.0104,0.0227,0.0625,0.0393,0.0038,0.0,0.0213,0.1241,0.0,0.0109
hat einen Berufsfachschulabschluss.,0.0363,0.0865,0.5338,0.0,0.005,0.0288,0.0764,0.0439,0.0025,0.0025,0.0238,0.1529,0.0,0.0075
hat einen Fachhochschulabschluss.,0.0413,0.0867,0.5733,0.0027,0.0187,0.0333,0.072,0.044,0.004,0.0013,0.02,0.08,0.0013,0.0213
hat einen Fachschulabschluss.,0.0455,0.0773,0.5659,0.0023,0.0159,0.0273,0.0545,0.0636,0.0,0.0,0.0091,0.1136,0.0,0.025
hat einen Meisterabschluss oder Technikerabschluss.,0.0422,0.0918,0.5261,0.0,0.0074,0.0248,0.072,0.0496,0.005,0.0,0.0199,0.1538,0.0,0.0074
hat einen Universitätsabschluss.,0.0332,0.1017,0.5674,0.0008,0.0203,0.0505,0.0671,0.0452,0.003,0.0,0.0219,0.0708,0.0,0.0181
hat keine berufliche Ausbildung abgeschlossen.,0.019,0.1097,0.5591,0.0,0.0105,0.0527,0.0675,0.0274,0.0,0.0021,0.0316,0.1055,0.0,0.0148
Die Linke,0.0273,0.2012,0.5205,0.0025,0.0199,0.0373,0.0534,0.0373,0.005,0.0,0.0161,0.0534,0.0,0.0261
die AfD,0.0599,0.0716,0.3026,0.0,0.0015,0.0029,0.0424,0.0658,0.0015,0.0015,0.0263,0.4079,0.0,0.0161
die CDU/CSU,0.016,0.0491,0.6809,0.0011,0.0091,0.0176,0.0678,0.0342,0.0043,0.0,0.0181,0.0918,0.0005,0.0096
die FDP,0.0423,0.0521,0.557,0.0033,0.0228,0.0065,0.1042,0.0489,0.0033,0.0,0.0293,0.1238,0.0,0.0065
die Grünen,0.0287,0.097,0.6155,0.0009,0.0185,0.1017,0.0647,0.024,0.0009,0.0,0.0148,0.0222,0.0,0.0111
die SPD,0.0188,0.1042,0.6066,0.0,0.0103,0.0272,0.0648,0.0479,0.0009,0.0009,0.0178,0.0873,0.0,0.0131
eine Kleinpartei,0.0562,0.1062,0.4531,0.0031,0.0219,0.0719,0.0688,0.0594,0.0,0.0031,0.0188,0.1094,0.0,0.0281
keine Partei,0.0396,0.1019,0.5359,0.0006,0.0084,0.0206,0.0685,0.044,0.0033,0.0011,0.0323,0.1298,0.0,0.0139
männlich,0.0368,0.1051,0.5442,0.0013,0.0114,0.0358,0.0584,0.0416,0.0033,0.0008,0.0244,0.1206,0.0,0.0165
weiblich,0.0253,0.0847,0.5882,0.0008,0.0123,0.0313,0.0714,0.0413,0.0023,0.0005,0.0193,0.1107,0.0003,0.0118
hat das Abitur,0.0342,0.0943,0.5872,0.0008,0.0188,0.0492,0.065,0.0398,0.003,0.0011,0.0188,0.0676,0.0004,0.0199
hat einen Fachhochschulreife,0.0332,0.102,0.5485,0.0026,0.014,0.0268,0.0651,0.0395,0.0038,0.0,0.0166,0.1276,0.0,0.0204
hat einen Hauptschulabschluss,0.0269,0.0937,0.5564,0.0013,0.0046,0.0249,0.0491,0.0406,0.0026,0.0007,0.0269,0.1645,0.0,0.0079
hat einen Realschulabschluss,0.0294,0.0927,0.5587,0.0007,0.0089,0.0253,0.0732,0.0441,0.0024,0.0003,0.0222,0.1314,0.0,0.0106
hat keinen Schulabschluss,0.0588,0.2059,0.4706,0.0,0.0,0.0588,0.0588,0.0294,0.0,0.0,0.0588,0.0588,0.0,0.0
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0
18-29 YEARS,0.018,0.0719,0.6078,0.003,0.021,0.0808,0.0838,0.024,0.0,0.0,0.012,0.0539,0.0,0.024
30-44 YEARS,0.0271,0.0819,0.5844,0.0,0.013,0.0327,0.0807,0.0373,0.0006,0.0006,0.0288,0.0988,0.0,0.0141
45-59 YEARS,0.0296,0.1025,0.5788,0.0017,0.0087,0.0289,0.061,0.0352,0.0024,0.0014,0.0213,0.1161,0.0,0.0122
60 and more,0.0362,0.0977,0.5387,0.0007,0.0132,0.0331,0.0571,0.052,0.0047,0.0,0.0193,0.1321,0.0003,0.0149
