,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0551,0.1249,0.3123,0.0022,0.0265,0.1283,0.1043,0.0289,0.0074,0.0006,0.0302,0.1178,0.0006,0.0354,0.0086,0.0169
Westdeutschland,0.0429,0.1014,0.3417,0.0022,0.015,0.1942,0.093,0.0215,0.0072,0.0003,0.0226,0.0972,0.0002,0.0392,0.0085,0.0129
befindet sich noch in beruflicher Ausbildung.,0.0266,0.0764,0.3289,0.0,0.0133,0.309,0.0731,0.01,0.0033,0.0033,0.0133,0.0332,0.0,0.0631,0.0166,0.0299
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.119,0.1905,0.0,0.0238,0.2619,0.0714,0.0476,0.0,0.0,0.0476,0.0952,0.0,0.1429,0.0,0.0
hat eine Lehre abgeschlossen.,0.039,0.1102,0.3272,0.0,0.0092,0.2021,0.0918,0.023,0.0069,0.0,0.0241,0.0987,0.0011,0.0494,0.0103,0.0069
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0396,0.1226,0.3331,0.0011,0.0156,0.1437,0.0964,0.0234,0.0028,0.0,0.0301,0.1382,0.0006,0.0368,0.0056,0.0106
hat eine kaufmännische Lehre abgeschlossen.,0.0382,0.1027,0.3619,0.0031,0.0156,0.1664,0.092,0.0201,0.0093,0.0,0.0221,0.1132,0.0003,0.0371,0.0093,0.0088
hat einen Berufsfachschulabschluss.,0.0471,0.1069,0.3382,0.0019,0.0189,0.1345,0.1062,0.0201,0.0107,0.0,0.0333,0.1163,0.0,0.0471,0.0075,0.0113
hat einen Fachhochschulabschluss.,0.0585,0.1028,0.3283,0.0008,0.0229,0.2041,0.0981,0.0229,0.0055,0.0,0.0237,0.0831,0.0,0.0261,0.0032,0.0198
hat einen Fachschulabschluss.,0.0656,0.1044,0.3266,0.0027,0.0174,0.1874,0.0884,0.0295,0.0054,0.0,0.012,0.1017,0.0,0.0361,0.0094,0.0134
hat einen Meisterabschluss oder Technikerabschluss.,0.0704,0.1078,0.3075,0.0029,0.0201,0.1566,0.1078,0.0302,0.0043,0.0029,0.0273,0.1164,0.0014,0.023,0.0057,0.0158
hat einen Universitätsabschluss.,0.0476,0.0948,0.3192,0.0022,0.0253,0.2319,0.0969,0.0306,0.0087,0.0004,0.0175,0.0721,0.0,0.0245,0.0048,0.0236
hat keine berufliche Ausbildung abgeschlossen.,0.0418,0.137,0.3194,0.0058,0.0081,0.1452,0.0918,0.0151,0.0058,0.0012,0.036,0.0778,0.0,0.0743,0.0279,0.0128
Die Linke,0.0456,0.2709,0.2461,0.0008,0.0265,0.1823,0.0762,0.0207,0.0099,0.0,0.0191,0.0522,0.0008,0.0199,0.0066,0.0224
die AfD,0.0862,0.0746,0.2692,0.0023,0.0062,0.0323,0.0646,0.0538,0.0092,0.0015,0.03,0.3208,0.0,0.0323,0.0054,0.0115
die CDU/CSU,0.0336,0.0661,0.4147,0.0028,0.0171,0.1524,0.1161,0.0175,0.0073,0.0,0.021,0.1003,0.0,0.0339,0.0066,0.0105
die FDP,0.051,0.0722,0.3344,0.0032,0.0308,0.104,0.1539,0.0202,0.0096,0.0,0.0202,0.155,0.0,0.0265,0.0032,0.0159
die Grünen,0.0289,0.0766,0.2693,0.0016,0.0177,0.4572,0.0653,0.0118,0.0037,0.0,0.0118,0.0214,0.0005,0.0177,0.0027,0.0139
die SPD,0.0266,0.1171,0.3675,0.0009,0.0175,0.1874,0.119,0.023,0.0096,0.0,0.0165,0.0643,0.0005,0.0317,0.0055,0.0129
eine Kleinpartei,0.0854,0.139,0.2764,0.0034,0.0184,0.1675,0.0838,0.0335,0.0034,0.0034,0.0302,0.0921,0.0,0.0335,0.0017,0.0285
keine Partei,0.0546,0.1095,0.3519,0.003,0.0155,0.1134,0.0835,0.0227,0.0056,0.0003,0.0408,0.0917,0.0003,0.0743,0.021,0.0118
männlich,0.0487,0.1146,0.3179,0.0011,0.0156,0.1741,0.0924,0.0258,0.0079,0.0006,0.0255,0.1135,0.0006,0.0394,0.0069,0.0155
weiblich,0.0428,0.0991,0.3518,0.0033,0.0197,0.1837,0.0988,0.0207,0.0066,0.0001,0.0232,0.0906,0.0,0.0372,0.0101,0.0123
hat das Abitur,0.0488,0.1023,0.3368,0.0022,0.0228,0.2287,0.085,0.0264,0.0076,0.0002,0.0154,0.0721,0.0,0.026,0.0045,0.0213
hat einen Fachhochschulreife,0.0515,0.1015,0.3228,0.0007,0.0213,0.189,0.1059,0.0257,0.0059,0.0007,0.0243,0.1015,0.0,0.0346,0.0029,0.0118
hat einen Hauptschulabschluss,0.0401,0.1156,0.3287,0.003,0.0108,0.146,0.0937,0.0192,0.0081,0.0003,0.0327,0.1241,0.0,0.0556,0.0155,0.0064
hat einen Realschulabschluss,0.0437,0.1072,0.3423,0.0022,0.0165,0.1536,0.1039,0.0223,0.0067,0.0004,0.027,0.1154,0.0008,0.0376,0.0082,0.0121
hat keinen Schulabschluss,0.1087,0.1087,0.2065,0.0,0.0,0.0761,0.0652,0.0109,0.0109,0.0,0.0435,0.0978,0.0,0.1739,0.0761,0.0217
ist noch Schüler/in,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
18-29 YEARS,0.0281,0.0868,0.3203,0.0,0.011,0.2433,0.077,0.022,0.0049,0.0012,0.0355,0.0526,0.0,0.0795,0.0171,0.0208
30-44 YEARS,0.0393,0.0902,0.3772,0.0031,0.0181,0.1532,0.0905,0.0225,0.0037,0.0003,0.0281,0.083,0.0003,0.0649,0.0109,0.0147
45-59 YEARS,0.0477,0.1163,0.338,0.0026,0.0153,0.1571,0.0994,0.023,0.0069,0.0004,0.0244,0.1108,0.0,0.0367,0.009,0.0124
60 and more,0.0508,0.1115,0.3075,0.0016,0.0208,0.2059,0.0982,0.0241,0.0101,0.0002,0.0202,0.1134,0.0006,0.0164,0.0051,0.0136
